,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,156.0,161.73,2,392,8
1,2020-05-17,183.0,125.47,2,396,8
2,2020-05-18,78.0,141.21,2,399,8
3,2020-05-19,91.0,145.03,2,399,8
4,2020-05-20,132.0,151.61,2,402,8
5,2020-05-21,80.0,151.83,2,402,8
6,2020-05-22,-44.0,182.95,2,404,8
7,2020-05-23,102.0,162.82,2,409,8
8,2020-05-24,49.0,126.96,2,409,8
9,2020-05-25,67.0,124.07,2,412,8
10,2020-05-26,117.0,151.78,2,416,8
11,2020-05-27,203.0,158.15,2,417,8
12,2020-05-28,-25.0,164.53,2,430,8
13,2020-05-29,-34.0,184.01,2,436,8
14,2020-05-30,109.0,168.04,2,441,8
15,2020-05-31,135.0,128.74,2,469,8
16,2020-06-01,154.0,153.27,2,476,8
17,2020-06-02,143.0,159.28,2,497,8
18,2020-06-03,180.0,161.48,2,516,8
19,2020-06-04,-7.0,172.12,2,542,8
20,2020-06-05,-38.0,195.43,2,565,8
21,2020-06-06,182.0,187.42,2,579,8
22,2020-06-07,222.0,149.9,2,588,8
23,2020-06-08,62.0,163.04,2,607,8
24,2020-06-09,62.0,165.22,2,620,9
25,2020-06-10,190.0,171.96,2,642,9
26,2020-06-11,-5.0,178.5,2,666,9
27,2020-06-12,-9.0,206.45,2,688,10
28,2020-06-13,195.0,198.81,2,722,10
29,2020-06-14,278.0,159.04,2,734,10
30,2020-06-15,185.0,176.96,2,738,10
31,2020-06-16,179.0,176.38,2,751,10
32,2020-06-17,152.0,177.36,2,776,10
33,2020-06-18,173.0,183.45,2,795,10
34,2020-06-19,-21.0,201.59,2,821,10
35,2020-06-20,139.0,192.76,2,845,10
36,2020-06-21,225.0,145.09,2,859,10
37,2020-06-22,154.0,178.04,2,869,10
38,2020-06-23,145.0,177.07,2,905,10
39,2020-06-24,159.0,185.11,2,926,10
40,2020-06-25,193.0,193.95,2,971,10
41,2020-06-26,110.0,213.84,2,1001,12
42,2020-06-27,202.0,211.41,2,1027,12
43,2020-06-28,117.0,156.12,2,1060,12
44,2020-06-29,136.0,180.34,2,1085,12
45,2020-06-30,196.0,193.0,2,1132,12
46,2020-07-01,273.0,207.37,2,1174,12
47,2020-07-02,269.0,220.76,2,1224,12
48,2020-07-03,203.0,226.97,2,1284,13
49,2020-07-04,172.0,186.03,2,1339,14
50,2020-07-05,292.0,173.15,2,1371,14
51,2020-07-06,174.0,195.23,2,1401,14
52,2020-07-07,174.0,197.51,2,1423,15
53,2020-07-08,93.0,191.12,2,1472,15
54,2020-07-09,18.0,198.96,2,1521,15
