,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,41.0,146.28,2,11674,485
1,2020-05-17,12.0,109.82,2,11771,488
2,2020-05-18,-15.0,128.19,2,12086,489
3,2020-05-19,124.0,133.12,2,12376,504
4,2020-05-20,138.0,137.13,2,13052,522
5,2020-05-21,119.0,150.24,2,13414,529
6,2020-05-22,10.0,174.64,2,13670,541
7,2020-05-23,55.0,162.0,2,14149,549
8,2020-05-24,59.0,124.74,2,14478,551
9,2020-05-25,-38.0,132.84,2,14986,566
10,2020-05-26,-37.0,134.48,2,15650,580
11,2020-05-27,-30.0,134.02,2,16032,583
12,2020-05-28,96.0,149.39,2,16530,591
13,2020-05-29,16.0,169.27,2,17031,610
14,2020-05-30,66.0,168.52,2,17359,618
15,2020-05-31,53.0,129.4,2,17952,630
16,2020-06-01,30.0,136.28,2,18534,646
17,2020-06-02,127.0,133.65,2,18771,653
18,2020-06-03,103.0,137.76,2,18851,653
19,2020-06-04,95.0,147.09,2,19072,653
20,2020-06-05,-6.0,167.31,2,19387,676
21,2020-06-06,70.0,173.86,2,20043,689
22,2020-06-07,64.0,119.63,2,20500,692
23,2020-06-08,-56.0,134.97,2,20925,718
24,2020-06-09,-19.0,138.03,2,21422,729
25,2020-06-10,101.0,146.65,2,21989,744
26,2020-06-11,136.0,160.02,2,22845,755
27,2020-06-12,21.0,184.52,2,23710,769
28,2020-06-13,80.0,195.3,2,24601,773
29,2020-06-14,78.0,142.93,2,25615,773
30,2020-06-15,103.0,151.97,2,26272,774
31,2020-06-16,148.0,150.62,2,26912,785
32,2020-06-17,145.0,154.42,2,27312,790
33,2020-06-18,103.0,164.12,2,28206,810
34,2020-06-19,17.0,196.16,2,29002,822
35,2020-06-20,104.0,212.38,2,29549,838
36,2020-06-21,38.0,136.44,2,30021,839
37,2020-06-22,-17.0,150.59,2,30454,841
38,2020-06-23,1.0,147.96,2,31097,864
39,2020-06-24,-19.0,153.65,2,32064,891
40,2020-06-25,83.0,165.61,2,33206,896
41,2020-06-26,-18.0,191.42,2,34183,907
42,2020-06-27,38.0,206.53,2,35083,919
43,2020-06-28,54.0,149.32,2,35441,919
44,2020-06-29,-22.0,154.63,2,37175,929
45,2020-06-30,92.0,153.16,2,38045,950
46,2020-07-01,77.0,158.43,2,38962,972
47,2020-07-02,136.0,179.21,2,40111,985
48,2020-07-03,-2.0,181.52,2,41865,1006
49,2020-07-04,-18.0,146.75,2,42862,1007
50,2020-07-05,55.0,143.97,2,43953,1007
51,2020-07-06,-1.0,155.4,2,44878,1007
52,2020-07-07,-11.0,149.03,2,45785,1033
53,2020-07-08,-13.0,152.58,2,46962,1058
54,2020-07-09,94.0,162.78,2,49174,1068
55,2020-07-10,-17.0,189.0,2,50508,1104
56,2020-07-11,79.0,203.87,2,51947,1114
57,2020-07-12,24.0,135.24,2,53587,1121
58,2020-07-13,-12.0,152.94,2,55545,1124
59,2020-07-14,118.0,153.35,2,57255,1164
60,2020-07-15,93.0,156.53,2,59067,1211
61,2020-07-16,74.0,163.82,2,61088,1230
62,2020-07-17,-14.0,189.05,2,63091,1265
63,2020-07-18,23.0,204.26,2,65234,1286
64,2020-07-19,34.0,142.92,2,67011,1287
65,2020-07-20,-22.0,151.62,2,68891,1291
66,2020-07-21,-12.0,149.94,2,70358,1303
67,2020-07-22,31.0,156.42,2,71813,1364
68,2020-07-23,4.0,167.24,2,74212,1397
69,2020-07-24,-33.0,192.84,2,76005,1438
70,2020-07-25,32.0,200.5,2,78130,1456
71,2020-07-26,33.0,142.95,2,79294,1473
72,2020-07-27,-20.0,150.62,2,81115,1491
73,2020-07-28,-11.0,147.14,2,82366,1491
74,2020-07-29,-24.0,152.25,2,83782,1538
75,2020-07-30,57.0,164.56,2,85762,1565
76,2020-07-31,-31.0,186.76,2,87723,1580
77,2020-08-01,46.0,202.98,2,89349,1603
78,2020-08-02,24.0,142.56,2,91444,1627
79,2020-08-03,14.0,158.55,2,92661,1633
80,2020-08-04,6.0,156.35,2,93702,1666
81,2020-08-05,-20.0,161.33,2,94654,1695
82,2020-08-06,-19.0,169.9,2,96592,1714
83,2020-08-07,-34.0,195.32,2,98301,1735
84,2020-08-08,29.0,196.83,2,100173,1755
85,2020-08-09,-5.0,145.43,2,101334,1768
86,2020-08-10,-30.0,156.83,2,103020,1797
87,2020-08-11,-18.0,155.36,2,103851,1847
88,2020-08-12,-20.0,158.8,2,104786,1882
89,2020-08-13,-32.0,168.08,2,105557,1890
90,2020-08-14,-40.0,194.23,2,106309,1893
91,2020-08-15,-9.0,195.73,2,107580,1896
92,2020-08-16,-7.0,148.41,2,108433,1898
93,2020-08-17,-8.0,156.78,2,109004,1925
94,2020-08-18,-5.0,153.28,2,110361,1936
95,2020-08-19,-6.0,154.28,2,111478,1944
96,2020-08-20,-33.0,161.79,2,112449,1974
97,2020-08-21,-27.0,189.95,2,113632,1996
98,2020-08-22,12.0,181.64,2,114532,2011
99,2020-08-23,-33.0,134.82,2,115060,2013
100,2020-08-24,-44.0,140.31,2,116710,2024
101,2020-08-25,-60.0,138.01,2,117242,2037
102,2020-08-26,-31.0,145.47,2,119254,2045
103,2020-08-27,-46.0,153.4,2,121023,2076
104,2020-08-28,-51.0,170.09,2,122185,2107
105,2020-08-29,-13.0,170.18,2,123889,2152
106,2020-08-30,-58.0,121.56,2,125235,2162
107,2020-08-31,-36.0,139.25,2,126058,2182
108,2020-09-01,-18.0,145.35,2,127616,2200
109,2020-09-02,-7.0,149.78,2,128239,2217
110,2020-09-03,5.0,169.48,2,129285,2233
111,2020-09-04,1.0,213.93,2,130393,2266
112,2020-09-05,38.0,185.4,2,131803,2275
113,2020-09-06,10.0,142.32,2,132314,2276
114,2020-09-07,-40.0,160.03,2,132973,2276
115,2020-09-08,-20.0,149.87,2,133606,2277
116,2020-09-09,-4.0,148.55,2,134417,2285
117,2020-09-10,-15.0,160.08,2,135565,2301
118,2020-09-11,-53.0,190.04,2,136703,2333
119,2020-09-12,5.0,184.16,2,137646,2350
120,2020-09-13,-17.0,133.76,2,138755,2351
121,2020-09-14,-10.0,143.01,2,139459,2355
122,2020-09-15,69.0,129.98,2,140160,2387
123,2020-09-16,-52.0,121.82,2,141087,2392
124,2020-09-17,-37.0,155.5,2,141757,2401
125,2020-09-18,-37.0,187.07,2,142863,2428
126,2020-09-19,2.0,180.35,2,144164,2437
127,2020-09-20,-7.0,130.68,2,144962,2437
128,2020-09-21,-28.0,141.03,2,145780,2439
129,2020-09-22,52.0,140.44,2,146584,2457
130,2020-09-23,-30.0,141.42,2,147153,2488
131,2020-09-24,-69.0,143.93,2,148206,2506
132,2020-09-25,-41.0,177.56,2,150658,2491
133,2020-09-26,-18.0,171.28,2,151591,2501
134,2020-09-27,-18.0,130.51,2,152321,2502
135,2020-09-28,-51.0,133.2,2,152983,2501
136,2020-09-29,-47.0,135.92,2,153554,2517
137,2020-09-30,-42.0,139.37,2,154701,2540
138,2020-10-01,-15.0,154.72,2,155744,2548
139,2020-10-02,-13.0,182.52,2,156698,2550
140,2020-10-03,-1.0,181.72,2,158380,2558
141,2020-10-04,-4.0,128.26,2,159169,2558
142,2020-10-05,-10.0,136.3,2,159713,2559
143,2020-10-06,-21.0,138.64,2,160477,2580
144,2020-10-07,-26.0,143.81,2,161418,2601
145,2020-10-08,-22.0,153.25,2,161975,2637
146,2020-10-09,-33.0,168.83,2,163465,2653
147,2020-10-10,-49.0,148.18,2,164526,2664
148,2020-10-11,-34.0,118.37,2,165342,2664
149,2020-10-12,-21.0,136.95,2,166076,2665
150,2020-10-13,65.0,137.77,2,167193,2665
151,2020-10-14,-34.0,139.42,2,167977,2706
152,2020-10-15,-32.0,151.59,2,169162,2756
153,2020-10-16,-36.0,182.28,2,170374,2786
154,2020-10-17,1.0,185.17,2,171662,2788
155,2020-10-18,-40.0,132.3,2,172626,2788
156,2020-10-19,-27.0,133.01,2,173485,2789
157,2020-10-20,-35.0,134.23,2,174528,2805
158,2020-10-21,-53.0,139.06,2,175674,2828
159,2020-10-22,-46.0,149.08,2,177064,2843
160,2020-10-23,-45.0,176.9,2,180916,2859
161,2020-10-24,-55.0,159.1,2,183276,2866
162,2020-10-25,-25.0,123.91,2,184355,2866
163,2020-10-26,-38.0,130.13,2,185322,2866
164,2020-10-27,-39.0,132.03,2,186437,2892
165,2020-10-28,-58.0,122.24,2,187706,2911
166,2020-10-29,37.0,136.94,2,189149,2914
167,2020-10-30,-29.0,176.66,2,190496,2932
168,2020-10-31,5.0,166.04,2,192285,2967
169,2020-11-01,-17.0,115.51,2,193985,2973
170,2020-11-02,-49.0,126.44,2,194892,2973
171,2020-11-03,131.0,134.06,2,195929,2987
172,2020-11-04,-41.0,120.87,2,197777,3006
173,2020-11-05,-30.0,131.9,2,199158,3026
174,2020-11-06,-45.0,159.19,2,200714,3049
175,2020-11-07,-5.0,147.87,2,202482,3082
176,2020-11-08,-30.0,109.41,2,203687,3084
177,2020-11-09,-39.0,120.11,2,204857,3084
178,2020-11-10,-23.0,124.64,2,206567,3120
