,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-1.0,119.75,2,4578,98
1,2020-05-17,42.0,99.19,2,4759,98
2,2020-05-18,77.0,126.2,2,4813,100
3,2020-05-19,144.0,130.79,2,4923,102
4,2020-05-20,119.0,135.07,2,5003,107
5,2020-05-21,141.0,142.68,2,5458,110
6,2020-05-22,114.0,162.68,2,5612,113
7,2020-05-23,20.0,155.95,2,5775,115
8,2020-05-24,36.0,121.08,2,5922,116
9,2020-05-25,-19.0,115.65,2,6029,117
10,2020-05-26,63.0,130.57,2,6180,119
11,2020-05-27,107.0,132.47,2,6277,120
12,2020-05-28,141.0,137.67,2,6538,125
13,2020-05-29,111.0,166.7,2,6777,132
14,2020-05-30,112.0,160.26,2,7013,133
15,2020-05-31,75.0,121.57,2,7253,133
16,2020-06-01,87.0,136.45,2,7443,133
17,2020-06-02,89.0,137.45,2,7818,136
18,2020-06-03,190.0,138.01,2,8067,142
19,2020-06-04,154.0,148.0,2,8425,151
20,2020-06-05,153.0,174.24,2,8651,152
21,2020-06-06,22.0,169.16,2,9101,154
22,2020-06-07,37.0,131.24,2,9426,154
23,2020-06-08,10.0,128.53,2,9740,155
24,2020-06-09,144.0,144.33,2,10080,161
25,2020-06-10,132.0,148.48,2,10368,165
26,2020-06-11,183.0,156.86,2,10816,171
27,2020-06-12,164.0,183.62,2,11547,176
28,2020-06-13,42.0,175.73,2,12095,177
29,2020-06-14,72.0,136.77,2,12501,179
30,2020-06-15,69.0,148.79,2,12917,182
31,2020-06-16,127.0,150.18,2,13191,188
32,2020-06-17,108.0,152.18,2,13606,197
33,2020-06-18,183.0,160.89,2,13928,208
34,2020-06-19,160.0,189.79,2,14631,214
35,2020-06-20,79.0,174.09,2,15142,224
36,2020-06-21,70.0,123.35,2,15561,225
37,2020-06-22,43.0,145.55,2,16083,227
38,2020-06-23,146.0,147.73,2,16678,237
39,2020-06-24,119.0,157.26,2,17375,240
40,2020-06-25,167.0,164.76,2,18062,240
41,2020-06-26,26.0,186.22,2,18740,249
42,2020-06-27,26.0,180.03,2,19310,259
43,2020-06-28,45.0,139.26,2,19818,264
44,2020-06-29,46.0,146.77,2,20257,265
45,2020-06-30,145.0,155.21,2,20777,270
46,2020-07-01,97.0,160.06,2,21197,277
