,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-175.0,102.23,1,13631,679
1,2020-05-17,-174.0,82.71,1,13937,680
2,2020-05-18,-156.0,94.07,1,14170,686
3,2020-05-19,-156.0,96.78,1,14566,704
4,2020-05-20,-150.0,98.76,1,14897,747
5,2020-05-21,-156.0,104.29,1,15315,763
6,2020-05-22,-147.0,122.56,1,15608,775
7,2020-05-23,-152.0,113.6,1,16040,799
8,2020-05-24,-147.0,94.35,1,16339,800
9,2020-05-25,-172.0,91.23,1,16561,806
10,2020-05-26,-156.0,101.33,1,16783,807
11,2020-05-27,-163.0,102.94,1,17262,831
12,2020-05-28,-163.0,105.51,1,17763,857
13,2020-05-29,-153.0,118.85,1,18465,885
14,2020-05-30,-169.0,112.7,1,19255,903
15,2020-05-31,-164.0,89.01,1,19936,906
16,2020-06-01,-169.0,96.6,1,20123,918
17,2020-06-02,-171.0,97.19,1,21250,943
18,2020-06-03,-166.0,100.95,1,22245,983
19,2020-06-04,-172.0,104.35,1,22818,1000
20,2020-06-05,-165.0,118.37,1,24369,1016
21,2020-06-06,-153.0,114.9,1,25517,1046
22,2020-06-07,-151.0,91.71,1,26924,1048
23,2020-06-08,-163.0,105.28,1,27761,1052
24,2020-06-09,-164.0,105.58,1,28396,1074
25,2020-06-10,-160.0,106.65,1,29981,1100
26,2020-06-11,-165.0,111.32,1,31525,1130
27,2020-06-12,-158.0,125.01,1,33167,1157
28,2020-06-13,-159.0,122.7,1,34773,1190
29,2020-06-14,-152.0,100.07,1,35953,1194
30,2020-06-15,-166.0,107.24,1,37005,1204
31,2020-06-16,-167.0,107.74,1,39298,1228
32,2020-06-17,-160.0,108.4,1,41159,1252
33,2020-06-18,-170.0,111.72,1,43731,1287
34,2020-06-19,-151.0,125.29,1,46914,1322
35,2020-06-20,-142.0,117.34,1,50198,1347
36,2020-06-21,-155.0,88.13,1,52666,1350
37,2020-06-22,-171.0,106.28,1,54767,1354
38,2020-06-23,-173.0,108.53,1,58397,1398
39,2020-06-24,-173.0,107.75,1,60207,1467
40,2020-06-25,-184.0,110.85,1,63297,1495
41,2020-06-26,-177.0,124.35,1,66676,1537
42,2020-06-27,-191.0,116.07,1,70152,1581
43,2020-06-28,-186.0,91.99,1,73961,1594
44,2020-06-29,-171.0,105.25,1,74602,1598
45,2020-06-30,-178.0,105.34,1,79399,1645
46,2020-07-01,-172.0,108.09,1,84152,1726
47,2020-07-02,-173.0,115.92,1,87495,1766
48,2020-07-03,-183.0,113.62,1,91894,1802
49,2020-07-04,-202.0,86.82,1,94616,1821
50,2020-07-05,-195.0,84.96,1,98126,1829
51,2020-07-06,-184.0,101.95,1,101542,1832
52,2020-07-07,-193.0,102.29,1,105159,1933
53,2020-07-08,-192.0,102.79,1,108710,1973
54,2020-07-09,-197.0,105.51,1,112783,2047
55,2020-07-10,-190.0,117.02,1,116947,2093
56,2020-07-11,-204.0,107.96,1,119991,2158
57,2020-07-12,-202.0,86.56,1,122479,2239
58,2020-07-13,-190.0,100.22,1,123917,2250
59,2020-07-14,-189.0,102.68,1,128126,2341
60,2020-07-15,-184.0,104.45,1,131411,2442
