,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,105.0,86.58,0,78933,3254
1,2020-05-17,-7.0,69.9,0,80366,3290
2,2020-05-18,-36.0,75.55,0,81943,3322
3,2020-05-19,-17.0,80.95,0,83981,3422
4,2020-05-20,-4.0,83.81,0,86125,3514
5,2020-05-21,31.0,87.83,0,88488,3624
6,2020-05-22,31.0,102.51,0,90801,3690
7,2020-05-23,48.0,95.55,0,92815,3768
8,2020-05-24,78.0,83.01,0,94743,3790
9,2020-05-25,-28.0,79.84,0,97017,3808
10,2020-05-26,8.0,88.59,0,99924,3859
11,2020-05-27,-6.0,90.35,0,101873,3961
12,2020-05-28,0.0,92.01,0,104071,4042
13,2020-05-29,104.0,103.48,0,107043,4144
14,2020-05-30,100.0,97.8,0,110100,4214
15,2020-05-31,85.0,78.67,0,113114,4242
16,2020-06-01,17.0,83.71,0,115643,4287
17,2020-06-02,41.0,84.86,0,118081,4360
18,2020-06-03,18.0,90.83,0,120407,4422
19,2020-06-04,-7.0,93.75,0,122917,4484
20,2020-06-05,-6.0,106.01,0,126510,4550
21,2020-06-06,33.0,102.78,0,129147,4626
22,2020-06-07,55.0,87.27,0,131997,4653
23,2020-06-08,-4.0,95.33,0,134287,4679
24,2020-06-09,-1.0,98.79,0,137245,4775
25,2020-06-10,-19.0,101.4,0,140139,4869
26,2020-06-11,-10.0,104.13,0,143709,4941
27,2020-06-12,-2.0,118.96,0,147285,4986
28,2020-06-13,27.0,114.95,0,150434,5059
29,2020-06-14,67.0,97.82,0,152953,5089
30,2020-06-15,-3.0,102.23,0,155662,5120
31,2020-06-16,27.0,103.92,0,159131,5202
32,2020-06-17,-1.0,105.9,0,163381,5283
33,2020-06-18,-5.0,109.55,0,167135,5359
34,2020-06-19,-7.0,127.41,0,170843,5425
35,2020-06-20,24.0,119.17,0,174854,5495
36,2020-06-21,46.0,92.17,0,178807,5517
37,2020-06-22,-20.0,105.77,0,184620,5561
38,2020-06-23,-3.0,107.5,0,191039,5637
39,2020-06-24,-11.0,109.89,0,195889,5728
40,2020-06-25,-19.0,113.03,0,201413,5810
41,2020-06-26,-7.0,128.43,0,207027,5872
42,2020-06-27,24.0,122.47,0,211453,5902
43,2020-06-28,56.0,100.07,0,216955,5937
44,2020-06-29,2.0,106.96,0,223995,5979
