,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,31.0,102.79,2,21604,1192
1,2020-05-17,36.0,88.63,2,21909,1215
2,2020-05-18,26.0,97.85,2,22174,1224
3,2020-05-19,13.0,100.85,2,22454,1257
4,2020-05-20,24.0,103.36,2,22769,1299
5,2020-05-21,64.0,108.17,2,23161,1310
6,2020-05-22,59.0,125.92,2,23456,1324
7,2020-05-23,41.0,112.25,2,23932,1327
8,2020-05-24,-63.0,84.5,2,24140,1332
9,2020-05-25,30.0,92.59,2,24256,1333
10,2020-05-26,39.0,106.13,2,24553,1352
11,2020-05-27,35.0,107.24,2,24775,1393
12,2020-05-28,48.0,111.89,2,25116,1422
13,2020-05-29,43.0,125.48,2,25602,1437
14,2020-05-30,45.0,115.31,2,26084,1443
15,2020-05-31,51.0,97.42,2,26364,1445
16,2020-06-01,35.0,109.44,2,26563,1458
17,2020-06-02,37.0,109.92,2,26774,1474
18,2020-06-03,44.0,114.53,2,27046,1494
19,2020-06-04,45.0,118.01,2,27346,1512
20,2020-06-05,60.0,134.89,2,27601,1524
21,2020-06-06,1.0,120.2,2,27834,1527
22,2020-06-07,62.0,109.07,2,27987,1527
23,2020-06-08,24.0,116.03,2,28169,1543
24,2020-06-09,-21.0,113.46,2,28333,1553
25,2020-06-10,71.0,123.44,2,28484,1573
26,2020-06-11,78.0,128.55,2,28632,1583
27,2020-06-12,49.0,146.58,2,28807,1595
28,2020-06-13,79.0,133.53,2,29002,1598
29,2020-06-14,59.0,117.16,2,29115,1599
30,2020-06-15,46.0,124.64,2,29284,1605
31,2020-06-16,62.0,127.24,2,29427,1617
32,2020-06-17,50.0,130.82,2,29658,1631
33,2020-06-18,46.0,132.31,2,29886,1638
34,2020-06-19,29.0,147.31,2,30172,1643
35,2020-06-20,86.0,144.15,2,30334,1647
36,2020-06-21,58.0,112.15,2,30524,1647
37,2020-06-22,64.0,130.0,2,30689,1651
38,2020-06-23,59.0,135.25,2,30877,1665
39,2020-06-24,45.0,138.24,2,31139,1667
40,2020-06-25,72.0,142.9,2,31463,1669
41,2020-06-26,43.0,158.96,2,31780,1673
42,2020-06-27,89.0,157.67,2,32006,1674
43,2020-06-28,68.0,133.15,2,32290,1676
44,2020-06-29,53.0,138.42,2,32495,1682
45,2020-06-30,68.0,143.68,2,32698,1690
46,2020-07-01,73.0,146.39,2,33012,1697
47,2020-07-02,96.0,158.02,2,33335,1701
48,2020-07-03,84.0,158.84,2,33607,1701
49,2020-07-04,92.0,120.86,2,33900,1703
50,2020-07-05,16.0,127.56,2,34100,1703
51,2020-07-06,45.0,138.49,2,34316,1704
52,2020-07-07,45.0,140.67,2,34717,1709
53,2020-07-08,49.0,143.93,2,35185,1707
54,2020-07-09,64.0,149.39,2,35604,1707
55,2020-07-10,57.0,170.42,2,36210,1724
56,2020-07-11,73.0,159.46,2,36633,1725
57,2020-07-12,57.0,133.82,2,36933,1726
58,2020-07-13,28.0,140.46,2,37303,1728
59,2020-07-14,57.0,142.2,2,37761,1739
60,2020-07-15,70.0,145.04,2,38240,1745
61,2020-07-16,64.0,149.65,2,38817,1746
62,2020-07-17,57.0,169.72,2,39409,1753
63,2020-07-18,75.0,160.1,2,39811,1753
64,2020-07-19,41.0,138.23,2,40182,1753
65,2020-07-20,45.0,143.85,2,40649,1759
66,2020-07-21,51.0,143.55,2,41152,1764
67,2020-07-22,42.0,147.16,2,41747,1772
68,2020-07-23,56.0,154.52,2,42409,1788
69,2020-07-24,36.0,171.26,2,43098,1791
70,2020-07-25,73.0,162.3,2,43847,1795
71,2020-07-26,71.0,137.69,2,44364,1795
72,2020-07-27,57.0,144.5,2,44723,1800
73,2020-07-28,46.0,144.59,2,45420,1809
74,2020-07-29,58.0,149.76,2,45885,1826
75,2020-07-30,60.0,155.96,2,46338,1826
76,2020-07-31,79.0,176.32,2,46948,1841
77,2020-08-01,66.0,170.14,2,47357,1846
78,2020-08-02,57.0,143.13,2,47799,1846
79,2020-08-03,71.0,151.28,2,48119,1849
80,2020-08-04,28.0,149.15,2,48492,1855
81,2020-08-05,55.0,155.38,2,49143,1857
82,2020-08-06,76.0,159.73,2,49633,1857
83,2020-08-07,55.0,180.48,2,50081,1862
84,2020-08-08,59.0,169.02,2,50491,1862
85,2020-08-09,44.0,143.69,2,50799,1863
86,2020-08-10,44.0,150.71,2,51104,1868
87,2020-08-11,41.0,152.06,2,51487,1878
88,2020-08-12,51.0,158.33,2,51847,1881
89,2020-08-13,57.0,162.99,2,52242,1886
90,2020-08-14,45.0,182.6,2,52587,1892
91,2020-08-15,45.0,171.41,2,52868,1897
92,2020-08-16,40.0,144.73,2,53188,1897
93,2020-08-17,-3.0,147.96,2,53391,1903
94,2020-08-18,-20.0,146.82,2,53674,1906
95,2020-08-19,-7.0,150.44,2,53943,1906
96,2020-08-20,6.0,155.61,2,54285,1909
97,2020-08-21,-1.0,176.31,2,54658,1915
98,2020-08-22,-26.0,165.03,2,54939,1923
99,2020-08-23,-3.0,132.38,2,55441,1925
100,2020-08-24,-8.0,132.71,2,55700,1926
