,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,45.0,111.91,2,36703,3339
1,2020-05-17,-20.0,86.62,2,37419,3408
2,2020-05-18,-48.0,91.73,2,38116,3449
3,2020-05-19,-17.0,99.46,2,38430,3472
4,2020-05-20,16.0,106.78,2,39017,3529
5,2020-05-21,21.0,113.5,2,39208,3582
6,2020-05-22,36.0,128.11,2,39640,3637
7,2020-05-23,-8.0,100.73,2,40022,3675
8,2020-05-24,67.0,103.3,2,40468,3693
9,2020-05-25,-22.0,88.51,2,40873,3742
10,2020-05-26,-9.0,110.33,2,41303,3769
11,2020-05-27,37.0,114.33,2,41288,3803
12,2020-05-28,4.0,106.92,2,41559,3826
13,2020-05-29,-14.0,121.79,2,41762,3868
14,2020-05-30,82.0,127.51,2,42022,3912
15,2020-05-31,39.0,109.24,2,42201,3944
16,2020-06-01,15.0,109.79,2,42740,3964
17,2020-06-02,36.0,111.43,2,42979,3972
18,2020-06-03,47.0,113.14,2,43091,3989
19,2020-06-04,46.0,126.36,2,43239,4007
20,2020-06-05,41.0,131.11,2,43460,4038
21,2020-06-06,160.0,136.55,2,43818,4055
22,2020-06-07,46.0,115.88,2,43968,4071
23,2020-06-08,38.0,120.73,2,44092,4084
24,2020-06-09,31.0,128.87,2,44179,4097
25,2020-06-10,58.0,129.21,2,44347,4120
26,2020-06-11,-23.0,118.48,2,44461,4146
27,2020-06-12,47.0,155.55,2,44689,4159
28,2020-06-13,293.0,147.2,2,44994,4186
29,2020-06-14,81.0,118.77,2,45088,4201
30,2020-06-15,56.0,127.58,2,45235,4204
31,2020-06-16,77.0,136.87,2,45349,4210
32,2020-06-17,93.0,139.63,2,45429,4219
33,2020-06-18,75.0,143.83,2,45440,4226
34,2020-06-19,78.0,165.47,2,45557,4238
35,2020-06-20,314.0,158.33,2,45715,4251
36,2020-06-21,96.0,117.1,2,45755,4260
37,2020-06-22,57.0,137.88,2,45782,4263
38,2020-06-23,62.0,142.72,2,45899,4277
39,2020-06-24,65.0,143.22,2,45913,4287
40,2020-06-25,83.0,154.05,2,45994,4298
41,2020-06-26,60.0,172.32,2,46059,4307
42,2020-06-27,167.0,149.62,2,46206,4311
43,2020-06-28,65.0,125.98,2,46303,4316
44,2020-06-29,11.0,135.61,2,46362,4320
45,2020-06-30,29.0,138.94,2,46514,4322
46,2020-07-01,51.0,144.99,2,46572,4324
47,2020-07-02,124.0,169.43,2,46646,4326
48,2020-07-03,71.0,149.86,2,46717,4335
49,2020-07-04,244.0,129.56,2,46717,4335
50,2020-07-05,49.0,133.54,2,46717,4335
51,2020-07-06,60.0,142.72,2,46976,4338
52,2020-07-07,43.0,141.04,2,47033,4338
53,2020-07-08,63.0,140.17,2,47108,4343
54,2020-07-09,65.0,154.21,2,47209,4348
55,2020-07-10,9.0,148.82,2,47287,4348
56,2020-07-11,194.0,157.26,2,47287,4348
57,2020-07-12,83.0,141.67,2,47287,4348
58,2020-07-13,15.0,142.14,2,47510,4371
59,2020-07-14,58.0,149.09,2,47530,4372
60,2020-07-15,87.0,149.72,2,47636,4380
61,2020-07-16,95.0,156.58,2,47750,4389
62,2020-07-17,39.0,172.29,2,47893,4396
63,2020-07-18,334.0,172.97,2,47893,4396
64,2020-07-19,70.0,139.86,2,47893,4396
65,2020-07-20,33.0,142.96,2,48055,4406
66,2020-07-21,55.0,148.41,2,48096,4406
67,2020-07-22,63.0,147.09,2,48223,4406
68,2020-07-23,45.0,151.47,2,48232,4410
69,2020-07-24,71.0,174.97,2,48776,4413
70,2020-07-25,332.0,176.06,2,48776,4413
71,2020-07-26,90.0,143.78,2,48776,4413
72,2020-07-27,45.0,147.38,2,48983,4418
73,2020-07-28,32.0,148.87,2,49077,4423
74,2020-07-29,87.0,156.25,2,49540,4425
75,2020-07-30,55.0,157.59,2,49670,4431
76,2020-07-31,60.0,173.21,2,49810,4432
77,2020-08-01,329.0,176.79,2,49810,4432
78,2020-08-02,54.0,129.12,2,49810,4432
79,2020-08-03,81.0,150.34,2,50062,4437
80,2020-08-04,9.0,127.25,2,50110,4437
81,2020-08-05,152.0,163.72,2,50225,4437
82,2020-08-06,142.0,163.88,2,50245,4437
83,2020-08-07,63.0,177.2,2,50320,4441
84,2020-08-08,312.0,178.98,2,50320,4441
85,2020-08-09,82.0,147.5,2,50320,4441
86,2020-08-10,49.0,156.45,2,50567,4444
87,2020-08-11,53.0,160.96,2,50684,4444
88,2020-08-12,60.0,157.71,2,50706,4450
89,2020-08-13,61.0,160.24,2,50782,4450
90,2020-08-14,52.0,180.41,2,50897,4453
91,2020-08-15,287.0,178.77,2,50897,4453
92,2020-08-16,-9.0,131.37,2,50897,4453
93,2020-08-17,1.0,150.35,2,51267,4456
94,2020-08-18,24.0,158.17,2,51255,4456
95,2020-08-19,-12.0,154.24,2,51314,4457
96,2020-08-20,36.0,163.55,2,51432,4458
97,2020-08-21,18.0,185.93,2,51519,4460
98,2020-08-22,208.0,178.81,2,51519,4460
99,2020-08-23,94.0,145.79,2,51519,4460
100,2020-08-24,9.0,147.33,2,52011,4460
101,2020-08-25,7.0,150.93,2,52040,4463
102,2020-08-26,29.0,154.83,2,52220,4463
103,2020-08-27,-44.0,148.13,2,52350,4465
104,2020-08-28,29.0,183.5,2,52495,4465
105,2020-08-29,25.0,152.88,2,52495,4465
106,2020-08-30,155.0,146.23,2,52495,4465
107,2020-08-31,13.0,142.31,2,52879,4465
108,2020-09-01,24.0,146.47,2,53006,4466
109,2020-09-02,-58.0,138.95,2,53108,4467
110,2020-09-03,20.0,159.54,2,53209,4468
111,2020-09-04,34.0,186.24,2,53365,4468
112,2020-09-05,227.0,179.03,2,53365,4468
113,2020-09-06,145.0,144.73,2,53365,4468
114,2020-09-07,92.0,133.03,2,53365,4468
115,2020-09-08,6.0,141.82,2,53782,4474
116,2020-09-09,-9.0,143.15,2,53871,4474
117,2020-09-10,-58.0,138.82,2,54093,4478
118,2020-09-11,74.0,171.0,2,54326,4480
119,2020-09-12,247.0,175.98,2,54326,4480
120,2020-09-13,108.0,130.5,2,54326,4480
121,2020-09-14,72.0,133.1,2,54895,4485
122,2020-09-15,77.0,136.23,2,55031,4485
123,2020-09-16,82.0,138.94,2,55166,4487
124,2020-09-17,72.0,144.25,2,55386,4488
125,2020-09-18,57.0,170.49,2,55527,4492
126,2020-09-19,207.0,175.67,2,55527,4492
127,2020-09-20,120.0,136.33,2,55527,4492
128,2020-09-21,64.0,127.8,2,56024,4495
129,2020-09-22,43.0,130.6,2,56160,4496
130,2020-09-23,44.0,134.76,2,56315,4497
131,2020-09-24,22.0,139.14,2,56472,4499
132,2020-09-25,36.0,169.04,2,56587,4501
133,2020-09-26,200.0,174.62,2,56587,4501
134,2020-09-27,77.0,134.15,2,56587,4501
135,2020-09-28,22.0,129.55,2,57147,4503
136,2020-09-29,31.0,126.36,2,57329,4505
137,2020-09-30,42.0,132.06,2,57550,4508
138,2020-10-01,69.0,139.91,2,57742,4511
139,2020-10-02,31.0,156.56,2,58297,4513
140,2020-10-03,189.0,168.91,2,58297,4513
141,2020-10-04,105.0,130.24,2,58297,4513
142,2020-10-05,36.0,120.94,2,59120,4517
143,2020-10-06,34.0,126.05,2,59241,4521
144,2020-10-07,32.0,127.41,2,59364,4522
145,2020-10-08,66.0,138.21,2,59748,4527
146,2020-10-09,58.0,166.17,2,60038,4530
147,2020-10-10,199.0,175.34,2,60038,4530
148,2020-10-11,121.0,132.09,2,60038,4530
149,2020-10-12,-9.0,120.98,2,61377,4532
150,2020-10-13,-45.0,116.38,2,61697,4533
151,2020-10-14,62.0,132.28,2,61861,4537
152,2020-10-15,37.0,136.44,2,62028,4540
153,2020-10-16,-23.0,149.49,2,62830,4542
154,2020-10-17,125.0,164.44,2,62830,4542
155,2020-10-18,86.0,129.11,2,62830,4542
156,2020-10-19,18.0,120.89,2,64021,4554
157,2020-10-20,11.0,122.38,2,64455,4559
158,2020-10-21,48.0,124.59,2,64871,4567
159,2020-10-22,46.0,133.45,2,65373,4569
160,2020-10-23,19.0,155.36,2,66052,4577
161,2020-10-24,103.0,158.94,2,66052,4577
162,2020-10-25,46.0,119.89,2,66052,4577
163,2020-10-26,-6.0,114.54,2,68099,4589
164,2020-10-27,11.0,119.16,2,68637,4595
165,2020-10-28,-27.0,117.18,2,69127,4604
166,2020-10-29,-42.0,118.7,2,70446,4609
167,2020-10-30,-82.0,131.15,2,71207,4616
168,2020-10-31,88.0,140.84,2,71207,4616
169,2020-11-01,-25.0,98.38,2,71207,4616
170,2020-11-02,-27.0,110.49,2,73858,4627
171,2020-11-03,17.0,119.1,2,74843,4635
172,2020-11-04,-2.0,105.71,2,75373,4645
173,2020-11-05,15.0,114.25,2,77060,4656
174,2020-11-06,-15.0,134.53,2,78125,4671
175,2020-11-07,137.0,137.39,2,78125,4671
176,2020-11-08,47.0,104.88,2,78125,4671
177,2020-11-09,29.0,105.78,2,81463,4698
178,2020-11-10,18.0,114.1,2,82987,4707
179,2020-11-11,7.0,109.52,2,84741,4716
180,2020-11-12,-28.0,103.81,2,85899,4726
181,2020-11-13,-45.0,124.95,2,88645,4737
182,2020-11-14,49.0,124.52,2,88645,4737
183,2020-11-15,-13.0,88.25,2,88645,4737
184,2020-11-16,-16.0,102.63,2,93284,4759
185,2020-11-17,-20.0,104.73,2,94986,4771
