,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-204.0,,2,7042,375
1,2020-05-17,-231.0,,2,7123,383
2,2020-05-18,-258.0,,2,7270,392
3,2020-05-19,-252.0,,2,7434,400
4,2020-05-20,-251.0,,2,7551,407
5,2020-05-21,-248.0,,2,7788,412
6,2020-05-22,-260.0,,2,7893,418
7,2020-05-23,-192.0,,2,7966,427
8,2020-05-24,-212.0,,2,8110,432
9,2020-05-25,-244.0,,2,8225,440
10,2020-05-26,-237.0,,2,8334,440
11,2020-05-27,-240.0,,2,8406,445
12,2020-05-28,-254.0,,2,8492,453
13,2020-05-29,-229.0,,2,8538,460
14,2020-05-30,-156.0,,2,8717,462
15,2020-05-31,-152.0,,2,8801,466
16,2020-06-01,-229.0,,2,8857,468
17,2020-06-02,-220.0,,2,8886,470
18,2020-06-03,-213.0,,2,9016,473
19,2020-06-04,-229.0,,2,9120,475
20,2020-06-05,-230.0,,2,9199,479
21,2020-06-06,-104.0,,2,9269,483
22,2020-06-07,-137.0,,2,9332,489
23,2020-06-08,-207.0,,2,9389,491
24,2020-06-09,-213.0,,2,9474,495
25,2020-06-10,-226.0,,2,9537,499
26,2020-06-11,-232.0,,2,9589,502
27,2020-06-12,-200.0,,2,9654,506
28,2020-06-13,-148.0,,2,9709,511
29,2020-06-14,-145.0,,2,9767,515
30,2020-06-15,-210.0,,2,9799,515
31,2020-06-16,-209.0,,2,9818,520
32,2020-06-17,-249.0,,2,9847,523
33,2020-06-18,-218.0,,2,9903,527
34,2020-06-19,-201.0,,2,9952,530
35,2020-06-20,-195.0,,2,9984,531
36,2020-06-21,-156.0,,2,10020,533
37,2020-06-22,-230.0,,2,10058,535
38,2020-06-23,-209.0,,2,10094,537
39,2020-06-24,-200.0,,2,10128,541
40,2020-06-25,-212.0,,2,10159,543
41,2020-06-26,-194.0,,2,10185,546
42,2020-06-27,-170.0,,2,10216,548
43,2020-06-28,-161.0,,2,10248,550
44,2020-06-29,-208.0,,2,10292,551
45,2020-06-30,-203.0,,2,10327,551
46,2020-07-01,-203.0,,2,10365,553
47,2020-07-02,-194.0,,2,10390,554
48,2020-07-03,-215.0,,2,10435,555
49,2020-07-04,-135.0,,2,10447,557
50,2020-07-05,-186.0,,2,10482,559
51,2020-07-06,-230.0,,2,10515,561
52,2020-07-07,-218.0,,2,10569,561
53,2020-07-08,-209.0,,2,10642,564
54,2020-07-09,-209.0,,2,10679,568
55,2020-07-10,-207.0,,2,10743,568
56,2020-07-11,-163.0,,2,10801,568
57,2020-07-12,-170.0,,2,10847,568
58,2020-07-13,-212.0,,2,10906,568
59,2020-07-14,-204.0,,2,10946,568
60,2020-07-15,-207.0,,2,11026,571
61,2020-07-16,-207.0,,2,11076,574
62,2020-07-17,-195.0,,2,11115,577
63,2020-07-18,-167.0,,2,11194,578
64,2020-07-19,-182.0,,2,11261,578
65,2020-07-20,-231.0,,2,11339,579
66,2020-07-21,-220.0,,2,11427,580
67,2020-07-22,-240.0,,2,11529,580
68,2020-07-23,-214.0,,2,11571,581
69,2020-07-24,-215.0,,2,11649,581
70,2020-07-25,-156.0,,2,11717,581
71,2020-07-26,-171.0,,2,11780,581
72,2020-07-27,-212.0,,2,11858,582
73,2020-07-28,-211.0,,2,11945,583
74,2020-07-29,-210.0,,2,11999,584
75,2020-07-30,-224.0,,2,12057,584
76,2020-07-31,-222.0,,2,12126,585
77,2020-08-01,-157.0,,2,12205,585
78,2020-08-02,-168.0,,2,12274,586
79,2020-08-03,-232.0,,2,12313,586
80,2020-08-04,-245.0,,2,12398,587
81,2020-08-05,-201.0,,2,12443,587
82,2020-08-06,-225.0,,2,12518,587
83,2020-08-07,-207.0,,2,12589,589
84,2020-08-08,-156.0,,2,12653,590
