,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,132.0,114.68,2,7547,286
1,2020-05-17,7.0,91.28,2,7670,290
2,2020-05-18,-57.0,102.32,2,7869,297
3,2020-05-19,-11.0,108.67,2,8037,304
4,2020-05-20,-3.0,108.51,2,8194,310
5,2020-05-21,60.0,119.1,2,8386,317
6,2020-05-22,27.0,128.35,2,8529,322
7,2020-05-23,183.0,119.33,2,8690,324
8,2020-05-24,82.0,103.77,2,8809,326
9,2020-05-25,121.0,100.87,2,8965,332
10,2020-05-26,88.0,118.01,2,9066,335
11,2020-05-27,134.0,121.14,2,9096,344
12,2020-05-28,68.0,120.34,2,9171,345
13,2020-05-29,98.0,137.51,2,9236,356
14,2020-05-30,294.0,138.69,2,9422,361
15,2020-05-31,251.0,112.82,2,9498,366
16,2020-06-01,160.0,123.4,2,9605,368
17,2020-06-02,159.0,122.8,2,9685,373
18,2020-06-03,274.0,130.02,2,9712,375
19,2020-06-04,239.0,138.67,2,9746,386
20,2020-06-05,5.0,164.75,2,9773,388
21,2020-06-06,143.0,166.3,2,9845,390
22,2020-06-07,170.0,146.78,2,9942,398
23,2020-06-08,311.0,145.68,2,9972,398
24,2020-06-09,90.0,155.61,2,10020,410
25,2020-06-10,345.0,154.42,2,10056,413
26,2020-06-11,165.0,151.58,2,10106,414
27,2020-06-12,437.0,190.37,2,10173,414
28,2020-06-13,233.0,193.64,2,10229,419
29,2020-06-14,530.0,162.25,2,10264,422
30,2020-06-15,284.0,154.99,2,10340,423
31,2020-06-16,132.0,154.18,2,10403,424
32,2020-06-17,167.0,152.37,2,10444,426
33,2020-06-18,381.0,159.79,2,10499,431
34,2020-06-19,455.0,186.11,2,10611,433
35,2020-06-20,185.0,186.35,2,10681,434
36,2020-06-21,577.0,146.49,2,10775,435
37,2020-06-22,443.0,159.79,2,10820,435
38,2020-06-23,121.0,164.35,2,10847,504
39,2020-06-24,170.0,170.47,2,10889,505
40,2020-06-25,421.0,180.72,2,10980,507
41,2020-06-26,601.0,202.69,2,11017,507
42,2020-06-27,261.0,209.13,2,11091,507
43,2020-06-28,232.0,172.48,2,11226,507
44,2020-06-29,499.0,168.26,2,11376,507
45,2020-06-30,166.0,165.06,2,11474,509
46,2020-07-01,379.0,171.22,2,11510,509
47,2020-07-02,199.0,190.8,2,11731,510
48,2020-07-03,,196.24,2,11923,512
49,2020-07-04,188.0,160.52,2,11996,512
50,2020-07-05,195.0,169.23,2,12128,512
51,2020-07-06,449.0,167.17,2,12293,512
52,2020-07-07,82.0,164.48,2,12414,514
53,2020-07-08,136.0,165.32,2,12462,515
54,2020-07-09,138.0,170.55,2,12531,517
55,2020-07-10,208.0,176.46,2,12652,517
56,2020-07-11,520.0,191.54,2,12743,517
57,2020-07-12,195.0,153.08,2,12804,517
58,2020-07-13,402.0,161.7,2,12879,517
59,2020-07-14,139.0,163.83,2,12969,518
60,2020-07-15,475.0,165.78,2,13050,521
61,2020-07-16,83.0,172.71,2,13114,521
62,2020-07-17,464.0,199.83,2,13337,521
63,2020-07-18,206.0,206.7,2,13429,523
64,2020-07-19,209.0,168.11,2,13519,523
65,2020-07-20,397.0,164.97,2,13624,523
66,2020-07-21,124.0,165.9,2,13746,525
67,2020-07-22,405.0,163.36,2,13792,527
68,2020-07-23,132.0,172.41,2,13924,529
69,2020-07-24,381.0,197.74,2,14202,578
70,2020-07-25,255.0,210.49,2,14175,579
71,2020-07-26,214.0,170.17,2,14290,579
72,2020-07-27,439.0,166.44,2,14406,579
73,2020-07-28,115.0,164.93,2,14476,580
74,2020-07-29,484.0,171.43,2,14602,581
75,2020-07-30,461.0,175.43,2,14689,581
76,2020-07-31,316.0,191.27,2,14788,585
77,2020-08-01,228.0,209.13,2,14877,585
78,2020-08-02,193.0,160.2,2,14949,585
79,2020-08-03,388.0,162.74,2,15055,585
80,2020-08-04,-20.0,140.0,2,15137,587
81,2020-08-05,133.0,175.69,2,15296,587
82,2020-08-06,93.0,173.43,2,15365,587
83,2020-08-07,451.0,199.85,2,15445,588
84,2020-08-08,245.0,216.06,2,15502,590
85,2020-08-09,225.0,174.48,2,15575,591
86,2020-08-10,495.0,174.45,2,15634,591
87,2020-08-11,139.0,171.01,2,15699,591
88,2020-08-12,438.0,166.25,2,15765,592
89,2020-08-13,78.0,171.82,2,15967,593
90,2020-08-14,418.0,198.35,2,16340,593
91,2020-08-15,198.0,206.82,2,16396,593
92,2020-08-16,105.0,167.99,2,16451,593
93,2020-08-17,,163.86,2,16536,593
94,2020-08-18,,168.14,2,16593,593
95,2020-08-19,,165.66,2,16643,595
96,2020-08-20,,178.04,2,16718,595
97,2020-08-21,50.0,210.64,2,16770,600
98,2020-08-22,,201.12,2,16828,600
99,2020-08-23,,165.17,2,16895,600
100,2020-08-24,,161.71,2,16942,604
101,2020-08-25,,160.93,2,16962,603
102,2020-08-26,,165.11,2,16986,604
103,2020-08-27,,170.76,2,16976,604
104,2020-08-28,7.0,196.12,2,17083,604
105,2020-08-29,,174.62,2,17349,604
106,2020-08-30,,164.91,2,17343,604
107,2020-08-31,,153.81,2,17429,605
108,2020-09-01,,151.27,2,17535,605
109,2020-09-02,,155.54,2,17549,606
110,2020-09-03,,168.6,2,17653,606
111,2020-09-04,45.0,209.76,2,17752,606
112,2020-09-05,,197.11,2,17892,608
113,2020-09-06,,166.04,2,18043,609
114,2020-09-07,,171.37,2,18249,609
115,2020-09-08,,154.06,2,18308,609
116,2020-09-09,,149.47,2,18308,609
117,2020-09-10,,150.82,2,18466,613
118,2020-09-11,263.0,185.52,2,18559,613
119,2020-09-12,490.0,185.46,2,18726,613
120,2020-09-13,369.0,141.35,2,18849,615
121,2020-09-14,262.0,145.4,2,18937,617
122,2020-09-15,295.0,154.29,2,19137,618
123,2020-09-16,326.0,148.27,2,19234,619
124,2020-09-17,227.0,153.44,2,19318,619
125,2020-09-18,235.0,181.71,2,19366,620
126,2020-09-19,394.0,183.59,2,19449,621
127,2020-09-20,298.0,142.23,2,19566,621
128,2020-09-21,176.0,138.21,2,19667,627
129,2020-09-22,204.0,136.42,2,19761,628
130,2020-09-23,265.0,142.57,2,19830,629
131,2020-09-24,207.0,152.89,2,19947,630
132,2020-09-25,237.0,183.39,2,20085,631
133,2020-09-26,370.0,170.84,2,20156,633
134,2020-09-27,276.0,154.91,2,20260,633
135,2020-09-28,202.0,138.8,2,20389,634
136,2020-09-29,75.0,129.25,2,20531,635
137,2020-09-30,126.0,135.78,2,20613,636
138,2020-10-01,197.0,144.08,2,20787,636
139,2020-10-02,180.0,169.57,2,20937,642
140,2020-10-03,328.0,173.17,2,21125,645
141,2020-10-04,213.0,131.39,2,21243,645
142,2020-10-05,109.0,128.75,2,21363,645
143,2020-10-06,163.0,133.32,2,21466,646
144,2020-10-07,200.0,133.92,2,21550,649
145,2020-10-08,148.0,141.08,2,21682,651
146,2020-10-09,208.0,172.95,2,21827,651
147,2020-10-10,308.0,168.79,2,21998,653
148,2020-10-11,112.0,122.51,2,22130,654
149,2020-10-12,-21.0,120.67,2,22289,656
150,2020-10-13,93.0,126.8,2,22394,659
151,2020-10-14,161.0,132.45,2,22465,660
152,2020-10-15,187.0,139.83,2,22560,661
153,2020-10-16,12.0,157.69,2,22724,662
154,2020-10-17,229.0,167.64,2,22942,664
155,2020-10-18,149.0,128.07,2,23093,665
156,2020-10-19,111.0,128.37,2,23196,666
157,2020-10-20,115.0,127.55,2,23325,668
158,2020-10-21,161.0,133.25,2,23375,670
159,2020-10-22,155.0,138.42,2,23528,670
160,2020-10-23,118.0,168.21,2,23687,678
