,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,13.0,90.39,2,44803,1963
1,2020-05-17,36.0,73.44,2,45580,1972
2,2020-05-18,-28.0,81.06,2,46434,1996
3,2020-05-19,24.0,87.68,2,46936,2051
4,2020-05-20,-1.0,89.41,2,47463,2095
5,2020-05-21,50.0,92.92,2,48667,2143
6,2020-05-22,51.0,110.04,2,49443,2189
7,2020-05-23,113.0,105.04,2,50119,2232
8,2020-05-24,175.0,80.96,2,50859,2236
9,2020-05-25,33.0,75.09,2,51738,2251
10,2020-05-26,32.0,91.33,2,52247,2258
11,2020-05-27,71.0,96.57,2,52626,2318
12,2020-05-28,57.0,97.45,2,53277,2363
13,2020-05-29,50.0,111.08,2,54489,2412
14,2020-05-30,77.0,110.65,2,55416,2446
15,2020-05-31,131.0,83.91,2,56155,2450
16,2020-06-01,71.0,94.14,2,56822,2459
17,2020-06-02,65.0,94.98,2,57439,2529
18,2020-06-03,91.0,94.19,2,58756,2565
19,2020-06-04,97.0,97.0,2,60175,2606
20,2020-06-05,54.0,113.05,2,61480,2659
21,2020-06-06,13.0,104.44,2,62750,2687
22,2020-06-07,20.0,81.93,2,63930,2699
23,2020-06-08,21.0,98.53,2,64896,2711
24,2020-06-09,37.0,101.99,2,65992,2764
25,2020-06-10,122.0,104.38,2,67363,2800
26,2020-06-11,104.0,108.31,2,69061,2847
27,2020-06-12,101.0,126.06,2,70963,2876
28,2020-06-13,160.0,121.73,2,73544,2924
29,2020-06-14,197.0,94.63,2,75560,2930
30,2020-06-15,162.0,105.9,2,77318,2937
31,2020-06-16,117.0,108.5,2,80101,2992
32,2020-06-17,152.0,109.11,2,82711,3017
33,2020-06-18,138.0,112.28,2,85918,3060
34,2020-06-19,111.0,128.0,2,89740,3103
35,2020-06-20,164.0,124.83,2,93789,3143
36,2020-06-21,193.0,91.39,2,97283,3160
37,2020-06-22,94.0,108.11,2,100209,3172
38,2020-06-23,96.0,109.7,2,103495,3237
39,2020-06-24,111.0,111.53,2,109006,3280
40,2020-06-25,113.0,115.1,2,114010,3326
41,2020-06-26,75.0,128.17,2,122952,3365
42,2020-06-27,123.0,121.23,2,132537,3389
43,2020-06-28,185.0,94.51,2,141067,3418
44,2020-06-29,92.0,106.51,2,146333,3446
45,2020-06-30,108.0,108.42,2,152426,3504
46,2020-07-01,145.0,110.19,2,158989,3549
47,2020-07-02,133.0,117.76,2,169098,3616
48,2020-07-03,92.0,120.92,2,178586,3683
49,2020-07-04,86.0,95.55,2,190044,3701
50,2020-07-05,129.0,88.03,2,200103,3730
51,2020-07-06,82.0,104.14,2,206439,3777
52,2020-07-07,54.0,105.27,2,213786,3840
53,2020-07-08,120.0,105.64,2,223775,3888
54,2020-07-09,92.0,110.27,2,232710,4008
55,2020-07-10,56.0,123.4,2,244143,4101
56,2020-07-11,131.0,114.28,2,254503,4196
57,2020-07-12,160.0,90.16,2,269803,4241
58,2020-07-13,88.0,104.28,2,282427,4276
59,2020-07-14,77.0,104.56,2,291621,4408
