,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,77.0,125.49,2,35655,1573
1,2020-05-17,45.0,97.7,2,35954,1584
2,2020-05-18,-44.0,104.65,2,36634,1624
3,2020-05-19,10.0,113.27,2,37214,1650
4,2020-05-20,-37.0,110.2,2,38162,1672
5,2020-05-21,-1.0,120.86,2,38969,1749
6,2020-05-22,-41.0,141.81,2,39734,1779
7,2020-05-23,6.0,135.62,2,40408,1794
8,2020-05-24,0.0,106.25,2,40989,1799
9,2020-05-25,-60.0,102.42,2,41414,1820
10,2020-05-26,-25.0,113.08,2,42066,1867
11,2020-05-27,-6.0,113.28,2,42713,1904
12,2020-05-28,-3.0,122.06,2,43363,1942
13,2020-05-29,-26.0,142.33,2,43888,1953
14,2020-05-30,133.0,137.59,2,44336,1973
15,2020-05-31,117.0,106.22,2,45051,2019
16,2020-06-01,21.0,118.3,2,45757,2057
17,2020-06-02,20.0,118.56,2,46063,2070
18,2020-06-03,25.0,121.4,2,46711,2092
19,2020-06-04,5.0,127.93,2,47528,2116
20,2020-06-05,-33.0,143.15,2,48280,2143
21,2020-06-06,158.0,145.62,2,48943,2147
22,2020-06-07,19.0,113.49,2,49371,2148
23,2020-06-08,7.0,122.68,2,49995,2176
24,2020-06-09,42.0,126.67,2,50769,2250
25,2020-06-10,-3.0,127.46,2,51465,2292
26,2020-06-11,13.0,137.41,2,52332,2337
27,2020-06-12,-12.0,157.68,2,53201,2384
28,2020-06-13,45.0,162.35,2,54178,2411
29,2020-06-14,51.0,120.68,2,54874,2416
30,2020-06-15,17.0,127.78,2,55505,2457
31,2020-06-16,28.0,130.33,2,56302,2492
32,2020-06-17,28.0,133.75,2,57217,2536
33,2020-06-18,15.0,141.55,2,58040,2565
34,2020-06-19,13.0,168.98,2,59117,2596
35,2020-06-20,41.0,166.87,2,60669,2602
36,2020-06-21,9.0,117.0,2,61493,2603
37,2020-06-22,3.0,131.91,2,62705,2607
38,2020-06-23,2.0,131.94,2,64577,2646
39,2020-06-24,10.0,134.92,2,66290,2658
40,2020-06-25,0.0,144.48,2,67796,2704
41,2020-06-26,1.0,167.89,2,69542,2727
42,2020-06-27,25.0,166.84,2,71066,2733
43,2020-06-28,132.0,129.3,2,72800,2735
44,2020-06-29,11.0,135.77,2,74816,2739
45,2020-06-30,12.0,137.53,2,77280,2758
46,2020-07-01,19.0,142.23,2,79589,2779
47,2020-07-02,18.0,156.23,2,82475,2801
48,2020-07-03,2.0,163.15,2,85079,2808
49,2020-07-04,-61.0,135.33,2,87592,2809
50,2020-07-05,6.0,124.92,2,89489,2812
51,2020-07-06,-15.0,133.4,2,91015,2829
52,2020-07-07,-37.0,132.49,2,93707,2850
53,2020-07-08,4.0,137.61,2,96538,2871
54,2020-07-09,1.0,144.33,2,98693,2880
55,2020-07-10,-8.0,168.58,2,103597,2915
56,2020-07-11,7.0,164.87,2,106574,2946
57,2020-07-12,120.0,122.29,2,108389,2951
58,2020-07-13,11.0,135.47,2,111937,2972
59,2020-07-14,-9.0,137.24,2,114579,2996
60,2020-07-15,-1.0,140.85,2,118147,3030
61,2020-07-16,-12.0,147.23,2,120848,3043
62,2020-07-17,-22.0,168.88,2,124267,3071
63,2020-07-18,160.0,167.39,2,128341,3105
64,2020-07-19,119.0,128.75,2,130794,3110
65,2020-07-20,-4.0,137.32,2,132788,3113
66,2020-07-21,-12.0,137.05,2,135865,3186
67,2020-07-22,-9.0,141.81,2,139120,3264
68,2020-07-23,-22.0,147.55,2,143857,3288
69,2020-07-24,4.0,166.75,2,147732,3368
70,2020-07-25,143.0,164.49,2,151262,3421
71,2020-07-26,101.0,129.21,2,153476,3424
72,2020-07-27,-4.0,137.25,2,155907,3435
73,2020-07-28,-4.0,138.09,2,160038,3488
74,2020-07-29,7.0,140.16,2,163547,3566
75,2020-07-30,-13.0,146.35,2,167545,3596
76,2020-07-31,-27.0,163.22,2,171342,3674
77,2020-08-01,25.0,167.14,2,174834,3744
