,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-9.0,129.98,2,14328,346
1,2020-05-17,-68.0,104.61,2,14651,351
2,2020-05-18,19.0,124.09,2,14955,355
3,2020-05-19,46.0,132.35,2,15296,367
4,2020-05-20,103.0,134.88,2,15868,400
5,2020-05-21,104.0,143.67,2,16170,414
6,2020-05-22,122.0,164.91,2,16510,441
7,2020-05-23,126.0,147.33,2,16898,446
8,2020-05-24,129.0,119.69,2,17434,456
9,2020-05-25,33.0,117.96,2,17628,460
10,2020-05-26,84.0,133.28,2,17999,480
11,2020-05-27,102.0,140.63,2,18446,496
12,2020-05-28,61.0,144.5,2,18672,510
13,2020-05-29,195.0,174.5,2,19019,525
14,2020-05-30,20.0,157.93,2,19336,531
15,2020-05-31,199.0,127.45,2,19621,537
16,2020-06-01,58.0,138.03,2,19789,558
17,2020-06-02,123.0,146.7,2,20017,564
18,2020-06-03,70.0,148.38,2,20376,574
19,2020-06-04,128.0,157.5,2,20943,590
20,2020-06-05,192.0,183.69,2,21332,597
21,2020-06-06,231.0,177.01,2,21527,602
22,2020-06-07,263.0,143.53,2,21794,606
23,2020-06-08,143.0,152.72,2,22111,623
24,2020-06-09,40.0,139.52,2,22271,629
25,2020-06-10,122.0,149.27,2,22733,638
26,2020-06-11,207.0,172.62,2,23103,641
27,2020-06-12,245.0,200.0,2,23455,650
28,2020-06-13,284.0,195.65,2,23792,651
29,2020-06-14,322.0,156.71,2,23959,652
30,2020-06-15,192.0,162.61,2,24110,661
31,2020-06-16,199.0,167.15,2,24263,670
32,2020-06-17,231.0,169.74,2,24616,677
33,2020-06-18,182.0,175.64,2,24959,680
34,2020-06-19,156.0,199.28,2,25424,681
35,2020-06-20,165.0,196.36,2,25552,685
36,2020-06-21,273.0,149.27,2,26020,686
37,2020-06-22,50.0,155.13,2,26217,687
38,2020-06-23,221.0,172.35,2,26470,690
39,2020-06-24,234.0,178.2,2,26897,694
40,2020-06-25,207.0,189.65,2,27384,702
41,2020-06-26,190.0,214.86,2,27828,704
42,2020-06-27,266.0,218.54,2,28203,704
43,2020-06-28,270.0,171.2,2,28520,706
44,2020-06-29,176.0,174.32,2,28874,712
45,2020-06-30,177.0,174.78,2,29152,717
46,2020-07-01,215.0,180.94,2,29618,717
47,2020-07-02,217.0,200.45,2,30259,719
48,2020-07-03,285.0,199.23,2,30631,721
49,2020-07-04,180.0,156.74,2,31167,721
50,2020-07-05,168.0,157.67,2,31612,721
51,2020-07-06,162.0,175.35,2,31764,725
52,2020-07-07,139.0,174.5,2,32153,732
53,2020-07-08,161.0,178.9,2,32716,739
54,2020-07-09,101.0,186.35,2,33316,742
55,2020-07-10,249.0,224.85,2,34232,748
