,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,47.0,151.37,2,2419,73
1,2020-05-17,133.0,113.73,2,2421,73
2,2020-05-18,131.0,137.58,2,2455,74
3,2020-05-19,171.0,141.39,2,2476,77
4,2020-05-20,78.0,139.78,2,2506,77
5,2020-05-21,195.0,155.87,2,2534,77
6,2020-05-22,92.0,184.35,2,2595,79
7,2020-05-23,143.0,165.52,2,2626,79
8,2020-05-24,246.0,136.73,2,2650,79
9,2020-05-25,199.0,144.45,2,2664,79
10,2020-05-26,139.0,159.57,2,2699,81
11,2020-05-27,151.0,165.16,2,2731,82
12,2020-05-28,164.0,172.51,2,2770,82
13,2020-05-29,88.0,196.23,2,2804,82
14,2020-05-30,137.0,179.61,2,2840,82
15,2020-05-31,142.0,135.6,2,2855,82
16,2020-06-01,149.0,163.09,2,2908,83
17,2020-06-02,198.0,167.96,2,2935,83
18,2020-06-03,163.0,170.86,2,2990,83
19,2020-06-04,167.0,181.15,2,3054,83
20,2020-06-05,114.0,203.59,2,3111,83
21,2020-06-06,52.0,185.97,2,3139,83
22,2020-06-07,180.0,136.78,2,3153,83
23,2020-06-08,143.0,170.74,2,3197,83
24,2020-06-09,145.0,175.5,2,3226,85
25,2020-06-10,175.0,183.34,2,3262,85
26,2020-06-11,187.0,194.8,2,3303,86
27,2020-06-12,153.0,226.09,2,3354,87
28,2020-06-13,59.0,205.56,2,3399,87
29,2020-06-14,249.0,163.6,2,3413,88
30,2020-06-15,108.0,187.05,2,3472,89
31,2020-06-16,168.0,182.94,2,3543,89
32,2020-06-17,62.0,188.47,2,3634,89
33,2020-06-18,215.0,209.49,2,3744,90
34,2020-06-19,195.0,246.1,2,3871,90
35,2020-06-20,285.0,233.06,2,4006,90
36,2020-06-21,290.0,166.03,2,4025,90
37,2020-06-22,240.0,203.88,2,4267,90
38,2020-06-23,210.0,206.67,2,4412,90
39,2020-06-24,164.0,209.84,2,4650,91
40,2020-06-25,206.0,224.44,2,4869,91
41,2020-06-26,166.0,259.15,2,5149,91
42,2020-06-27,260.0,243.59,2,5319,92
43,2020-06-28,464.0,184.76,2,5543,91
44,2020-06-29,65.0,200.8,2,5770,91
45,2020-06-30,196.0,207.58,2,6124,92
46,2020-07-01,211.0,222.15,2,6379,92
47,2020-07-02,223.0,245.29,2,6688,93
48,2020-07-03,179.0,250.07,2,7034,94
49,2020-07-04,163.0,189.18,2,7431,94
50,2020-07-05,273.0,198.84,2,7799,94
51,2020-07-06,344.0,225.0,2,8222,94
52,2020-07-07,248.0,214.5,2,8582,94
53,2020-07-08,179.0,217.26,2,9004,98
54,2020-07-09,183.0,230.98,2,9598,101
55,2020-07-10,138.0,260.98,2,10073,101
56,2020-07-11,179.0,245.09,2,10584,102
57,2020-07-12,414.0,193.74,2,10971,102
58,2020-07-13,187.0,215.0,2,11531,102
59,2020-07-14,208.0,214.03,2,11962,103
60,2020-07-15,161.0,218.7,2,12599,111
61,2020-07-16,143.0,230.15,2,13261,114
62,2020-07-17,115.0,257.48,2,13879,119
63,2020-07-18,145.0,245.01,2,14433,120
64,2020-07-19,225.0,200.66,2,14960,120
65,2020-07-20,286.0,217.58,2,15380,123
66,2020-07-21,180.0,217.03,2,15899,127
67,2020-07-22,113.0,220.41,2,16395,136
68,2020-07-23,113.0,235.85,2,16862,142
69,2020-07-24,135.0,265.34,2,17411,148
70,2020-07-25,193.0,250.6,2,17920,150
71,2020-07-26,257.0,208.36,2,18262,150
72,2020-07-27,292.0,218.9,2,18836,159
73,2020-07-28,141.0,217.33,2,19318,168
74,2020-07-29,128.0,225.99,2,19810,176
75,2020-07-30,121.0,237.0,2,20378,180
76,2020-07-31,109.0,260.11,2,20853,193
77,2020-08-01,261.0,250.72,2,21231,197
78,2020-08-02,252.0,203.95,2,21465,197
79,2020-08-03,182.0,219.62,2,21838,202
80,2020-08-04,194.0,220.05,2,22357,214
81,2020-08-05,168.0,228.89,2,22854,218
82,2020-08-06,128.0,235.36,2,23510,227
83,2020-08-07,118.0,262.82,2,24073,231
84,2020-08-08,289.0,252.58,2,24593,236
85,2020-08-09,295.0,212.84,2,24797,237
86,2020-08-10,282.0,225.35,2,25267,239
87,2020-08-11,196.0,221.77,2,25767,248
88,2020-08-12,152.0,227.02,2,26280,251
89,2020-08-13,145.0,237.57,2,26814,256
90,2020-08-14,89.0,267.92,2,27312,267
91,2020-08-15,288.0,257.48,2,27620,269
92,2020-08-16,211.0,204.32,2,27794,269
93,2020-08-17,,221.52,2,28113,275
94,2020-08-18,,220.19,2,28486,283
95,2020-08-19,,225.93,2,28829,292
96,2020-08-20,,239.29,2,29252,299
97,2020-08-21,,264.8,2,29510,305
98,2020-08-22,,249.5,2,29808,307
99,2020-08-23,,189.8,2,29973,308
100,2020-08-24,,207.58,2,30260,315
101,2020-08-25,,204.5,2,30648,328
102,2020-08-26,,208.35,2,30968,337
103,2020-08-27,,217.55,2,31326,343
104,2020-08-28,,253.22,2,31643,357
105,2020-08-29,183.0,242.61,2,31874,359
106,2020-08-30,,180.91,2,32034,360
107,2020-08-31,,198.61,2,32256,364
108,2020-09-01,,202.6,2,32703,370
109,2020-09-02,,208.59,2,33059,374
110,2020-09-03,,228.98,2,33361,375
111,2020-09-04,,277.45,2,33628,386
112,2020-09-05,,251.23,2,33884,386
113,2020-09-06,,201.1,2,34053,387
114,2020-09-07,,218.11,2,34153,387
115,2020-09-08,,208.46,2,34461,390
116,2020-09-09,,208.66,2,34707,406
117,2020-09-10,,225.63,2,35027,407
118,2020-09-11,272.0,273.49,2,35354,415
119,2020-09-12,230.0,270.02,2,35588,416
120,2020-09-13,120.0,185.89,2,35693,416
121,2020-09-14,90.0,206.5,2,35984,420
122,2020-09-15,159.0,202.83,2,36306,425
123,2020-09-16,133.0,205.81,2,36594,430
124,2020-09-17,172.0,218.92,2,36924,435
125,2020-09-18,136.0,251.86,2,37358,439
126,2020-09-19,84.0,248.92,2,37624,441
127,2020-09-20,264.0,171.78,2,37768,443
128,2020-09-21,209.0,190.33,2,38196,447
129,2020-09-22,150.0,189.54,2,38676,452
130,2020-09-23,194.0,191.52,2,39030,454
131,2020-09-24,159.0,199.57,2,39547,458
132,2020-09-25,72.0,235.58,2,40228,458
133,2020-09-26,97.0,227.78,2,40411,460
134,2020-09-27,258.0,162.51,2,40501,460
135,2020-09-28,196.0,178.54,2,41386,460
136,2020-09-29,134.0,177.23,2,41854,466
137,2020-09-30,225.0,183.19,2,42549,469
138,2020-10-01,208.0,200.3,2,42915,473
139,2020-10-02,187.0,233.94,2,43528,478
140,2020-10-03,98.0,226.5,2,43702,480
141,2020-10-04,241.0,161.74,2,43964,482
142,2020-10-05,189.0,178.82,2,44832,487
143,2020-10-06,141.0,179.4,2,45487,494
144,2020-10-07,189.0,182.55,2,46233,502
145,2020-10-08,187.0,195.96,2,46848,504
146,2020-10-09,181.0,236.4,2,47674,506
147,2020-10-10,23.0,217.05,2,47927,508
148,2020-10-11,129.0,151.77,2,48155,508
149,2020-10-12,97.0,172.8,2,48663,511
150,2020-10-13,68.0,171.47,2,49987,514
151,2020-10-14,113.0,180.26,2,50534,520
152,2020-10-15,160.0,193.27,2,51471,521
153,2020-10-16,79.0,224.0,2,52234,529
154,2020-10-17,57.0,222.5,2,52582,532
155,2020-10-18,68.0,151.83,2,53092,532
156,2020-10-19,104.0,171.43,2,54123,535
157,2020-10-20,152.0,171.67,2,55153,541
158,2020-10-21,66.0,173.59,2,55922,551
159,2020-10-22,116.0,182.84,2,56944,560
160,2020-10-23,-16.0,211.27,2,58083,568
161,2020-10-24,1.0,189.51,2,58964,573
162,2020-10-25,29.0,129.44,2,59344,574
163,2020-10-26,14.0,153.16,2,60400,582
164,2020-10-27,63.0,159.88,2,61282,588
165,2020-10-28,55.0,160.98,2,62197,600
166,2020-10-29,82.0,174.11,2,63195,618
167,2020-10-30,33.0,204.84,2,64175,627
168,2020-10-31,-19.0,183.82,2,64797,630
169,2020-11-01,81.0,120.59,2,65272,631
170,2020-11-02,63.0,150.73,2,66249,641
171,2020-11-03,84.0,156.86,2,67504,649
172,2020-11-04,36.0,141.23,2,68791,665
173,2020-11-05,42.0,151.91,2,70005,673
174,2020-11-06,-33.0,176.17,2,71496,685
175,2020-11-07,-52.0,160.09,2,72528,685
176,2020-11-08,7.0,104.05,2,73212,691
177,2020-11-09,25.0,132.63,2,74713,704
178,2020-11-10,49.0,131.78,2,76010,720
179,2020-11-11,-5.0,139.27,2,77536,738
180,2020-11-12,20.0,130.81,2,78877,753
181,2020-11-13,-89.0,152.67,2,80440,756
182,2020-11-14,-92.0,145.11,2,81625,763
183,2020-11-15,8.0,95.93,2,82545,763
184,2020-11-16,18.0,130.55,2,83906,773
185,2020-11-17,49.0,132.0,2,85383,803
