,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,146.0,102.72,2,92669,4149
1,2020-05-17,-126.0,74.1,2,94360,4198
2,2020-05-18,-47.0,94.67,2,96778,4257
3,2020-05-19,14.0,96.56,2,98298,4399
4,2020-05-20,15.0,102.94,2,100713,4547
5,2020-05-21,86.0,106.38,2,102995,4634
6,2020-05-22,13.0,122.55,2,105710,4740
7,2020-05-23,42.0,105.82,2,108100,4817
8,2020-05-24,170.0,94.62,2,110541,4884
9,2020-05-25,-46.0,87.02,2,112248,4912
10,2020-05-26,5.0,104.67,2,113486,4960
11,2020-05-27,-15.0,105.88,2,114612,5118
12,2020-05-28,-17.0,107.66,2,116128,5225
13,2020-05-29,39.0,130.06,2,117794,5308
14,2020-05-30,123.0,126.5,2,119290,5368
15,2020-05-31,202.0,100.15,2,120588,5426
16,2020-06-01,32.0,105.89,2,121666,5458
17,2020-06-02,17.0,112.42,2,123244,5567
18,2020-06-03,16.0,111.86,2,124279,5665
19,2020-06-04,129.0,122.34,2,125149,5772
20,2020-06-05,30.0,137.56,2,126317,5834
21,2020-06-06,135.0,138.04,2,127251,5898
22,2020-06-07,213.0,107.73,2,128070,5939
23,2020-06-08,37.0,122.46,2,129543,6142
24,2020-06-09,39.0,115.98,2,130321,6237
25,2020-06-10,7.0,123.07,2,130889,6302
26,2020-06-11,101.0,134.88,2,131731,6388
27,2020-06-12,60.0,150.6,2,132489,6469
28,2020-06-13,160.0,142.35,2,133117,6491
29,2020-06-14,192.0,114.76,2,133719,6512
30,2020-06-15,89.0,127.24,2,134247,6543
31,2020-06-16,85.0,132.14,2,134866,6608
32,2020-06-17,74.0,134.68,2,135416,6687
33,2020-06-18,94.0,141.54,2,136081,6737
34,2020-06-19,49.0,163.54,2,136917,6801
35,2020-06-20,104.0,142.67,2,137535,6846
36,2020-06-21,262.0,110.59,2,138154,6865
37,2020-06-22,-21.0,123.7,2,138615,6889
38,2020-06-23,89.0,137.59,2,139282,6925
39,2020-06-24,77.0,140.25,2,140025,6986
40,2020-06-25,101.0,148.71,2,140935,7024
41,2020-06-26,8.0,153.82,2,141812,7059
42,2020-06-27,268.0,158.4,2,142536,7083
43,2020-06-28,213.0,127.54,2,143117,7098
44,2020-06-29,8.0,134.2,2,143885,7115
45,2020-06-30,63.0,143.38,2,144661,7136
46,2020-07-01,102.0,151.43,2,145541,7160
47,2020-07-02,194.0,163.02,2,146407,7197
48,2020-07-03,88.0,161.97,2,147293,7222
49,2020-07-04,151.0,128.2,2,148151,7234
50,2020-07-05,144.0,120.91,2,148730,7241
51,2020-07-06,56.0,140.25,2,149428,7250
52,2020-07-07,62.0,142.32,2,150110,7281
53,2020-07-08,58.0,145.24,2,151055,7315
54,2020-07-09,75.0,149.17,2,152188,7333
55,2020-07-10,160.0,170.55,2,153406,7349
56,2020-07-11,151.0,161.45,2,154530,7372
57,2020-07-12,207.0,130.34,2,155355,7391
58,2020-07-13,96.0,141.9,2,156288,7398
59,2020-07-14,114.0,145.37,2,157055,7425
60,2020-07-15,47.0,140.83,2,158451,7435
61,2020-07-16,121.0,154.8,2,159676,7457
62,2020-07-17,87.0,177.01,2,161042,7468
63,2020-07-18,198.0,165.45,2,162299,7486
64,2020-07-19,203.0,124.51,2,163284,7491
65,2020-07-20,87.0,140.49,2,164552,7500
66,2020-07-21,39.0,139.45,2,165534,7521
67,2020-07-22,99.0,149.23,2,167142,7544
68,2020-07-23,121.0,155.13,2,168766,7563
69,2020-07-24,64.0,175.99,2,170376,7580
70,2020-07-25,184.0,169.68,2,171669,7593
71,2020-07-26,154.0,132.02,2,173079,7595
72,2020-07-27,58.0,137.71,2,174442,7619
73,2020-07-28,112.0,145.18,2,175588,7645
74,2020-07-29,85.0,148.26,2,176967,7661
75,2020-07-30,96.0,152.06,2,178832,7677
76,2020-07-31,90.0,168.29,2,180701,7703
77,2020-08-01,164.0,162.16,2,182232,7707
78,2020-08-02,195.0,127.64,2,183714,7718
79,2020-08-03,71.0,139.34,2,185238,7728
