,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,117.0,126.57,2,27919,1741
1,2020-05-17,17.0,90.57,2,28419,1751
2,2020-05-18,-4.0,116.52,2,28897,1765
3,2020-05-19,25.0,118.63,2,29402,1824
4,2020-05-20,126.0,125.93,2,29986,1864
5,2020-05-21,123.0,133.18,2,30673,1913
6,2020-05-22,103.0,158.61,2,31165,1941
7,2020-05-23,224.0,137.85,2,31674,1964
8,2020-05-24,109.0,116.46,2,32151,1976
9,2020-05-25,12.0,111.66,2,32489,1984
10,2020-05-26,32.0,135.46,2,32856,2004
11,2020-05-27,108.0,133.86,2,33242,2030
12,2020-05-28,52.0,137.02,2,33885,2068
13,2020-05-29,146.0,157.44,2,34399,2110
14,2020-05-30,207.0,152.7,2,35064,2125
15,2020-05-31,163.0,113.01,2,35429,2134
16,2020-06-01,127.0,132.26,2,35684,2142
17,2020-06-02,55.0,142.6,2,36129,2197
18,2020-06-03,165.0,136.22,2,36609,2207
19,2020-06-04,22.0,145.42,2,37005,2231
20,2020-06-05,149.0,168.12,2,37499,2258
21,2020-06-06,158.0,163.38,2,37928,2292
22,2020-06-07,180.0,128.06,2,38328,2303
23,2020-06-08,133.0,143.06,2,38553,2316
24,2020-06-09,152.0,139.15,2,38985,2339
25,2020-06-10,98.0,144.09,2,39297,2355
26,2020-06-11,93.0,157.38,2,39714,2380
27,2020-06-12,189.0,177.65,2,40114,2396
28,2020-06-13,203.0,169.46,2,40535,2413
29,2020-06-14,220.0,136.59,2,40901,2422
30,2020-06-15,85.0,149.03,2,41422,2433
31,2020-06-16,99.0,153.52,2,41780,2447
32,2020-06-17,80.0,156.77,2,42036,2475
33,2020-06-18,79.0,165.4,2,42480,2491
34,2020-06-19,178.0,193.06,2,42801,2516
35,2020-06-20,205.0,182.84,2,43135,2536
36,2020-06-21,84.0,126.4,2,43496,2540
37,2020-06-22,107.0,147.76,2,43709,2553
38,2020-06-23,90.0,154.83,2,43967,2569
39,2020-06-24,96.0,161.05,2,44260,2578
40,2020-06-25,85.0,170.83,2,44779,2586
41,2020-06-26,92.0,193.69,2,45269,2595
42,2020-06-27,56.0,180.81,2,45707,2616
43,2020-06-28,80.0,144.13,2,46071,2619
44,2020-06-29,147.0,152.97,2,46370,2624
45,2020-06-30,16.0,158.33,2,46740,2640
46,2020-07-01,81.0,168.22,2,47116,2650
47,2020-07-02,107.0,181.47,2,47553,2662
48,2020-07-03,185.0,183.46,2,48099,2682
49,2020-07-04,67.0,148.32,2,48628,2687
50,2020-07-05,138.0,145.23,2,49203,2693
51,2020-07-06,65.0,161.36,2,49560,2698
52,2020-07-07,54.0,161.43,2,49859,2717
53,2020-07-08,63.0,164.97,2,50309,2732
54,2020-07-09,81.0,174.58,2,50829,2739
55,2020-07-10,127.0,199.06,2,51567,2748
56,2020-07-11,154.0,195.42,2,52358,2756
57,2020-07-12,122.0,148.7,2,52892,2760
58,2020-07-13,85.0,158.62,2,53327,2762
59,2020-07-14,71.0,163.28,2,54001,2775
60,2020-07-15,58.0,165.22,2,54698,2785
61,2020-07-16,60.0,169.28,2,55413,2795
62,2020-07-17,180.0,199.96,2,56160,2803
63,2020-07-18,178.0,197.13,2,57045,2820
64,2020-07-19,120.0,142.58,2,57965,2822
65,2020-07-20,169.0,155.4,2,58607,2825
66,2020-07-21,44.0,155.72,2,59344,2846
67,2020-07-22,36.0,157.74,2,60126,2863
68,2020-07-23,80.0,170.2,2,61079,2880
69,2020-07-24,173.0,200.21,2,62081,2884
70,2020-07-25,197.0,195.25,2,63030,2895
71,2020-07-26,184.0,150.58,2,63881,2903
72,2020-07-27,30.0,150.62,2,64417,2906
73,2020-07-28,60.0,162.39,2,65258,2924
74,2020-07-29,54.0,164.65,2,65918,2932
75,2020-07-30,47.0,163.49,2,66883,2946
76,2020-07-31,219.0,188.85,2,67800,2965
77,2020-08-01,98.0,175.5,2,68773,2971
78,2020-08-02,169.0,141.9,2,69531,2975
79,2020-08-03,37.0,156.13,2,70111,2980
80,2020-08-04,76.0,160.21,2,70944,2996
81,2020-08-05,74.0,161.51,2,71685,3007
82,2020-08-06,78.0,167.79,2,72741,3013
83,2020-08-07,179.0,195.38,2,73986,3023
84,2020-08-08,197.0,189.7,2,75025,3036
85,2020-08-09,187.0,145.86,2,76071,3041
86,2020-08-10,25.0,149.89,2,76734,3044
87,2020-08-11,62.0,157.65,2,77625,3069
88,2020-08-12,51.0,159.82,2,78337,3086
89,2020-08-13,65.0,165.19,2,79404,3105
90,2020-08-14,168.0,195.23,2,80507,3113
91,2020-08-15,195.0,194.79,2,81561,3128
92,2020-08-16,174.0,149.15,2,82304,3133
93,2020-08-17,67.0,158.01,2,82909,3135
94,2020-08-18,-5.0,158.49,2,83799,3165
95,2020-08-19,106.0,165.0,2,84308,3180
96,2020-08-20,15.0,171.85,2,85257,3191
97,2020-08-21,0.0,200.35,2,86312,3208
98,2020-08-22,249.0,195.65,2,87325,3218
