,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,39.0,119.78,2,8059,189
1,2020-05-17,58.0,101.41,2,8066,189
2,2020-05-18,-6.0,122.72,2,8439,190
3,2020-05-19,29.0,129.43,2,8488,193
4,2020-05-20,22.0,131.81,2,8661,197
5,2020-05-21,35.0,136.44,2,8771,199
6,2020-05-22,59.0,152.74,2,9068,200
7,2020-05-23,71.0,140.24,2,9119,200
8,2020-05-24,87.0,106.34,2,9135,200
9,2020-05-25,-42.0,102.61,2,9272,201
10,2020-05-26,-41.0,126.78,2,9352,204
11,2020-05-27,32.0,134.12,2,9453,207
12,2020-05-28,-42.0,131.23,2,9513,209
13,2020-05-29,139.0,160.71,2,9826,209
14,2020-05-30,99.0,149.64,2,9847,209
15,2020-05-31,116.0,115.74,2,9878,211
16,2020-06-01,86.0,137.06,2,10103,217
17,2020-06-02,64.0,138.11,2,10143,227
18,2020-06-03,64.0,140.3,2,10281,227
19,2020-06-04,54.0,148.81,2,10332,230
20,2020-06-05,72.0,171.66,2,10493,233
21,2020-06-06,67.0,160.6,2,10517,234
22,2020-06-07,61.0,124.65,2,10549,234
23,2020-06-08,36.0,141.45,2,10724,237
24,2020-06-09,32.0,142.12,2,10786,238
25,2020-06-10,89.0,149.43,2,10931,241
26,2020-06-11,69.0,159.46,2,10984,242
27,2020-06-12,122.0,183.65,2,11152,243
28,2020-06-13,105.0,174.69,2,11195,244
29,2020-06-14,85.0,134.47,2,11247,244
30,2020-06-15,36.0,147.2,2,11516,246
31,2020-06-16,38.0,150.83,2,11569,246
32,2020-06-17,64.0,153.06,2,11801,248
33,2020-06-18,47.0,161.83,2,11886,252
34,2020-06-19,94.0,177.47,2,12168,254
35,2020-06-20,118.0,174.78,2,12218,257
36,2020-06-21,132.0,122.48,2,12258,258
37,2020-06-22,40.0,149.51,2,12576,260
38,2020-06-23,48.0,156.61,2,12659,261
39,2020-06-24,65.0,160.89,2,13110,262
40,2020-06-25,41.0,170.54,2,13207,263
41,2020-06-26,119.0,195.04,2,13729,266
42,2020-06-27,38.0,183.13,2,13767,269
43,2020-06-28,58.0,141.17,2,14016,272
44,2020-06-29,41.0,150.09,2,14568,276
45,2020-06-30,50.0,156.78,2,14629,276
46,2020-07-01,56.0,161.63,2,15142,280
47,2020-07-02,64.0,173.6,2,15226,282
48,2020-07-03,102.0,164.26,2,16015,283
49,2020-07-04,76.0,125.37,2,16165,284
50,2020-07-05,20.0,125.85,2,16289,287
51,2020-07-06,22.0,152.68,2,17082,288
52,2020-07-07,32.0,154.35,2,17157,290
53,2020-07-08,37.0,157.91,2,17807,291
54,2020-07-09,29.0,163.26,2,18031,294
55,2020-07-10,99.0,189.58,2,18799,294
56,2020-07-11,77.0,176.56,2,18983,294
57,2020-07-12,92.0,136.36,2,19295,300
58,2020-07-13,36.0,151.51,2,20265,301
59,2020-07-14,31.0,154.44,2,20347,303
60,2020-07-15,16.0,154.82,2,21157,308
61,2020-07-16,49.0,165.28,2,21273,309
62,2020-07-17,87.0,188.24,2,22199,310
63,2020-07-18,63.0,181.88,2,22238,312
64,2020-07-19,46.0,135.61,2,22459,313
65,2020-07-20,-11.0,143.31,2,23544,318
66,2020-07-21,1.0,147.89,2,23606,319
67,2020-07-22,25.0,156.43,2,24376,324
