,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,3.0,119.53,2,7773,346
1,2020-05-17,44.0,98.72,2,7793,346
2,2020-05-18,-8.0,112.38,2,8041,354
3,2020-05-19,-53.0,118.13,2,8205,369
4,2020-05-20,-1.0,121.59,2,8336,381
5,2020-05-21,-4.0,128.5,2,8475,393
6,2020-05-22,41.0,154.49,2,8688,398
7,2020-05-23,11.0,131.79,2,8812,399
8,2020-05-24,93.0,110.98,2,8842,399
9,2020-05-25,26.0,116.21,2,8899,403
10,2020-05-26,-7.0,130.19,2,9175,407
11,2020-05-27,-9.0,131.26,2,9313,420
12,2020-05-28,30.0,138.67,2,9510,424
13,2020-05-29,48.0,152.14,2,9688,434
14,2020-05-30,45.0,142.2,2,9887,441
15,2020-05-31,204.0,115.21,2,9937,441
16,2020-06-01,51.0,132.3,2,10150,445
17,2020-06-02,13.0,131.6,2,10287,451
18,2020-06-03,51.0,137.26,2,10485,458
19,2020-06-04,20.0,138.81,2,10781,469
20,2020-06-05,148.0,162.44,2,11051,476
21,2020-06-06,64.0,153.11,2,11359,480
22,2020-06-07,115.0,123.9,2,11393,481
23,2020-06-08,35.0,137.02,2,11701,487
24,2020-06-09,16.0,136.26,2,11891,494
25,2020-06-10,62.0,141.43,2,12029,498
26,2020-06-11,69.0,151.74,2,12128,513
27,2020-06-12,80.0,175.98,2,12352,525
28,2020-06-13,64.0,162.27,2,12605,527
29,2020-06-14,95.0,129.77,2,12652,527
30,2020-06-15,83.0,144.63,2,12863,524
31,2020-06-16,49.0,145.18,2,12899,530
32,2020-06-17,78.0,149.14,2,13190,536
33,2020-06-18,71.0,154.38,2,13391,540
34,2020-06-19,165.0,181.07,2,13629,542
35,2020-06-20,47.0,167.74,2,13800,542
36,2020-06-21,57.0,119.65,2,13919,544
37,2020-06-22,53.0,145.61,2,14073,549
38,2020-06-23,72.0,149.88,2,14323,559
39,2020-06-24,71.0,154.35,2,14522,561
40,2020-06-25,76.0,163.68,2,14793,569
41,2020-06-26,57.0,188.85,2,15033,575
42,2020-06-27,8.0,168.6,2,15337,575
43,2020-06-28,26.0,136.34,2,15480,577
44,2020-06-29,66.0,150.54,2,15657,584
45,2020-06-30,38.0,151.49,2,15916,588
46,2020-07-01,147.0,160.86,2,16114,597
47,2020-07-02,143.0,178.93,2,16370,605
48,2020-07-03,170.0,178.44,2,16655,608
49,2020-07-04,27.0,142.44,2,16709,608
50,2020-07-05,129.0,141.38,2,16712,608
51,2020-07-06,109.0,161.87,2,17464,621
52,2020-07-07,60.0,156.36,2,17820,630
53,2020-07-08,53.0,157.84,2,18204,634
54,2020-07-09,83.0,164.54,2,18576,640
55,2020-07-10,102.0,192.11,2,19076,647
56,2020-07-11,90.0,175.74,2,19530,647
57,2020-07-12,134.0,136.64,2,19762,649
58,2020-07-13,84.0,152.63,2,20127,656
59,2020-07-14,58.0,154.77,2,20702,665
60,2020-07-15,102.0,157.73,2,21148,668
61,2020-07-16,76.0,162.36,2,21617,675
62,2020-07-17,35.0,185.61,2,22162,687
63,2020-07-18,58.0,182.69,2,22750,688
64,2020-07-19,156.0,140.74,2,23600,691
65,2020-07-20,72.0,148.62,2,23978,694
66,2020-07-21,22.0,151.85,2,24638,695
67,2020-07-22,52.0,152.38,2,25169,700
68,2020-07-23,51.0,158.72,2,25828,706
69,2020-07-24,120.0,187.14,2,26628,715
70,2020-07-25,121.0,178.14,2,27395,717
71,2020-07-26,123.0,139.58,2,27682,718
72,2020-07-27,82.0,148.37,2,28250,726
73,2020-07-28,25.0,148.29,2,28876,735
74,2020-07-29,91.0,155.29,2,29479,746
75,2020-07-30,24.0,154.7,2,30132,748
76,2020-07-31,54.0,173.16,2,30981,753
77,2020-08-01,73.0,166.32,2,31612,758
78,2020-08-02,160.0,136.78,2,31966,759
79,2020-08-03,89.0,152.21,2,32500,762
80,2020-08-04,43.0,152.54,2,33209,769
81,2020-08-05,93.0,158.26,2,33823,771
82,2020-08-06,51.0,165.2,2,34435,780
83,2020-08-07,125.0,189.15,2,35147,785
84,2020-08-08,97.0,183.14,2,35986,790
85,2020-08-09,177.0,144.53,2,36316,790
86,2020-08-10,73.0,151.93,2,36739,794
87,2020-08-11,-14.0,154.58,2,37437,803
88,2020-08-12,21.0,159.2,2,38546,809
89,2020-08-13,28.0,171.86,2,39306,817
90,2020-08-14,43.0,190.35,2,40012,822
91,2020-08-15,62.0,184.47,2,40677,829
92,2020-08-16,163.0,145.28,2,40883,832
93,2020-08-17,28.0,154.4,2,41610,839
94,2020-08-18,13.0,151.56,2,42270,858
95,2020-08-19,67.0,155.65,2,42958,866
96,2020-08-20,54.0,162.26,2,43700,881
97,2020-08-21,44.0,183.35,2,44432,887
98,2020-08-22,113.0,169.97,2,45225,899
99,2020-08-23,76.0,136.62,2,45401,901
100,2020-08-24,13.0,146.51,2,46057,909
101,2020-08-25,23.0,142.61,2,46798,918
102,2020-08-26,29.0,146.35,2,47542,927
103,2020-08-27,6.0,152.41,2,48322,937
104,2020-08-28,-16.0,165.0,2,48937,945
105,2020-08-29,99.0,159.19,2,49914,951
106,2020-08-30,75.0,126.88,2,50170,955
107,2020-08-31,-19.0,136.78,2,50884,965
108,2020-09-01,33.0,143.34,2,51762,983
109,2020-09-02,9.0,145.06,2,52704,1008
110,2020-09-03,16.0,156.41,2,54067,1021
111,2020-09-04,88.0,199.48,2,55500,1028
112,2020-09-05,,173.65,2,56016,1033
113,2020-09-06,157.0,142.58,2,56172,1035
114,2020-09-07,41.0,143.29,2,56545,1036
115,2020-09-08,32.0,146.02,2,56877,1039
116,2020-09-09,40.0,147.34,2,57518,1058
117,2020-09-10,39.0,155.1,2,58452,1073
