,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-40.0,88.04,2,34183,2479
1,2020-05-17,-13.0,70.63,2,34498,2491
2,2020-05-18,-20.0,94.39,2,34832,2563
3,2020-05-19,-18.0,101.47,2,35161,2581
4,2020-05-20,-22.0,99.14,2,35439,2608
5,2020-05-21,-9.0,106.53,2,36627,2629
6,2020-05-22,-5.0,122.5,2,37048,2669
7,2020-05-23,17.0,103.88,2,37165,2683
8,2020-05-24,33.0,81.77,2,37293,2690
9,2020-05-25,-100.0,81.87,2,37916,2690
10,2020-05-26,-36.0,96.94,2,38252,2701
11,2020-05-27,-13.0,105.0,2,38694,2722
12,2020-05-28,-17.0,108.63,2,38907,2740
13,2020-05-29,-2.0,121.17,2,38907,2766
14,2020-05-30,22.0,113.18,2,39682,2785
15,2020-05-31,67.0,86.8,2,40021,2791
16,2020-06-01,10.0,101.38,2,40452,2801
17,2020-06-02,-12.0,104.99,2,40857,2835
18,2020-06-03,2.0,104.23,2,41244,2870
19,2020-06-04,4.0,112.09,2,41673,2883
20,2020-06-05,-9.0,126.77,2,42100,2912
21,2020-06-06,-46.0,111.98,2,42597,2925
22,2020-06-07,-121.0,63.79,2,42927,2936
23,2020-06-08,-99.0,87.32,2,43163,2944
24,2020-06-09,-6.0,107.74,2,43725,2957
25,2020-06-10,-4.0,110.49,2,44143,2968
26,2020-06-11,22.0,119.01,2,44585,2987
27,2020-06-12,21.0,135.99,2,45108,2996
28,2020-06-13,41.0,130.41,2,46396,3004
29,2020-06-14,77.0,96.12,2,46732,3014
30,2020-06-15,19.0,110.85,2,47284,3018
31,2020-06-16,7.0,114.6,2,47818,3042
32,2020-06-17,48.0,117.35,2,48746,3062
33,2020-06-18,17.0,121.91,2,49506,3069
34,2020-06-19,26.0,141.05,2,48627,3084
35,2020-06-20,47.0,131.52,2,49497,3104
36,2020-06-21,43.0,88.49,2,49890,3105
37,2020-06-22,-41.0,103.92,2,50352,3117
38,2020-06-23,-36.0,110.36,2,51708,3134
39,2020-06-24,-40.0,108.1,2,52590,3152
40,2020-06-25,-35.0,118.8,2,53528,3164
41,2020-06-26,-20.0,136.15,2,54882,3190
42,2020-06-27,-7.0,127.72,2,54882,3190
43,2020-06-28,32.0,96.79,2,56349,3199
44,2020-06-29,4.0,113.11,2,57189,3199
45,2020-06-30,6.0,117.75,2,58203,3221
46,2020-07-01,38.0,120.5,2,60286,3238
47,2020-07-02,5.0,127.47,2,61669,3255
48,2020-07-03,10.0,123.83,2,63397,3278
49,2020-07-04,-30.0,98.35,2,63397,3278
50,2020-07-05,-38.0,87.59,2,65334,3288
51,2020-07-06,-13.0,107.74,2,66435,3296
52,2020-07-07,-56.0,110.89,2,68371,3319
53,2020-07-08,16.0,116.74,2,70259,3339
54,2020-07-09,7.0,122.77,2,72102,3355
55,2020-07-10,10.0,138.77,2,74744,3380
56,2020-07-11,4.0,131.19,2,76911,3403
57,2020-07-12,16.0,96.57,2,78230,3416
58,2020-07-13,-14.0,110.27,2,79935,3423
59,2020-07-14,-40.0,114.49,2,82150,3445
60,2020-07-15,-13.0,115.67,2,84241,3461
61,2020-07-16,-54.0,117.95,2,86521,3485
62,2020-07-17,13.0,136.71,2,88700,3509
63,2020-07-18,6.0,128.76,2,88700,3509
64,2020-07-19,-6.0,93.26,2,91816,3543
65,2020-07-20,-21.0,109.87,2,95002,3572
66,2020-07-21,-13.0,113.5,2,96693,3608
67,2020-07-22,-9.0,116.38,2,99466,3670
68,2020-07-23,-40.0,119.33,2,101762,3686
69,2020-07-24,-63.0,129.46,2,103846,3715
70,2020-07-25,-67.0,121.33,2,103846,3715
71,2020-07-26,-53.0,89.55,2,107686,3763
72,2020-07-27,-68.0,109.25,2,110029,3786
73,2020-07-28,-45.0,113.63,2,111150,3812
74,2020-07-29,-1.0,118.39,2,112887,3883
75,2020-07-30,-28.0,126.45,2,114595,3925
76,2020-07-31,8.0,136.15,2,116394,3949
77,2020-08-01,17.0,131.07,2,116394,3949
78,2020-08-02,8.0,97.57,2,119861,4007
79,2020-08-03,6.0,119.65,2,120960,4024
80,2020-08-04,-3.0,121.36,2,124575,4051
81,2020-08-05,13.0,122.58,2,126061,4096
82,2020-08-06,-26.0,127.19,2,127364,4146
83,2020-08-07,-12.0,142.77,2,128864,4207
84,2020-08-08,0.0,134.4,2,128864,4207
85,2020-08-09,17.0,99.31,2,131517,4263
86,2020-08-10,-31.0,119.06,2,132079,4287
87,2020-08-11,-52.0,120.42,2,133243,4313
88,2020-08-12,-26.0,121.72,2,134427,4361
89,2020-08-13,-61.0,125.76,2,135562,4402
90,2020-08-14,-36.0,144.2,2,136860,4430
91,2020-08-15,-21.0,137.72,2,136860,4430
92,2020-08-16,35.0,105.26,2,138041,4507
93,2020-08-17,-93.0,120.38,2,138608,4526
94,2020-08-18,-84.0,121.12,2,139248,4554
95,2020-08-19,-86.0,121.88,2,140044,4609
96,2020-08-20,-119.0,123.56,2,140962,4637
97,2020-08-21,-107.0,143.2,2,141861,4687
98,2020-08-22,-100.0,134.64,2,141861,4687
99,2020-08-23,-52.0,97.43,2,143084,4746
100,2020-08-24,-222.0,95.6,2,143707,4764
101,2020-08-25,-178.0,107.1,2,144257,4797
102,2020-08-26,-201.0,105.59,2,145661,4851
103,2020-08-27,-266.0,86.57,2,146338,4874
104,2020-08-28,-194.0,143.63,2,146944,4904
105,2020-08-29,-131.0,136.32,2,146944,4904
106,2020-08-30,-104.0,107.92,2,148568,4931
107,2020-08-31,-109.0,130.96,2,148894,4950
108,2020-09-01,-111.0,143.07,2,149583,4984
109,2020-09-02,-95.0,141.7,2,150734,5004
110,2020-09-03,-94.0,147.48,2,151547,5021
111,2020-09-04,-107.0,166.8,2,152369,5035
112,2020-09-05,-112.0,149.64,2,152369,5035
113,2020-09-06,-65.0,115.45,2,153764,5093
114,2020-09-07,-121.0,115.91,2,154073,5105
115,2020-09-08,-90.0,131.87,2,154329,5118
116,2020-09-09,-75.0,133.57,2,155890,5140
117,2020-09-10,-95.0,138.44,2,156354,5161
118,2020-09-11,13.0,153.33,2,157109,5202
119,2020-09-12,-6.0,140.42,2,157109,5202
120,2020-09-13,5.0,104.85,2,158390,5235
121,2020-09-14,-19.0,117.49,2,158882,5252
122,2020-09-15,-46.0,111.5,2,159253,5278
123,2020-09-16,-35.0,124.97,2,159865,5294
124,2020-09-17,-13.0,131.89,2,160343,5311
125,2020-09-18,-17.0,149.49,2,161322,5340
126,2020-09-19,-51.0,134.62,2,161322,5340
127,2020-09-20,-25.0,94.4,2,162258,5366
128,2020-09-21,-45.0,109.36,2,162501,5375
129,2020-09-22,-51.0,111.53,2,163253,5386
130,2020-09-23,-65.0,111.34,2,163869,5407
131,2020-09-24,-41.0,119.59,2,164446,5423
132,2020-09-25,-12.0,143.0,2,165152,5444
133,2020-09-26,-26.0,132.92,2,165152,5444
134,2020-09-27,28.0,96.83,2,166075,5465
135,2020-09-28,-40.0,108.32,2,166315,5480
136,2020-09-29,-21.0,114.37,2,166848,5490
137,2020-09-30,35.0,118.84,2,167458,5511
138,2020-10-01,-7.0,122.09,2,168009,5519
139,2020-10-02,1.0,141.22,2,168826,5545
140,2020-10-03,1.0,132.94,2,168826,5545
141,2020-10-04,6.0,93.55,2,169719,5577
142,2020-10-05,-11.0,109.49,2,169937,5586
143,2020-10-06,-25.0,116.05,2,170469,5592
144,2020-10-07,40.0,122.65,2,172625,5604
145,2020-10-08,15.0,139.06,2,173149,5609
146,2020-10-09,-171.0,81.41,2,173406,5635
147,2020-10-10,-86.0,103.78,2,173406,5635
148,2020-10-11,34.0,94.78,2,174587,5655
149,2020-10-12,-7.0,114.88,2,174647,5669
150,2020-10-13,-3.0,117.52,2,175329,5679
151,2020-10-14,25.0,119.95,2,176209,5695
152,2020-10-15,2.0,127.42,2,176952,5707
153,2020-10-16,12.0,145.41,2,177726,5727
154,2020-10-17,-5.0,143.62,2,177726,5727
155,2020-10-18,43.0,100.55,2,178869,5750
156,2020-10-19,-19.0,112.08,2,179070,5766
