,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,42.0,89.95,2,84933,5705
1,2020-05-17,-51.0,71.29,2,86010,5797
2,2020-05-18,-60.0,76.54,2,87052,5862
3,2020-05-19,-32.0,84.18,2,87925,5938
4,2020-05-20,-13.0,89.08,2,88970,6066
5,2020-05-21,21.0,94.22,2,90084,6148
6,2020-05-22,5.0,107.88,2,90889,6228
7,2020-05-23,-12.0,87.79,2,91662,6304
8,2020-05-24,15.0,81.02,2,92675,6372
9,2020-05-25,-44.0,77.02,2,93271,6416
10,2020-05-26,-9.0,94.41,2,93693,6473
11,2020-05-27,-8.0,100.25,2,94220,6547
12,2020-05-28,-34.0,97.34,2,94895,6640
13,2020-05-29,-50.0,106.53,2,95512,6718
14,2020-05-30,59.0,103.61,2,96301,6768
15,2020-05-31,16.0,92.38,2,96965,6846
16,2020-06-01,-8.0,91.99,2,100805,7035
17,2020-06-02,-18.0,96.96,2,101163,7085
18,2020-06-03,-7.0,97.73,2,101592,7152
19,2020-06-04,21.0,106.08,2,102063,7201
20,2020-06-05,-27.0,111.94,2,102557,7235
21,2020-06-06,33.0,104.83,2,103132,7289
22,2020-06-07,3.0,88.83,2,103436,7316
23,2020-06-08,37.0,103.22,2,103626,7353
24,2020-06-09,6.0,106.32,2,103889,7408
25,2020-06-10,21.0,109.29,2,104156,7454
26,2020-06-11,-62.0,104.64,2,104667,7492
27,2020-06-12,27.0,128.96,2,105059,7538
28,2020-06-13,121.0,119.87,2,105395,7576
29,2020-06-14,55.0,99.75,2,105603,7624
30,2020-06-15,37.0,108.25,2,105690,7646
31,2020-06-16,43.0,115.41,2,105885,7664
32,2020-06-17,46.0,119.66,2,106151,7733
33,2020-06-18,48.0,124.84,2,106422,7769
34,2020-06-19,21.0,141.07,2,106650,7799
35,2020-06-20,108.0,130.44,2,106936,7827
36,2020-06-21,46.0,100.52,2,107061,7857
37,2020-06-22,23.0,117.22,2,107210,7873
38,2020-06-23,34.0,126.51,2,107439,7889
39,2020-06-24,1.0,124.03,2,107611,7937
40,2020-06-25,54.0,132.19,2,107837,7962
41,2020-06-26,29.0,147.31,2,108070,8012
42,2020-06-27,22.0,127.01,2,108443,8040
43,2020-06-28,1.0,106.26,2,108667,8060
44,2020-06-29,-33.0,115.23,2,108768,8095
45,2020-06-30,-35.0,122.27,2,108882,8054
46,2020-07-01,-5.0,130.81,2,109143,8081
47,2020-07-02,94.0,152.49,2,109338,8132
48,2020-07-03,15.0,134.21,2,109628,8149
49,2020-07-04,65.0,107.37,2,109838,8172
50,2020-07-05,42.0,112.03,2,109974,8183
51,2020-07-06,75.0,126.99,2,110137,8198
52,2020-07-07,51.0,131.25,2,110338,8213
53,2020-07-08,10.0,130.01,2,110602,8243
54,2020-07-09,56.0,138.29,2,110897,8268
55,2020-07-10,-26.0,144.35,2,111110,8296
56,2020-07-11,75.0,140.53,2,111398,8310
57,2020-07-12,75.0,125.02,2,111597,8325
58,2020-07-13,32.0,125.31,2,111827,8330
59,2020-07-14,25.0,128.95,2,112130,8340
60,2020-07-15,37.0,137.82,2,112347,8368
61,2020-07-16,65.0,141.59,2,112581,8380
62,2020-07-17,-11.0,148.8,2,112879,8402
63,2020-07-18,122.0,151.31,2,113238,8419
64,2020-07-19,59.0,126.57,2,113534,8431
65,2020-07-20,39.0,129.8,2,113789,8433
66,2020-07-21,50.0,136.89,2,114033,8450
67,2020-07-22,1.0,136.78,2,114320,8468
68,2020-07-23,-4.0,135.67,2,114647,8484
69,2020-07-24,33.0,157.81,2,114985,8498
70,2020-07-25,134.0,150.87,2,115268,8510
71,2020-07-26,77.0,127.85,2,115637,8529
72,2020-07-27,38.0,134.7,2,115926,8536
73,2020-07-28,16.0,135.48,2,116182,8551
74,2020-07-29,42.0,142.23,2,116684,8580
75,2020-07-30,33.0,142.85,2,117098,8595
76,2020-07-31,48.0,156.39,2,117612,8609
77,2020-08-01,152.0,153.97,2,118040,8626
78,2020-08-02,24.0,120.65,2,118458,8638
79,2020-08-03,70.0,137.71,2,118657,8648
80,2020-08-04,-57.0,124.36,2,119203,8657
81,2020-08-05,57.0,142.58,2,119643,8659
82,2020-08-06,75.0,147.98,2,119874,8691
83,2020-08-07,31.0,156.13,2,120291,8709
84,2020-08-08,144.0,151.5,2,120711,8721
85,2020-08-09,80.0,128.29,2,121040,8735
86,2020-08-10,50.0,137.4,2,121315,8741
87,2020-08-11,29.0,138.66,2,121707,8751
88,2020-08-12,23.0,139.95,2,122000,8769
89,2020-08-13,36.0,144.33,2,122423,8790
90,2020-08-14,28.0,158.92,2,122728,8810
91,2020-08-15,92.0,146.83,2,123199,8826
92,2020-08-16,10.0,120.05,2,123593,8838
93,2020-08-17,-13.0,133.98,2,123841,8842
94,2020-08-18,-5.0,139.29,2,124063,8848
95,2020-08-19,-33.0,140.92,2,124415,8876
