,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,266.0,107.41,2,38083,1957
1,2020-05-17,35.0,80.79,2,38920,1992
2,2020-05-18,-53.0,87.83,2,39882,2023
3,2020-05-19,47.0,92.41,2,41664,2081
4,2020-05-20,30.0,94.74,2,42442,2123
5,2020-05-21,92.0,99.84,2,43645,2159
6,2020-05-22,14.0,109.09,2,44539,2207
7,2020-05-23,339.0,113.99,2,45608,2243
8,2020-05-24,306.0,90.95,2,46919,2277
9,2020-05-25,265.0,91.78,2,47754,2302
10,2020-05-26,147.0,101.32,2,48290,2333
11,2020-05-27,165.0,102.59,2,49042,2392
12,2020-05-28,137.0,99.94,2,50334,2428
13,2020-05-29,148.0,118.62,2,51631,2466
14,2020-05-30,412.0,123.41,2,52662,2509
15,2020-05-31,351.0,100.75,2,53456,2532
16,2020-06-01,217.0,106.22,2,54035,2552
17,2020-06-02,222.0,105.87,2,54831,2597
18,2020-06-03,264.0,108.67,2,55617,2641
19,2020-06-04,217.0,111.99,2,56490,2668
20,2020-06-05,193.0,125.01,2,57407,2702
21,2020-06-06,443.0,135.49,2,58099,2740
22,2020-06-07,415.0,112.38,2,58593,2749
23,2020-06-08,305.0,113.32,2,59024,2776
24,2020-06-09,264.0,116.7,2,59543,2811
25,2020-06-10,278.0,116.52,2,60114,2844
26,2020-06-11,296.0,116.76,2,60823,2875
27,2020-06-12,345.0,143.66,2,61262,2900
28,2020-06-13,472.0,146.6,2,61935,2926
29,2020-06-14,485.0,116.28,2,62328,2939
30,2020-06-15,358.0,117.75,2,62653,2947
31,2020-06-16,318.0,120.63,2,63004,2982
32,2020-06-17,253.0,114.88,2,63565,2996
33,2020-06-18,319.0,123.05,2,63839,3016
34,2020-06-19,324.0,142.05,2,64150,3030
35,2020-06-20,539.0,136.49,2,64565,3052
36,2020-06-21,512.0,112.88,2,64903,3066
37,2020-06-22,352.0,119.05,2,65202,3074
38,2020-06-23,409.0,126.17,2,65602,3092
39,2020-06-24,470.0,134.07,2,65934,3108
40,2020-06-25,320.0,134.79,2,66397,3129
41,2020-06-26,386.0,157.39,2,66704,3142
42,2020-06-27,516.0,157.97,2,67032,3157
43,2020-06-28,568.0,124.18,2,67360,3168
44,2020-06-29,385.0,130.8,2,67837,3175
45,2020-06-30,368.0,133.45,2,68152,3190
46,2020-07-01,427.0,136.29,2,68502,3205
47,2020-07-02,442.0,150.19,2,69015,3212
48,2020-07-03,444.0,154.73,2,69422,3223
49,2020-07-04,499.0,130.0,2,69724,3236
50,2020-07-05,517.0,120.56,2,69957,3243
51,2020-07-06,439.0,126.64,2,70497,3246
52,2020-07-07,362.0,129.46,2,70986,3266
53,2020-07-08,423.0,134.3,2,71455,3275
54,2020-07-09,397.0,138.5,2,72037,3288
55,2020-07-10,294.0,154.96,2,72503,3303
56,2020-07-11,438.0,156.58,2,73060,3310
57,2020-07-12,550.0,123.85,2,73705,3319
58,2020-07-13,418.0,129.21,2,74124,3325
59,2020-07-14,424.0,134.25,2,74836,3334
60,2020-07-15,499.0,136.32,2,75576,3341
61,2020-07-16,468.0,138.18,2,76237,3347
62,2020-07-17,345.0,160.68,2,76941,3359
63,2020-07-18,462.0,161.95,2,77773,3368
64,2020-07-19,552.0,127.65,2,78698,3377
65,2020-07-20,412.0,129.52,2,79251,3382
66,2020-07-21,395.0,130.9,2,80111,3402
67,2020-07-22,361.0,129.31,2,80738,3405
68,2020-07-23,312.0,137.84,2,81396,3409
69,2020-07-24,313.0,153.97,2,82326,3422
70,2020-07-25,618.0,163.71,2,83617,3433
71,2020-07-26,512.0,128.4,2,84306,3440
72,2020-07-27,428.0,129.86,2,85436,3447
73,2020-07-28,370.0,132.29,2,86091,3458
74,2020-07-29,449.0,137.0,2,86846,3478
75,2020-07-30,312.0,138.85,2,87740,3488
76,2020-07-31,296.0,147.74,2,88907,3493
77,2020-08-01,513.0,155.52,2,89925,3506
78,2020-08-02,520.0,122.81,2,90835,3515
79,2020-08-03,366.0,125.03,2,91705,3523
80,2020-08-04,232.0,116.86,2,92416,3530
81,2020-08-05,326.0,139.59,2,93000,3536
82,2020-08-06,396.0,135.12,2,93598,3551
83,2020-08-07,291.0,155.09,2,94395,3565
84,2020-08-08,456.0,158.29,2,95157,3577
85,2020-08-09,539.0,127.94,2,96065,3585
86,2020-08-10,457.0,133.46,2,96821,3591
87,2020-08-11,409.0,134.89,2,97403,3604
88,2020-08-12,407.0,132.95,2,97959,3612
89,2020-08-13,383.0,134.12,2,98728,3620
90,2020-08-14,300.0,155.67,2,99430,3631
91,2020-08-15,523.0,152.59,2,100237,3636
92,2020-08-16,439.0,117.95,2,100772,3639
93,2020-08-17,-30.0,129.08,2,101276,3641
94,2020-08-18,55.0,133.62,2,101780,3650
95,2020-08-19,-10.0,133.26,2,102215,3661
96,2020-08-20,31.0,140.36,2,102783,3669
