,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,79.0,124.57,2,1648,70
1,2020-05-17,72.0,108.65,2,1687,70
2,2020-05-18,34.0,110.71,2,1713,71
3,2020-05-19,72.0,117.27,2,1741,73
4,2020-05-20,67.0,121.59,2,1819,73
5,2020-05-21,111.0,130.37,2,1877,73
6,2020-05-22,196.0,153.4,2,1948,75
7,2020-05-23,119.0,137.01,2,2013,77
8,2020-05-24,128.0,118.85,2,2055,78
9,2020-05-25,59.0,109.51,2,2074,78
10,2020-05-26,135.0,123.58,2,2109,79
11,2020-05-27,159.0,130.64,2,2137,81
12,2020-05-28,110.0,135.36,2,2189,84
13,2020-05-29,109.0,146.89,2,2226,85
14,2020-05-30,203.0,140.24,2,2282,89
15,2020-05-31,143.0,120.87,2,2325,89
16,2020-06-01,86.0,128.03,2,2349,89
17,2020-06-02,129.0,129.05,2,2377,94
18,2020-06-03,85.0,130.26,2,2418,95
19,2020-06-04,152.0,147.23,2,2446,95
20,2020-06-05,203.0,164.18,2,2482,98
21,2020-06-06,232.0,147.11,2,2524,98
22,2020-06-07,174.0,133.01,2,2570,99
23,2020-06-08,93.0,142.85,2,2588,99
24,2020-06-09,148.0,143.75,2,2606,100
25,2020-06-10,85.0,145.56,2,2637,100
26,2020-06-11,46.0,138.62,2,2667,100
27,2020-06-12,137.0,176.52,2,2721,100
28,2020-06-13,157.0,171.44,2,2757,100
29,2020-06-14,294.0,146.28,2,2793,100
30,2020-06-15,176.0,150.2,2,2810,101
31,2020-06-16,149.0,157.7,2,2819,101
32,2020-06-17,135.0,163.89,2,2836,102
33,2020-06-18,239.0,174.7,2,2878,102
34,2020-06-19,160.0,200.89,2,2913,102
35,2020-06-20,219.0,192.77,2,2938,102
36,2020-06-21,422.0,157.16,2,2957,102
37,2020-06-22,154.0,164.73,2,2971,102
38,2020-06-23,161.0,172.95,2,2994,102
39,2020-06-24,102.0,168.28,2,3017,103
40,2020-06-25,239.0,184.31,2,3070,103
41,2020-06-26,131.0,207.29,2,3102,103
42,2020-06-27,193.0,202.3,2,3154,104
43,2020-06-28,363.0,173.95,2,3191,104
44,2020-06-29,140.0,160.49,2,3219,105
45,2020-06-30,117.0,167.09,2,3253,105
46,2020-07-01,170.0,186.98,2,3294,105
47,2020-07-02,452.0,215.35,2,3328,105
48,2020-07-03,325.0,228.53,2,3373,105
49,2020-07-04,175.0,192.38,2,3397,107
50,2020-07-05,473.0,211.93,2,3415,109
51,2020-07-06,250.0,197.78,2,3423,109
52,2020-07-07,240.0,195.35,2,3440,110
53,2020-07-08,140.0,190.5,2,3460,110
54,2020-07-09,376.0,208.27,2,3486,111
55,2020-07-10,258.0,225.76,2,3499,111
56,2020-07-11,191.0,217.45,2,3520,112
57,2020-07-12,297.0,201.38,2,3539,114
58,2020-07-13,191.0,190.28,2,3558,114
59,2020-07-14,210.0,183.01,2,3566,114
60,2020-07-15,219.0,206.92,2,3578,114
61,2020-07-16,275.0,211.58,2,3598,114
62,2020-07-17,137.0,229.66,2,3636,115
63,2020-07-18,288.0,253.55,2,3646,117
64,2020-07-19,465.0,223.19,2,3687,117
65,2020-07-20,237.0,209.0,2,3711,117
66,2020-07-21,252.0,211.71,2,3723,118
67,2020-07-22,192.0,206.29,2,3723,118
68,2020-07-23,224.0,208.12,2,3737,118
69,2020-07-24,348.0,251.09,2,3757,118
70,2020-07-25,336.0,256.56,2,3790,119
71,2020-07-26,308.0,228.14,2,3814,119
72,2020-07-27,204.0,218.12,2,3832,119
73,2020-07-28,212.0,216.34,2,3838,121
74,2020-07-29,212.0,222.05,2,3866,121
75,2020-07-30,356.0,225.6,2,3888,122
76,2020-07-31,240.0,248.16,2,3912,123
77,2020-08-01,341.0,264.68,2,3937,123
78,2020-08-02,403.0,225.44,2,3958,123
79,2020-08-03,390.0,225.26,2,3970,124
80,2020-08-04,187.0,202.55,2,3975,123
81,2020-08-05,198.0,221.35,2,3992,124
82,2020-08-06,424.0,232.9,2,3997,124
83,2020-08-07,377.0,260.98,2,4014,124
84,2020-08-08,355.0,268.62,2,4026,125
85,2020-08-09,468.0,241.27,2,4042,125
86,2020-08-10,255.0,228.58,2,4049,125
87,2020-08-11,265.0,226.25,2,4050,126
88,2020-08-12,218.0,229.32,2,4070,126
89,2020-08-13,429.0,236.79,2,4089,126
90,2020-08-14,373.0,267.44,2,4115,126
91,2020-08-15,343.0,269.97,2,4144,127
92,2020-08-16,493.0,239.13,2,4168,127
93,2020-08-17,,222.99,2,4197,127
94,2020-08-18,,216.74,2,4213,127
95,2020-08-19,,226.19,2,4234,127
96,2020-08-20,,237.52,2,4252,128
97,2020-08-21,,262.61,2,4285,129
98,2020-08-22,,267.82,2,4317,130
99,2020-08-23,,238.82,2,4335,131
100,2020-08-24,,218.32,2,4356,131
101,2020-08-25,,213.9,2,4368,131
102,2020-08-26,,223.03,2,4389,132
103,2020-08-27,,223.1,2,4414,132
