,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,192.0,114.76,2,50416,4880
1,2020-05-17,-45.0,80.19,2,51054,4891
2,2020-05-18,-131.0,95.88,2,51853,4915
3,2020-05-19,-33.0,111.27,2,52337,5017
4,2020-05-20,70.0,124.92,2,52988,5060
5,2020-05-21,85.0,127.07,2,53468,5129
6,2020-05-22,-32.0,136.59,2,53865,5158
7,2020-05-23,153.0,124.18,2,54304,5223
8,2020-05-24,210.0,107.21,2,54616,5228
9,2020-05-25,76.0,102.81,2,54816,5240
10,2020-05-26,54.0,121.98,2,55040,5266
11,2020-05-27,66.0,122.89,2,55544,5334
12,2020-05-28,45.0,123.26,2,55944,5372
13,2020-05-29,11.0,138.13,2,56589,5406
14,2020-05-30,258.0,135.02,2,56848,5463
15,2020-05-31,260.0,106.01,2,57355,5491
16,2020-06-01,60.0,121.66,2,58435,5525
17,2020-06-02,91.0,128.86,2,58680,5562
18,2020-06-03,112.0,129.04,2,58990,5579
19,2020-06-04,112.0,140.32,2,59215,5604
20,2020-06-05,64.0,155.17,2,63744,5854
21,2020-06-06,354.0,150.46,2,64196,5894
22,2020-06-07,348.0,122.64,2,64615,5898
23,2020-06-08,108.0,139.11,2,64911,5916
24,2020-06-09,81.0,140.52,2,65190,5946
25,2020-06-10,23.0,132.38,2,65377,5958
26,2020-06-11,151.0,153.44,2,65627,5985
27,2020-06-12,88.0,169.5,2,65881,5994
28,2020-06-13,349.0,163.02,2,66024,6017
29,2020-06-14,355.0,133.33,2,66246,6020
30,2020-06-15,126.0,147.42,2,66302,6025
31,2020-06-16,134.0,152.06,2,66466,6039
32,2020-06-17,161.0,157.94,2,66694,6041
33,2020-06-18,166.0,166.1,2,66980,6064
34,2020-06-19,104.0,188.58,2,67300,6071
35,2020-06-20,330.0,177.61,2,67721,6091
36,2020-06-21,240.0,128.31,2,67873,6094
37,2020-06-22,90.0,152.25,2,68144,6101
38,2020-06-23,75.0,155.79,2,68373,6113
39,2020-06-24,145.0,167.61,2,68711,6118
40,2020-06-25,173.0,175.63,2,69159,6137
41,2020-06-26,82.0,189.45,2,69473,6138
42,2020-06-27,292.0,187.57,2,69802,6157
43,2020-06-28,296.0,157.32,2,70042,6161
44,2020-06-29,140.0,164.16,2,70356,6165
45,2020-06-30,142.0,168.61,2,70850,6197
46,2020-07-01,191.0,176.4,2,71279,6202
47,2020-07-02,210.0,190.25,2,71853,6216
48,2020-07-03,133.0,185.56,2,72306,6219
49,2020-07-04,307.0,150.67,2,72702,6222
50,2020-07-05,358.0,157.64,2,73027,6222
51,2020-07-06,134.0,165.26,2,73403,6225
52,2020-07-07,117.0,166.62,2,74011,6256
53,2020-07-08,131.0,171.15,2,74660,6266
54,2020-07-09,127.0,175.59,2,75247,6275
55,2020-07-10,13.0,186.69,2,75871,6288
56,2020-07-11,295.0,195.21,2,76499,6316
57,2020-07-12,364.0,156.36,2,76936,6317
58,2020-07-13,138.0,165.52,2,77354,6324
59,2020-07-14,130.0,168.33,2,78045,6330
60,2020-07-15,145.0,171.69,2,79081,6333
61,2020-07-16,65.0,173.5,2,79977,6351
62,2020-07-17,114.0,201.12,2,80752,6358
63,2020-07-18,318.0,195.94,2,81384,6367
64,2020-07-19,188.0,146.53,2,81935,6369
65,2020-07-20,139.0,167.87,2,82486,6377
66,2020-07-21,116.0,166.71,2,83184,6385
67,2020-07-22,128.0,171.43,2,83891,6391
68,2020-07-23,158.0,180.94,2,84585,6397
69,2020-07-24,121.0,203.64,2,85238,6402
70,2020-07-25,356.0,200.74,2,85665,6402
71,2020-07-26,328.0,163.48,2,86750,6402
72,2020-07-27,99.0,164.65,2,87329,6407
73,2020-07-28,127.0,170.4,2,88025,6426
74,2020-07-29,124.0,174.35,2,89026,6426
75,2020-07-30,161.0,180.74,2,89926,6446
76,2020-07-31,153.0,195.59,2,90752,6453
77,2020-08-01,152.0,184.96,2,91450,6460
78,2020-08-02,155.0,144.09,2,91857,6460
79,2020-08-03,117.0,165.32,2,92503,6470
80,2020-08-04,118.0,168.88,2,93293,6474
81,2020-08-05,155.0,173.88,2,94045,6480
82,2020-08-06,163.0,181.55,2,94819,6508
83,2020-08-07,129.0,201.66,2,95632,6527
84,2020-08-08,313.0,196.46,2,96328,6521
85,2020-08-09,428.0,161.52,2,96835,6520
86,2020-08-10,98.0,164.35,2,97472,6527
87,2020-08-11,114.0,169.23,2,98361,6534
88,2020-08-12,142.0,174.68,2,98825,6541
89,2020-08-13,154.0,181.32,2,99963,6556
90,2020-08-14,91.0,200.65,2,100813,6567
91,2020-08-15,271.0,193.17,2,101831,6586
92,2020-08-16,271.0,155.04,2,102323,6592
93,2020-08-17,33.0,165.47,2,102872,6592
94,2020-08-18,36.0,166.45,2,103527,6607
95,2020-08-19,53.0,170.85,2,104235,6619
96,2020-08-20,56.0,178.59,2,104771,6636
97,2020-08-21,30.0,201.88,2,104829,6637
98,2020-08-22,290.0,194.5,2,106141,6657
