,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-31.0,96.73,2,14969,709
1,2020-05-17,-148.0,74.2,2,15677,731
2,2020-05-18,40.0,101.79,2,16372,740
3,2020-05-19,215.0,108.41,2,17038,757
4,2020-05-20,75.0,113.71,2,17679,786
5,2020-05-21,164.0,116.07,2,18209,818
6,2020-05-22,167.0,133.15,2,19014,851
7,2020-05-23,-49.0,106.98,2,19854,861
8,2020-05-24,207.0,92.2,2,20582,878
9,2020-05-25,22.0,96.52,2,21324,890
10,2020-05-26,79.0,107.94,2,21969,908
11,2020-05-27,106.0,120.77,2,22474,942
12,2020-05-28,196.0,132.53,2,22957,977
13,2020-05-29,163.0,135.69,2,23541,1006
14,2020-05-30,155.0,121.06,2,24200,1036
15,2020-05-31,246.0,107.31,2,24860,1050
16,2020-06-01,84.0,125.99,2,25218,1060
17,2020-06-02,94.0,117.84,2,25518,1082
18,2020-06-03,132.0,127.34,2,25881,1097
19,2020-06-04,218.0,131.99,2,26284,1126
20,2020-06-05,280.0,152.77,2,26991,1159
21,2020-06-06,102.0,131.69,2,27512,1181
22,2020-06-07,61.0,114.7,2,27897,1197
23,2020-06-08,112.0,129.75,2,28235,1208
24,2020-06-09,96.0,121.81,2,28534,1228
25,2020-06-10,60.0,130.61,2,28900,1267
26,2020-06-11,284.0,143.1,2,29347,1280
27,2020-06-12,318.0,161.6,2,29826,1305
28,2020-06-13,104.0,142.44,2,30203,1314
29,2020-06-14,331.0,123.82,2,30502,1329
30,2020-06-15,82.0,133.1,2,30724,1335
31,2020-06-16,263.0,139.72,2,30913,1344
32,2020-06-17,155.0,143.06,2,31328,1357
33,2020-06-18,134.0,138.42,2,31707,1376
34,2020-06-19,289.0,168.52,2,32063,1393
35,2020-06-20,171.0,146.98,2,32499,1404
36,2020-06-21,261.0,116.68,2,32952,1412
37,2020-06-22,107.0,136.47,2,33259,1416
38,2020-06-23,252.0,145.47,2,33501,1425
39,2020-06-24,142.0,150.75,2,33798,1432
40,2020-06-25,352.0,157.13,2,34158,1441
41,2020-06-26,255.0,173.12,2,34651,1446
42,2020-06-27,265.0,161.02,2,35068,1452
43,2020-06-28,283.0,129.15,2,35584,1460
44,2020-06-29,33.0,136.12,2,35896,1470
45,2020-06-30,240.0,148.7,2,36338,1476
46,2020-07-01,124.0,153.79,2,36753,1482
47,2020-07-02,287.0,165.02,2,37247,1495
48,2020-07-03,132.0,152.7,2,37661,1503
49,2020-07-04,229.0,117.3,2,37661,1503
50,2020-07-05,156.0,131.52,2,38173,1508
51,2020-07-06,71.0,140.04,2,38606,1511
52,2020-07-07,214.0,146.87,2,39170,1514
53,2020-07-08,79.0,149.19,2,39627,1523
54,2020-07-09,194.0,153.23,2,40201,1528
55,2020-07-10,285.0,177.51,2,40805,1533
56,2020-07-11,46.0,155.16,2,41609,1537
57,2020-07-12,393.0,139.38,2,42319,1540
58,2020-07-13,128.0,146.47,2,42810,1542
59,2020-07-14,121.0,141.11,2,43208,1548
60,2020-07-15,138.0,155.2,2,43782,1558
61,2020-07-16,290.0,161.67,2,44387,1566
62,2020-07-17,107.0,178.01,2,45053,1573
63,2020-07-18,63.0,157.21,2,45510,1578
64,2020-07-19,85.0,141.88,2,46244,1581
65,2020-07-20,130.0,145.65,2,47147,1585
66,2020-07-21,171.0,145.08,2,47497,1588
67,2020-07-22,103.0,158.39,2,48001,1592
68,2020-07-23,276.0,163.41,2,48761,1601
69,2020-07-24,270.0,180.69,2,49528,1606
70,2020-07-25,46.0,161.47,2,50331,1611
71,2020-07-26,146.0,137.59,2,51193,1614
72,2020-07-27,128.0,148.37,2,51843,1616
73,2020-07-28,247.0,151.23,2,52321,1620
74,2020-07-29,107.0,156.07,2,52987,1629
75,2020-07-30,276.0,163.23,2,53732,1634
76,2020-07-31,299.0,179.32,2,54503,1640
77,2020-08-01,94.0,169.14,2,55228,1646
78,2020-08-02,275.0,142.53,2,55987,1654
79,2020-08-03,136.0,149.61,2,56600,1656
80,2020-08-04,268.0,152.22,2,57202,1660
81,2020-08-05,99.0,153.73,2,57820,1670
82,2020-08-06,238.0,162.55,2,58681,1677
83,2020-08-07,227.0,181.25,2,59226,1681
84,2020-08-08,36.0,168.23,2,60142,1689
85,2020-08-09,55.0,141.11,2,60939,1698
86,2020-08-10,109.0,148.25,2,61557,1701
87,2020-08-11,265.0,153.79,2,61880,1707
88,2020-08-12,-13.0,146.9,2,62349,1724
89,2020-08-13,271.0,162.25,2,63039,1731
90,2020-08-14,51.0,175.45,2,63769,1739
91,2020-08-15,303.0,176.25,2,64459,1745
92,2020-08-16,419.0,148.8,2,65198,1752
93,2020-08-17,74.0,149.81,2,65762,1758
94,2020-08-18,92.0,149.99,2,66107,1767
95,2020-08-19,80.0,153.12,2,66664,1784
96,2020-08-20,82.0,161.82,2,67354,1791
97,2020-08-21,67.0,181.34,2,68179,1799
98,2020-08-22,34.0,166.52,2,68913,1807
99,2020-08-23,114.0,141.42,2,69630,1813
100,2020-08-24,22.0,140.32,2,70344,1817
101,2020-08-25,65.0,144.78,2,70753,1825
102,2020-08-26,63.0,148.95,2,71285,1842
103,2020-08-27,53.0,152.17,2,72439,1855
104,2020-08-28,41.0,171.34,2,73289,1859
105,2020-08-29,38.0,159.75,2,74306,1863
106,2020-08-30,137.0,132.2,2,75238,1865
107,2020-08-31,52.0,135.94,2,75913,1866
108,2020-09-01,78.0,143.77,2,76404,1872
109,2020-09-02,110.0,147.94,2,77137,1882
110,2020-09-03,74.0,154.71,2,78175,1889
111,2020-09-04,58.0,177.71,2,79018,1899
112,2020-09-05,36.0,156.52,2,79932,1903
113,2020-09-06,114.0,133.38,2,80639,1909
114,2020-09-07,-76.0,125.03,2,81277,1912
115,2020-09-08,-11.0,130.77,2,81660,1914
116,2020-09-09,-32.0,131.62,2,81920,1921
117,2020-09-10,52.0,144.26,2,82301,1936
118,2020-09-11,145.0,164.1,2,82768,1949
119,2020-09-12,122.0,159.01,2,83640,1958
120,2020-09-13,294.0,127.5,2,84363,1971
121,2020-09-14,208.0,130.61,2,85001,1974
122,2020-09-15,232.0,134.77,2,85403,1979
123,2020-09-16,237.0,136.85,2,85865,1985
124,2020-09-17,212.0,142.82,2,86774,1994
125,2020-09-18,231.0,170.47,2,87859,2002
126,2020-09-19,149.0,167.05,2,88773,2015
127,2020-09-20,265.0,127.35,2,90069,2017
128,2020-09-21,160.0,124.67,2,90994,2021
129,2020-09-22,205.0,129.5,2,91474,2031
130,2020-09-23,202.0,131.58,2,92152,2037
131,2020-09-24,144.0,137.1,2,93064,2040
132,2020-09-25,182.0,165.24,2,94241,2046
133,2020-09-26,114.0,160.09,2,95711,2056
134,2020-09-27,211.0,126.35,2,96786,2060
135,2020-09-28,71.0,118.67,2,97690,2067
136,2020-09-29,119.0,121.27,2,98499,2072
137,2020-09-30,93.0,123.76,2,99187,2089
138,2020-10-01,79.0,131.06,2,100253,2102
139,2020-10-02,100.0,152.72,2,101419,2112
140,2020-10-03,71.0,150.68,2,102840,2126
141,2020-10-04,223.0,121.4,2,103879,2133
142,2020-10-05,110.0,117.48,2,104852,2136
143,2020-10-06,148.0,122.37,2,105793,2140
144,2020-10-07,186.0,124.93,2,106704,2154
145,2020-10-08,154.0,130.96,2,107975,2160
146,2020-10-09,221.0,161.68,2,109365,2174
147,2020-10-10,166.0,159.88,2,110881,2184
148,2020-10-11,251.0,119.46,2,112321,2194
149,2020-10-12,124.0,115.68,2,113492,2197
150,2020-10-13,122.0,117.56,2,114627,2204
151,2020-10-14,78.0,122.63,2,115996,2233
152,2020-10-15,72.0,134.37,2,117159,2252
153,2020-10-16,1.0,147.91,2,119449,2265
154,2020-10-17,-3.0,137.27,2,121143,2270
155,2020-10-18,0.0,105.37,2,122865,2287
156,2020-10-19,8.0,109.99,2,124492,2292
157,2020-10-20,-63.0,101.46,2,125584,2299
158,2020-10-21,-16.0,111.33,2,126644,2334
159,2020-10-22,-48.0,105.4,2,128205,2354
160,2020-10-23,-44.0,134.25,2,129916,2367
161,2020-10-24,-24.0,129.0,2,132175,2381
162,2020-10-25,-29.0,91.56,2,133855,2402
163,2020-10-26,-24.0,103.29,2,135425,2406
