,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,16.0,117.6,2,10794,593
1,2020-05-17,90.0,95.55,2,11069,601
2,2020-05-18,23.0,113.53,2,11225,609
3,2020-05-19,45.0,117.94,2,11369,631
4,2020-05-20,49.0,121.79,2,11510,643
5,2020-05-21,87.0,130.55,2,11657,670
6,2020-05-22,91.0,152.21,2,11797,680
7,2020-05-23,187.0,142.56,2,11922,685
8,2020-05-24,233.0,109.7,2,12114,689
9,2020-05-25,-9.0,107.3,2,12296,694
10,2020-05-26,25.0,121.29,2,12437,698
11,2020-05-27,57.0,121.75,2,12624,705
12,2020-05-28,69.0,127.43,2,12815,715
13,2020-05-29,124.0,156.56,2,12949,740
14,2020-05-30,170.0,149.47,2,13118,782
15,2020-05-31,220.0,117.7,2,13297,784
16,2020-06-01,81.0,129.26,2,13523,786
17,2020-06-02,71.0,129.34,2,13822,797
18,2020-06-03,70.0,130.84,2,14020,801
19,2020-06-04,101.0,137.95,2,14286,806
20,2020-06-05,145.0,161.75,2,14515,816
21,2020-06-06,179.0,155.54,2,14659,823
22,2020-06-07,255.0,126.16,2,14985,823
23,2020-06-08,75.0,130.88,2,15159,832
24,2020-06-09,105.0,130.78,2,15396,854
25,2020-06-10,119.0,139.1,2,15662,861
26,2020-06-11,149.0,149.57,2,15924,873
27,2020-06-12,183.0,174.28,2,16111,884
28,2020-06-13,227.0,170.28,2,16327,890
29,2020-06-14,276.0,136.46,2,16384,890
30,2020-06-15,120.0,140.19,2,16712,895
31,2020-06-16,145.0,142.84,2,16930,903
32,2020-06-17,163.0,146.0,2,17151,924
33,2020-06-18,178.0,155.57,2,17488,963
34,2020-06-19,219.0,178.6,2,17780,973
35,2020-06-20,224.0,167.07,2,18155,975
36,2020-06-21,287.0,125.45,2,18552,975
37,2020-06-22,118.0,139.23,2,18733,980
38,2020-06-23,152.0,149.74,2,19148,993
39,2020-06-24,160.0,152.81,2,19478,1001
40,2020-06-25,204.0,161.63,2,20076,1006
41,2020-06-26,223.0,186.92,2,20567,1019
42,2020-06-27,236.0,174.42,2,20909,1021
43,2020-06-28,295.0,141.78,2,21254,1023
44,2020-06-29,138.0,144.81,2,21748,1026
45,2020-06-30,161.0,143.19,2,22275,1037
46,2020-07-01,171.0,154.35,2,22595,1049
47,2020-07-02,232.0,173.8,2,23085,1056
48,2020-07-03,278.0,173.67,2,23620,1060
49,2020-07-04,76.0,134.54,2,24061,1062
50,2020-07-05,319.0,136.67,2,24334,1062
51,2020-07-06,159.0,149.15,2,24850,1068
