,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-10.0,140.78,2,11123,510
1,2020-05-17,-23.0,101.84,2,11296,521
2,2020-05-18,-7.0,130.92,2,11432,528
3,2020-05-19,34.0,134.45,2,11704,554
4,2020-05-20,38.0,137.24,2,11967,570
5,2020-05-21,45.0,148.7,2,12222,580
6,2020-05-22,42.0,174.68,2,12624,596
7,2020-05-23,34.0,161.16,2,13005,616
8,2020-05-24,34.0,124.59,2,13252,625
9,2020-05-25,-65.0,124.62,2,13458,635
10,2020-05-26,19.0,135.86,2,13731,652
11,2020-05-27,5.0,137.87,2,14044,670
12,2020-05-28,44.0,147.98,2,14372,693
13,2020-05-29,25.0,172.29,2,14790,710
14,2020-05-30,62.0,172.77,2,15229,723
15,2020-05-31,35.0,128.09,2,15501,734
16,2020-06-01,38.0,144.3,2,15752,739
17,2020-06-02,36.0,142.91,2,16020,767
18,2020-06-03,32.0,139.24,2,16322,782
19,2020-06-04,59.0,149.69,2,16560,794
20,2020-06-05,17.0,174.92,2,16769,803
21,2020-06-06,59.0,182.06,2,17034,811
22,2020-06-07,42.0,113.51,2,17270,817
23,2020-06-08,-40.0,125.56,2,17768,837
24,2020-06-09,38.0,146.85,2,18109,847
25,2020-06-10,45.0,152.6,2,18483,868
26,2020-06-11,59.0,161.43,2,18483,868
27,2020-06-12,44.0,189.26,2,19091,881
28,2020-06-13,69.0,197.17,2,19348,889
29,2020-06-14,52.0,140.95,2,19516,891
30,2020-06-15,7.0,156.64,2,19799,895
31,2020-06-16,45.0,155.45,2,20152,915
32,2020-06-17,42.0,158.99,2,20641,938
33,2020-06-18,53.0,166.69,2,21022,943
34,2020-06-19,33.0,199.35,2,21022,943
35,2020-06-20,61.0,204.82,2,21022,943
36,2020-06-21,47.0,133.22,2,21022,943
37,2020-06-22,-8.0,148.91,2,22287,978
38,2020-06-23,30.0,153.45,2,22898,989
39,2020-06-24,9.0,152.02,2,23424,1011
40,2020-06-25,38.0,165.1,2,24516,1016
41,2020-06-26,18.0,200.89,2,25066,1022
42,2020-06-27,30.0,217.21,2,25531,1035
43,2020-06-28,9.0,149.08,2,25899,1039
44,2020-06-29,14.0,158.62,2,26568,1059
45,2020-06-30,43.0,158.87,2,27248,1073
46,2020-07-01,56.0,161.48,2,27900,1082
47,2020-07-02,85.0,175.66,2,28770,1092
48,2020-07-03,73.0,187.93,2,29684,1103
49,2020-07-04,-16.0,148.83,2,30674,1107
