,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,98.0,166.03,2,468,16
1,2020-05-17,175.0,138.16,2,468,16
2,2020-05-18,10.0,156.63,2,470,16
3,2020-05-19,135.0,156.02,2,471,16
4,2020-05-20,42.0,159.78,2,478,16
5,2020-05-21,156.0,173.53,2,479,16
6,2020-05-22,53.0,203.96,2,479,16
7,2020-05-23,-25.0,175.98,2,479,16
8,2020-05-24,32.0,153.7,2,479,16
9,2020-05-25,71.0,157.15,2,479,16
10,2020-05-26,121.0,173.13,2,479,17
11,2020-05-27,115.0,181.13,2,481,17
12,2020-05-28,134.0,190.36,2,485,17
13,2020-05-29,101.0,215.82,2,493,17
14,2020-05-30,126.0,193.73,2,505,17
15,2020-05-31,179.0,165.25,2,515,17
16,2020-06-01,78.0,186.38,2,519,17
17,2020-06-02,174.0,190.99,2,523,17
18,2020-06-03,121.0,194.11,2,525,17
19,2020-06-04,133.0,204.45,2,537,17
20,2020-06-05,141.0,236.17,2,539,18
21,2020-06-06,91.0,218.69,2,540,18
22,2020-06-07,148.0,187.84,2,545,18
23,2020-06-08,71.0,199.9,2,548,18
24,2020-06-09,94.0,209.01,2,554,18
25,2020-06-10,157.0,216.74,2,561,18
26,2020-06-11,191.0,232.44,2,563,18
27,2020-06-12,147.0,265.3,2,573,18
28,2020-06-13,209.0,252.3,2,588,18
29,2020-06-14,220.0,212.98,2,601,19
30,2020-06-15,122.0,232.25,2,609,19
31,2020-06-16,107.0,227.52,2,614,19
32,2020-06-17,-6.0,231.15,2,630,20
33,2020-06-18,162.0,249.58,2,655,20
34,2020-06-19,127.0,285.44,2,666,20
35,2020-06-20,183.0,266.7,2,698,20
36,2020-06-21,199.0,230.92,2,717,20
37,2020-06-22,193.0,262.18,2,734,21
38,2020-06-23,195.0,264.18,2,743,21
39,2020-06-24,164.0,269.77,2,766,21
40,2020-06-25,215.0,291.92,2,803,21
41,2020-06-26,135.0,326.23,2,829,22
42,2020-06-27,166.0,312.85,2,852,22
43,2020-06-28,107.0,268.28,2,863,22
44,2020-06-29,65.0,274.83,2,919,22
45,2020-06-30,135.0,281.68,2,967,22
46,2020-07-01,167.0,297.43,2,1016,22
47,2020-07-02,251.0,321.86,2,1083,22
48,2020-07-03,107.0,326.51,2,1128,23
49,2020-07-04,114.0,248.17,2,1167,23
50,2020-07-05,142.0,285.06,2,1212,23
51,2020-07-06,218.0,313.36,2,1249,23
52,2020-07-07,183.0,300.19,2,1327,23
53,2020-07-08,159.0,305.76,2,1371,23
54,2020-07-09,231.0,317.66,2,1466,25
55,2020-07-10,138.0,350.19,2,1593,28
56,2020-07-11,212.0,329.3,2,1677,29
57,2020-07-12,237.0,293.28,2,1758,29
58,2020-07-13,214.0,303.85,2,1908,32
59,2020-07-14,177.0,301.58,2,2038,34
60,2020-07-15,155.0,307.53,2,2149,34
61,2020-07-16,238.0,324.48,2,2265,35
62,2020-07-17,129.0,346.17,2,2383,37
63,2020-07-18,180.0,333.57,2,2471,37
64,2020-07-19,240.0,298.73,2,2533,37
65,2020-07-20,212.0,313.38,2,2640,39
66,2020-07-21,228.0,304.77,2,2741,40
67,2020-07-22,125.0,314.26,2,2840,42
68,2020-07-23,143.0,322.26,2,2924,43
69,2020-07-24,121.0,365.01,2,3113,46
70,2020-07-25,143.0,341.8,2,3260,46
71,2020-07-26,212.0,311.58,2,3342,46
72,2020-07-27,202.0,320.55,2,3406,47
73,2020-07-28,143.0,310.06,2,3491,52
74,2020-07-29,109.0,313.8,2,3695,54
75,2020-07-30,216.0,333.23,2,3829,55
76,2020-07-31,115.0,352.61,2,3977,60
77,2020-08-01,156.0,340.17,2,4081,61
78,2020-08-02,217.0,310.76,2,4193,61
79,2020-08-03,211.0,325.6,2,4249,64
80,2020-08-04,164.0,317.68,2,4360,64
81,2020-08-05,124.0,322.67,2,4481,65
82,2020-08-06,151.0,339.26,2,4621,66
83,2020-08-07,107.0,368.48,2,4771,71
84,2020-08-08,160.0,348.03,2,4889,75
85,2020-08-09,275.0,317.88,2,4952,75
86,2020-08-10,211.0,331.4,2,5032,75
87,2020-08-11,150.0,332.17,2,5125,77
88,2020-08-12,108.0,341.82,2,5292,80
89,2020-08-13,175.0,351.0,2,5430,81
90,2020-08-14,113.0,389.08,2,5564,82
91,2020-08-15,153.0,365.31,2,5663,82
92,2020-08-16,196.0,322.4,2,5751,82
93,2020-08-17,,315.59,2,5810,82
94,2020-08-18,,301.07,2,5867,84
95,2020-08-19,,298.72,2,5976,84
96,2020-08-20,,310.26,2,6095,89
97,2020-08-21,,351.56,2,6239,90
98,2020-08-22,,332.28,2,6392,90
99,2020-08-23,,288.07,2,6444,90
100,2020-08-24,,280.61,2,6510,91
101,2020-08-25,,273.26,2,6649,97
102,2020-08-26,,278.84,2,6807,98
103,2020-08-27,,289.64,2,6960,98
104,2020-08-28,,327.76,2,7086,100
105,2020-08-29,,310.81,2,7256,104
106,2020-08-30,,260.98,2,7340,104
107,2020-08-31,,262.88,2,7440,104
108,2020-09-01,,265.81,2,7526,105
109,2020-09-02,,278.79,2,7715,109
110,2020-09-03,,299.77,2,7903,111
111,2020-09-04,,360.83,2,8046,114
112,2020-09-05,,342.32,2,8178,116
113,2020-09-06,,292.19,2,8272,117
114,2020-09-07,,271.24,2,8340,118
115,2020-09-08,,270.73,2,8409,119
116,2020-09-09,,274.0,2,8499,122
117,2020-09-10,,290.86,2,8694,123
118,2020-09-11,116.0,328.7,2,8817,132
119,2020-09-12,241.0,324.47,2,8946,134
120,2020-09-13,165.0,259.35,2,9037,136
121,2020-09-14,179.0,269.92,2,9164,139
122,2020-09-15,151.0,263.21,2,9281,141
123,2020-09-16,117.0,264.12,2,9487,141
124,2020-09-17,95.0,276.23,2,9721,143
125,2020-09-18,128.0,306.99,2,9934,146
126,2020-09-19,217.0,288.18,2,10193,156
127,2020-09-20,179.0,235.91,2,10325,157
128,2020-09-21,180.0,245.22,2,10509,160
129,2020-09-22,138.0,236.04,2,10792,163
130,2020-09-23,95.0,240.49,2,11034,165
131,2020-09-24,144.0,252.76,2,11381,165
132,2020-09-25,85.0,283.66,2,11656,170
133,2020-09-26,169.0,268.53,2,11943,171
134,2020-09-27,152.0,215.59,2,12126,173
135,2020-09-28,136.0,226.0,2,12538,174
136,2020-09-29,134.0,216.39,2,12825,177
137,2020-09-30,72.0,220.83,2,13179,180
138,2020-10-01,177.0,234.32,2,13626,181
139,2020-10-02,93.0,267.23,2,14044,186
140,2020-10-03,217.0,256.3,2,14490,186
141,2020-10-04,201.0,205.98,2,14738,187
142,2020-10-05,142.0,215.99,2,15127,190
143,2020-10-06,129.0,210.67,2,15633,192
144,2020-10-07,65.0,206.84,2,16194,193
145,2020-10-08,153.0,221.08,2,16766,197
146,2020-10-09,72.0,257.91,2,17478,206
147,2020-10-10,178.0,237.38,2,18118,209
148,2020-10-11,80.0,187.69,2,18733,210
149,2020-10-12,55.0,190.01,2,19205,212
150,2020-10-13,77.0,187.98,2,19682,217
151,2020-10-14,5.0,197.51,2,20321,225
152,2020-10-15,56.0,216.28,2,21043,230
153,2020-10-16,-2.0,236.3,2,21674,235
154,2020-10-17,-33.0,194.97,2,22284,240
155,2020-10-18,-11.0,156.46,2,22821,241
156,2020-10-19,8.0,170.62,2,23503,242
157,2020-10-20,-3.0,172.0,2,24201,252
158,2020-10-21,-9.0,173.28,2,24818,276
159,2020-10-22,-16.0,176.15,2,25736,279
160,2020-10-23,-17.0,194.63,2,26600,283
161,2020-10-24,-112.0,141.2,2,27149,295
162,2020-10-25,-28.0,131.42,2,27880,298
163,2020-10-26,-16.0,154.9,2,28580,304
164,2020-10-27,-19.0,155.93,2,29422,309
165,2020-10-28,-24.0,160.97,2,30051,326
166,2020-10-29,34.0,171.96,2,30932,339
167,2020-10-30,19.0,200.47,2,31995,368
168,2020-10-31,90.0,189.04,2,32801,377
169,2020-11-01,68.0,136.47,2,33495,378
170,2020-11-02,60.0,155.28,2,34317,387
171,2020-11-03,35.0,153.0,2,35222,400
172,2020-11-04,-2.0,138.36,2,36012,404
173,2020-11-05,53.0,149.73,2,37024,409
174,2020-11-06,-17.0,169.02,2,38012,420
175,2020-11-07,15.0,144.77,2,38948,445
176,2020-11-08,-103.0,96.12,2,39679,456
177,2020-11-09,-32.0,120.99,2,40118,463
178,2020-11-10,-39.0,126.85,2,41219,468
179,2020-11-11,-66.0,131.65,2,42132,475
180,2020-11-12,-23.0,125.03,2,43084,478
181,2020-11-13,-46.0,154.57,2,44297,483
182,2020-11-14,-51.0,138.31,2,45919,519
183,2020-11-15,10.0,110.04,2,47158,525
184,2020-11-16,-12.0,125.38,2,48101,528
185,2020-11-17,-22.0,130.06,2,49496,548
