,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,73.0,128.65,2,18009,671
1,2020-05-17,-53.0,100.71,2,18537,679
2,2020-05-18,-28.0,109.34,2,19121,684
3,2020-05-19,-91.0,105.96,2,19762,711
4,2020-05-20,-141.0,105.64,2,20221,721
5,2020-05-21,-106.0,112.56,2,20934,734
6,2020-05-22,8.0,142.16,2,21661,754
7,2020-05-23,74.0,137.71,2,22731,763
8,2020-05-24,-67.0,108.63,2,23231,771
9,2020-05-25,46.0,109.87,2,23997,780
10,2020-05-26,52.0,124.45,2,24188,789
11,2020-05-27,-47.0,116.65,2,24787,827
12,2020-05-28,-33.0,124.88,2,25616,859
13,2020-05-29,-77.0,139.39,2,26735,888
14,2020-05-30,17.0,143.39,2,27761,903
15,2020-05-31,1.0,113.58,2,28686,911
16,2020-06-01,71.0,126.89,2,29368,923
17,2020-06-02,74.0,126.39,2,30052,950
18,2020-06-03,32.0,129.92,2,31013,971
19,2020-06-04,41.0,135.71,2,32276,993
20,2020-06-05,10.0,152.79,2,33417,1001
21,2020-06-06,70.0,153.99,2,34809,1020
22,2020-06-07,-15.0,122.42,2,35663,1024
23,2020-06-08,53.0,133.88,2,36581,1041
24,2020-06-09,54.0,134.97,2,37393,1069
25,2020-06-10,-3.0,136.99,2,38305,1096
26,2020-06-11,-15.0,142.03,2,39735,1114
27,2020-06-12,58.0,164.46,2,41467,1128
28,2020-06-13,59.0,165.8,2,42911,1135
29,2020-06-14,-7.0,125.74,2,44199,1139
30,2020-06-15,-79.0,129.5,2,45257,1156
31,2020-06-16,-53.0,126.18,2,46105,1185
32,2020-06-17,-17.0,133.7,2,47142,1198
33,2020-06-18,40.0,143.55,2,48426,1209
34,2020-06-19,-20.0,165.46,2,50014,1223
35,2020-06-20,51.0,165.83,2,51640,1239
36,2020-06-21,-11.0,123.18,2,52854,1245
37,2020-06-22,43.0,142.73,2,53840,1250
38,2020-06-23,53.0,143.62,2,54826,1276
39,2020-06-24,31.0,146.74,2,56263,1295
40,2020-06-25,43.0,151.93,2,57540,1305
41,2020-06-26,39.0,173.26,2,59257,1319
42,2020-06-27,65.0,174.15,2,60709,1334
43,2020-06-28,-36.0,131.0,2,62178,1338
44,2020-06-29,53.0,145.3,2,63692,1341
45,2020-06-30,-19.0,145.68,2,65064,1362
46,2020-07-01,35.0,152.25,2,66815,1389
47,2020-07-02,-5.0,164.72,2,68512,1402
48,2020-07-03,46.0,167.14,2,70451,1413
49,2020-07-04,64.0,138.44,2,71735,1414
50,2020-07-05,-56.0,128.17,2,73096,1414
51,2020-07-06,60.0,147.26,2,74933,1424
52,2020-07-07,17.0,142.11,2,76188,1446
53,2020-07-08,2.0,144.99,2,77661,1470
54,2020-07-09,30.0,152.45,2,79564,1487
55,2020-07-10,24.0,174.03,2,81737,1503
56,2020-07-11,69.0,172.84,2,83996,1520
57,2020-07-12,-13.0,131.87,2,85831,1532
58,2020-07-13,37.0,145.54,2,87653,1547
59,2020-07-14,41.0,147.93,2,89767,1582
60,2020-07-15,20.0,150.72,2,91573,1598
61,2020-07-16,28.0,156.31,2,93657,1617
62,2020-07-17,-19.0,174.55,2,95633,1638
63,2020-07-18,63.0,177.23,2,98067,1653
