,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-63.0,132.11,2,1848,42
1,2020-05-17,-83.0,108.86,2,1900,43
2,2020-05-18,-93.0,131.91,2,1931,44
3,2020-05-19,-67.0,137.85,2,1994,45
4,2020-05-20,-72.0,136.37,2,2095,49
5,2020-05-21,-55.0,147.77,2,2229,51
6,2020-05-22,-35.0,168.96,2,2317,52
7,2020-05-23,-73.0,140.96,2,2365,52
8,2020-05-24,-113.0,112.12,2,2418,53
9,2020-05-25,-146.0,120.29,2,2457,54
10,2020-05-26,-71.0,144.29,2,2422,54
11,2020-05-27,-75.0,150.21,2,2442,59
12,2020-05-28,-70.0,152.87,2,2484,60
13,2020-05-29,-41.0,171.88,2,2523,62
14,2020-05-30,-32.0,154.56,2,2557,63
15,2020-05-31,-76.0,121.78,2,2580,64
16,2020-06-01,-59.0,152.35,2,2628,64
17,2020-06-02,-83.0,151.71,2,2649,68
18,2020-06-03,-63.0,152.34,2,2682,69
19,2020-06-04,-75.0,158.85,2,2709,69
20,2020-06-05,-48.0,180.24,2,2748,74
21,2020-06-06,-89.0,149.65,2,2819,75
22,2020-06-07,-58.0,129.75,2,2864,75
23,2020-06-08,-86.0,153.31,2,2883,75
24,2020-06-09,-59.0,152.33,2,2904,75
25,2020-06-10,-70.0,162.02,2,2944,76
26,2020-06-11,-53.0,171.52,2,2983,77
27,2020-06-12,-62.0,194.41,2,3019,77
28,2020-06-13,-61.0,166.37,2,3061,77
29,2020-06-14,-100.0,137.89,2,3083,77
30,2020-06-15,-82.0,161.37,2,3104,77
31,2020-06-16,-76.0,165.59,2,3127,77
32,2020-06-17,-56.0,168.79,2,3170,78
33,2020-06-18,-68.0,178.24,2,3199,81
34,2020-06-19,-48.0,208.24,2,3232,82
35,2020-06-20,-23.0,172.71,2,3257,82
36,2020-06-21,244.0,142.98,2,3294,83
37,2020-06-22,-77.0,166.08,2,3319,83
38,2020-06-23,-60.0,174.1,2,3326,84
39,2020-06-24,-44.0,182.95,2,3370,86
40,2020-06-25,-65.0,191.14,2,3402,87
41,2020-06-26,-46.0,222.79,2,3430,87
