,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,128.0,127.74,2,3556,171
1,2020-05-17,44.0,101.81,2,3596,172
2,2020-05-18,55.0,101.56,2,3652,172
3,2020-05-19,63.0,110.72,2,3721,182
4,2020-05-20,90.0,116.76,2,3868,190
5,2020-05-21,76.0,126.24,2,3935,199
6,2020-05-22,64.0,149.88,2,4014,204
7,2020-05-23,141.0,138.6,2,4089,208
8,2020-05-24,94.0,123.09,2,4149,209
9,2020-05-25,94.0,110.92,2,4197,210
10,2020-05-26,106.0,122.63,2,4231,214
11,2020-05-27,117.0,128.11,2,4286,223
12,2020-05-28,138.0,126.8,2,4389,232
13,2020-05-29,82.0,141.42,2,4492,238
14,2020-05-30,198.0,147.53,2,4545,242
15,2020-05-31,92.0,124.85,2,4651,245
16,2020-06-01,141.0,119.69,2,4685,245
17,2020-06-02,116.0,124.74,2,4749,256
18,2020-06-03,89.0,125.94,2,4795,265
19,2020-06-04,67.0,139.21,2,4876,273
20,2020-06-05,19.0,158.68,2,4953,278
21,2020-06-06,342.0,161.3,2,5019,283
22,2020-06-07,121.0,137.43,2,5043,286
23,2020-06-08,43.0,138.56,2,5079,286
24,2020-06-09,239.0,138.21,2,5132,294
25,2020-06-10,183.0,141.36,2,5178,301
26,2020-06-11,127.0,135.81,2,5209,308
27,2020-06-12,53.0,177.34,2,5251,315
28,2020-06-13,51.0,174.55,2,5299,318
29,2020-06-14,230.0,148.05,2,5318,320
30,2020-06-15,44.0,142.64,2,5345,320
31,2020-06-16,71.0,150.7,2,5364,326
32,2020-06-17,323.0,156.61,2,5436,330
33,2020-06-18,108.0,165.11,2,5450,331
34,2020-06-19,68.0,196.97,2,5486,337
35,2020-06-20,93.0,194.5,2,5518,339
36,2020-06-21,294.0,150.7,2,5544,339
37,2020-06-22,129.0,153.13,2,5558,339
38,2020-06-23,67.0,160.11,2,5571,343
39,2020-06-24,148.0,154.89,2,5598,347
40,2020-06-25,103.0,172.34,2,5638,357
41,2020-06-26,63.0,199.34,2,5671,365
42,2020-06-27,392.0,189.41,2,5717,367
43,2020-06-28,195.0,158.83,2,5747,367
