,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,81.0,102.87,2,145089,10249
1,2020-05-17,55.0,80.17,2,146334,10356
2,2020-05-18,-9.0,85.47,2,148039,10435
3,2020-05-19,-2.0,90.71,2,149013,10586
4,2020-05-20,-6.0,92.94,2,150399,10747
5,2020-05-21,38.0,100.01,2,151472,10843
6,2020-05-22,3.0,108.01,2,152719,10985
7,2020-05-23,-24.0,92.62,2,153104,11081
8,2020-05-24,106.0,92.82,2,154154,11133
9,2020-05-25,59.0,86.18,2,155092,11144
10,2020-05-26,36.0,101.33,2,155764,11191
11,2020-05-27,32.0,102.41,2,156628,11339
12,2020-05-28,-48.0,98.62,2,157815,11401
13,2020-05-29,-16.0,112.45,2,158844,11531
14,2020-05-30,121.0,119.55,2,159608,11634
15,2020-05-31,152.0,99.37,2,160445,11698
16,2020-06-01,39.0,101.98,2,160918,11721
17,2020-06-02,23.0,100.35,2,161545,11770
18,2020-06-03,-12.0,99.63,2,162068,11880
19,2020-06-04,33.0,114.34,2,162530,11970
20,2020-06-05,-41.0,120.11,2,163336,12049
21,2020-06-06,105.0,133.59,2,163893,12106
22,2020-06-07,166.0,114.79,2,164164,12176
23,2020-06-08,66.0,113.57,2,164497,12214
24,2020-06-09,65.0,125.61,2,164796,12303
25,2020-06-10,54.0,121.25,2,165346,12377
26,2020-06-11,7.0,111.14,2,165816,12443
27,2020-06-12,66.0,146.08,2,166164,12489
28,2020-06-13,226.0,144.14,2,166605,12589
29,2020-06-14,210.0,116.3,2,166881,12625
30,2020-06-15,79.0,120.7,2,167103,12676
31,2020-06-16,114.0,125.61,2,167426,12727
32,2020-06-17,84.0,125.64,2,167703,12769
33,2020-06-18,61.0,126.77,2,168107,12800
34,2020-06-19,49.0,151.02,2,168496,12835
35,2020-06-20,142.0,144.41,2,168834,12857
36,2020-06-21,135.0,111.26,2,169142,12870
37,2020-06-22,77.0,134.68,2,169415,12895
38,2020-06-23,97.0,137.07,2,169734,12949
39,2020-06-24,106.0,139.28,2,169892,12995
40,2020-06-25,98.0,143.66,2,172050,14872
41,2020-06-26,77.0,166.23,2,172438,14914
42,2020-06-27,108.0,151.9,2,172727,14948
43,2020-06-28,168.0,130.3,2,173036,14975
44,2020-06-29,104.0,143.02,2,173126,14992
