,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-11.0,110.56,2,5847,259
1,2020-05-17,6.0,91.5,2,5938,265
2,2020-05-18,3.0,103.48,2,6096,270
3,2020-05-19,4.0,104.87,2,6192,276
4,2020-05-20,19.0,109.97,2,6338,283
5,2020-05-21,22.0,116.8,2,6472,294
6,2020-05-22,21.0,136.5,2,6625,302
7,2020-05-23,15.0,125.28,2,6795,308
8,2020-05-24,43.0,106.13,2,6943,317
9,2020-05-25,-20.0,99.94,2,7026,320
10,2020-05-26,1.0,112.59,2,7130,325
11,2020-05-27,28.0,114.63,2,7252,329
12,2020-05-28,20.0,119.58,2,7364,335
13,2020-05-29,4.0,134.04,2,7493,344
14,2020-05-30,15.0,125.76,2,7624,351
15,2020-05-31,28.0,106.54,2,7689,356
16,2020-06-01,16.0,115.62,2,7800,362
17,2020-06-02,42.0,119.31,2,8024,367
18,2020-06-03,33.0,121.31,2,8140,375
19,2020-06-04,22.0,125.99,2,8353,383
20,2020-06-05,9.0,143.82,2,8672,387
21,2020-06-06,-1.0,138.57,2,8800,392
22,2020-06-07,39.0,114.86,2,8940,396
23,2020-06-08,0.0,124.36,2,9062,400
24,2020-06-09,43.0,123.73,2,9105,404
25,2020-06-10,25.0,129.54,2,9250,410
26,2020-06-11,23.0,133.11,2,9368,421
27,2020-06-12,-9.0,152.21,2,9526,426
28,2020-06-13,1.0,149.35,2,9621,431
29,2020-06-14,54.0,123.39,2,9723,435
30,2020-06-15,16.0,129.81,2,9845,440
31,2020-06-16,37.0,133.08,2,9933,447
32,2020-06-17,29.0,135.89,2,10065,452
33,2020-06-18,30.0,139.98,2,10153,456
34,2020-06-19,15.0,162.73,2,10260,464
35,2020-06-20,36.0,154.71,2,10430,466
36,2020-06-21,60.0,117.95,2,10565,469
37,2020-06-22,6.0,136.67,2,10694,469
38,2020-06-23,23.0,138.41,2,10838,476
39,2020-06-24,24.0,143.0,2,10990,480
40,2020-06-25,1.0,147.54,2,11192,485
41,2020-06-26,-13.0,168.13,2,11408,489
42,2020-06-27,24.0,167.53,2,11619,491
43,2020-06-28,25.0,136.18,2,11809,492
44,2020-06-29,-18.0,144.48,2,11982,493
45,2020-06-30,11.0,144.9,2,12147,497
46,2020-07-01,20.0,152.23,2,12276,500
47,2020-07-02,17.0,166.19,2,12520,503
48,2020-07-03,5.0,167.0,2,12776,511
49,2020-07-04,-15.0,127.85,2,13063,513
50,2020-07-05,-38.0,126.44,2,13256,513
51,2020-07-06,-33.0,142.85,2,13507,515
52,2020-07-07,-29.0,140.29,2,13727,519
53,2020-07-08,-24.0,140.14,2,14017,527
54,2020-07-09,-35.0,145.05,2,14251,533
55,2020-07-10,-44.0,163.93,2,14549,539
56,2020-07-11,-40.0,157.12,2,14773,543
57,2020-07-12,-45.0,124.43,2,15028,545
58,2020-07-13,-46.0,130.05,2,15291,548
59,2020-07-14,-38.0,133.91,2,15514,551
60,2020-07-15,-39.0,136.18,2,15841,557
61,2020-07-16,-29.0,140.07,2,16138,562
62,2020-07-17,-47.0,161.03,2,16456,565
63,2020-07-18,-31.0,153.55,2,16736,569
64,2020-07-19,-27.0,125.77,2,16971,571
65,2020-07-20,-20.0,133.15,2,17215,578
66,2020-07-21,-45.0,133.11,2,17517,588
67,2020-07-22,-34.0,136.66,2,17828,591
68,2020-07-23,-40.0,141.22,2,18163,596
69,2020-07-24,-41.0,159.69,2,18475,601
70,2020-07-25,-33.0,154.86,2,18788,607
71,2020-07-26,-26.0,127.26,2,19053,614
72,2020-07-27,-59.0,134.32,2,19502,619
73,2020-07-28,-37.0,137.45,2,19791,626
74,2020-07-29,-35.0,143.58,2,20136,632
75,2020-07-30,-38.0,149.79,2,20388,635
76,2020-07-31,6.0,169.24,2,20600,642
77,2020-08-01,10.0,165.53,2,20796,651
78,2020-08-02,4.0,132.76,2,21016,654
79,2020-08-03,6.0,142.55,2,21130,655
80,2020-08-04,8.0,141.83,2,21340,658
81,2020-08-05,-14.0,141.49,2,21566,667
82,2020-08-06,2.0,147.89,2,21773,669
83,2020-08-07,11.0,168.38,2,21965,675
84,2020-08-08,5.0,164.35,2,22115,681
85,2020-08-09,36.0,135.21,2,22315,685
86,2020-08-10,5.0,139.15,2,22444,690
87,2020-08-11,-6.0,139.0,2,22643,693
88,2020-08-12,-3.0,140.79,2,22816,695
89,2020-08-13,-9.0,148.04,2,22987,697
90,2020-08-14,9.0,170.87,2,23160,703
91,2020-08-15,-10.0,167.51,2,23302,711
92,2020-08-16,0.0,136.74,2,23408,714
93,2020-08-17,-47.0,135.82,2,23500,718
94,2020-08-18,-45.0,135.24,2,23579,723
95,2020-08-19,-53.0,136.87,2,23749,729
96,2020-08-20,-46.0,141.07,2,23951,734
97,2020-08-21,-53.0,162.84,2,24095,739
98,2020-08-22,-41.0,155.83,2,24302,743
99,2020-08-23,-56.0,124.26,2,24396,745
100,2020-08-24,-70.0,126.96,2,24469,747
101,2020-08-25,-50.0,127.27,2,24535,750
102,2020-08-26,-60.0,131.02,2,24732,755
103,2020-08-27,-41.0,133.59,2,24920,764
104,2020-08-28,-49.0,157.76,2,25042,767
105,2020-08-29,-29.0,154.4,2,25178,769
106,2020-08-30,-44.0,121.48,2,25283,770
107,2020-08-31,-54.0,127.9,2,25352,779
108,2020-09-01,-40.0,128.74,2,25460,787
109,2020-09-02,-33.0,133.7,2,25612,790
110,2020-09-03,-30.0,146.02,2,25812,791
111,2020-09-04,-27.0,180.21,2,25902,794
112,2020-09-05,-22.0,170.67,2,26048,800
113,2020-09-06,-22.0,145.84,2,26107,803
114,2020-09-07,-71.0,138.0,2,26144,807
115,2020-09-08,-75.0,128.73,2,26181,807
116,2020-09-09,-96.0,127.23,2,26268,813
117,2020-09-10,-66.0,134.24,2,26429,816
118,2020-09-11,10.0,158.14,2,26563,818
119,2020-09-12,11.0,162.64,2,26661,821
120,2020-09-13,25.0,121.87,2,26761,823
121,2020-09-14,-20.0,131.01,2,26842,823
122,2020-09-15,-4.0,132.35,2,26923,830
123,2020-09-16,3.0,134.97,2,27041,832
124,2020-09-17,-7.0,139.22,2,27199,836
125,2020-09-18,3.0,163.65,2,27350,841
126,2020-09-19,-11.0,159.98,2,27512,847
127,2020-09-20,21.0,124.59,2,27579,849
128,2020-09-21,-29.0,126.42,2,27683,851
129,2020-09-22,-15.0,128.46,2,27790,854
130,2020-09-23,-5.0,130.23,2,27987,857
131,2020-09-24,1.0,134.25,2,28224,859
132,2020-09-25,9.0,157.3,2,28487,865
133,2020-09-26,-21.0,151.01,2,28692,870
134,2020-09-27,15.0,118.93,2,28844,870
135,2020-09-28,-30.0,122.36,2,28985,873
136,2020-09-29,-24.0,123.52,2,29157,875
137,2020-09-30,-6.0,126.72,2,29435,877
138,2020-10-01,-23.0,132.29,2,29661,882
139,2020-10-02,-5.0,155.09,2,30000,887
140,2020-10-03,-7.0,149.93,2,30296,890
141,2020-10-04,19.0,119.51,2,30477,892
142,2020-10-05,-43.0,122.31,2,30632,894
143,2020-10-06,-28.0,124.22,2,30947,894
144,2020-10-07,-14.0,128.3,2,31372,896
145,2020-10-08,-16.0,135.57,2,31756,899
146,2020-10-09,-4.0,161.26,2,32241,902
147,2020-10-10,-12.0,153.68,2,32722,907
148,2020-10-11,9.0,122.83,2,32983,911
149,2020-10-12,-51.0,126.38,2,33362,915
150,2020-10-13,-18.0,121.52,2,33713,918
151,2020-10-14,-14.0,129.99,2,34290,921
152,2020-10-15,-36.0,135.1,2,34958,922
153,2020-10-16,-26.0,153.2,2,35770,928
154,2020-10-17,-16.0,156.85,2,36343,929
155,2020-10-18,14.0,116.9,2,36788,934
156,2020-10-19,-46.0,117.87,2,37302,935
157,2020-10-20,-23.0,120.66,2,37896,942
158,2020-10-21,-14.0,122.01,2,38715,950
159,2020-10-22,-23.0,126.61,2,39377,953
160,2020-10-23,-9.0,146.46,2,40168,960
161,2020-10-24,-29.0,142.73,2,41040,965
162,2020-10-25,0.0,107.12,2,41863,967
163,2020-10-26,-74.0,107.34,2,42586,976
164,2020-10-27,-127.0,88.22,2,43169,980
165,2020-10-28,-63.0,112.46,2,43826,991
166,2020-10-29,-40.0,123.37,2,44904,994
167,2020-10-30,-24.0,139.74,2,45909,1007
168,2020-10-31,-5.0,131.2,2,46490,1018
169,2020-11-01,-17.0,95.08,2,47232,1026
170,2020-11-02,-65.0,107.5,2,48104,1036
171,2020-11-03,-13.0,108.26,2,49240,1045
172,2020-11-04,-39.0,102.86,2,50251,1059
173,2020-11-05,-34.0,107.11,2,51110,1082
174,2020-11-06,-57.0,121.46,2,52394,1088
175,2020-11-07,-52.0,111.56,2,53671,1104
176,2020-11-08,-18.0,89.91,2,54881,1118
177,2020-11-09,-55.0,99.82,2,56289,1130
178,2020-11-10,-54.0,102.2,2,57547,1144
179,2020-11-11,-51.0,108.82,2,59034,1158
180,2020-11-12,-54.0,97.37,2,60776,1176
181,2020-11-13,-50.0,118.22,2,62006,1198
182,2020-11-14,-49.0,109.6,2,63171,1208
183,2020-11-15,-21.0,88.48,2,64201,1215
184,2020-11-16,-77.0,92.79,2,65454,1236
185,2020-11-17,-64.0,94.2,2,67559,1264
