,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,15.0,100.31,1,6810,349
1,2020-05-17,-105.0,80.24,1,6935,350
2,2020-05-18,-55.0,94.46,1,7059,364
3,2020-05-19,7.0,98.19,1,7169,373
4,2020-05-20,47.0,101.16,1,7301,378
5,2020-05-21,75.0,106.83,1,7404,381
6,2020-05-22,-35.0,118.74,1,7531,387
7,2020-05-23,33.0,111.62,1,7769,392
8,2020-05-24,5.0,93.86,1,7886,394
9,2020-05-25,43.0,93.19,1,7959,396
10,2020-05-26,87.0,103.28,1,8059,396
11,2020-05-27,97.0,106.64,1,8150,402
12,2020-05-28,31.0,109.15,1,8247,410
13,2020-05-29,7.0,120.82,1,8375,415
14,2020-05-30,-1.0,111.9,1,8519,417
15,2020-05-31,-8.0,90.93,1,8628,419
16,2020-06-01,10.0,104.99,1,8701,420
17,2020-06-02,116.0,105.69,1,8858,420
18,2020-06-03,102.0,110.16,1,8950,429
19,2020-06-04,106.0,115.27,1,9118,429
20,2020-06-05,22.0,130.98,1,9306,436
21,2020-06-06,16.0,129.18,1,9494,437
22,2020-06-07,-36.0,106.22,1,9673,438
23,2020-06-08,42.0,118.23,1,9815,442
24,2020-06-09,114.0,122.76,1,10046,445
25,2020-06-10,115.0,122.44,1,10216,449
26,2020-06-11,91.0,126.57,1,10464,460
27,2020-06-12,4.0,142.64,1,10704,462
28,2020-06-13,52.0,141.77,1,10992,463
29,2020-06-14,45.0,118.89,1,11199,464
30,2020-06-15,34.0,126.05,1,11316,466
31,2020-06-16,126.0,126.49,1,11673,467
32,2020-06-17,98.0,128.5,1,11852,473
33,2020-06-18,123.0,133.17,1,12164,475
34,2020-06-19,22.0,152.02,1,12525,479
35,2020-06-20,81.0,149.6,1,12977,486
36,2020-06-21,24.0,115.31,1,13236,487
37,2020-06-22,40.0,131.43,1,13575,490
38,2020-06-23,101.0,133.29,1,14058,492
39,2020-06-24,103.0,133.81,1,14460,494
40,2020-06-25,108.0,138.51,1,14911,495
41,2020-06-26,25.0,155.35,1,15359,498
42,2020-06-27,-7.0,154.69,1,16400,500
43,2020-06-28,4.0,128.25,1,17187,500
44,2020-06-29,48.0,134.59,1,17971,505
45,2020-06-30,112.0,136.45,1,18582,507
46,2020-07-01,107.0,140.43,1,19151,512
47,2020-07-02,65.0,150.58,1,19871,525
48,2020-07-03,43.0,162.74,1,20878,530
49,2020-07-04,-29.0,141.76,1,21671,530
50,2020-07-05,2.0,138.16,1,22518,537
51,2020-07-06,39.0,139.96,1,22930,537
52,2020-07-07,111.0,135.51,1,23848,549
53,2020-07-08,91.0,135.28,1,24378,556
54,2020-07-09,92.0,139.09,1,25055,574
55,2020-07-10,23.0,156.21,1,25961,581
56,2020-07-11,4.0,150.73,1,26912,592
57,2020-07-12,26.0,126.19,1,27745,593
58,2020-07-13,45.0,133.25,1,28597,596
59,2020-07-14,106.0,133.52,1,29669,613
60,2020-07-15,103.0,135.41,1,30587,619
61,2020-07-16,90.0,138.27,1,32024,627
62,2020-07-17,25.0,155.98,1,33372,638
