,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,157.0,89.72,2,353136,27953
1,2020-05-17,75.0,70.98,2,355037,28168
2,2020-05-18,-105.0,75.74,2,356278,28302
3,2020-05-19,-73.0,81.39,2,357757,28437
4,2020-05-20,-95.0,85.72,2,359235,28540
5,2020-05-21,-47.0,90.18,2,361313,28663
6,2020-05-22,-18.0,100.15,2,362991,28802
7,2020-05-23,-87.0,83.92,2,364745,28900
8,2020-05-24,104.0,83.36,2,366346,29046
9,2020-05-25,-106.0,77.04,2,367625,29138
10,2020-05-26,-30.0,90.24,2,368669,29241
11,2020-05-27,-69.0,93.73,2,369801,29339
12,2020-05-28,-57.0,89.89,2,371559,29438
13,2020-05-29,-62.0,98.41,2,373108,29535
14,2020-05-30,150.0,100.63,2,374471,29612
15,2020-05-31,161.0,82.69,2,375575,29699
16,2020-06-01,-64.0,89.22,2,376520,29766
17,2020-06-02,-66.0,86.92,2,377881,29847
18,2020-06-03,-103.0,87.8,2,378924,29918
19,2020-06-04,-24.0,98.54,2,379977,30011
20,2020-06-05,-20.0,104.04,2,381019,30066
21,2020-06-06,176.0,105.34,2,382102,30123
22,2020-06-07,211.0,91.93,2,382879,30183
23,2020-06-08,7.0,99.67,2,383591,30239
24,2020-06-09,18.0,105.73,2,384281,30309
25,2020-06-10,-13.0,105.1,2,384945,30376
26,2020-06-11,-43.0,101.52,2,385669,30431
27,2020-06-12,65.0,125.12,2,386490,30511
28,2020-06-13,192.0,118.58,2,387402,30565
29,2020-06-14,221.0,97.93,2,388096,30605
30,2020-06-15,10.0,106.13,2,388719,30645
31,2020-06-16,42.0,111.45,2,389349,30683
32,2020-06-17,12.0,113.36,2,389910,30722
33,2020-06-18,36.0,116.23,2,390536,30767
34,2020-06-19,86.0,135.92,2,391330,30816
35,2020-06-20,240.0,126.01,2,392037,30839
36,2020-06-21,207.0,97.03,2,392702,30884
37,2020-06-22,11.0,115.16,2,393257,30934
38,2020-06-23,54.0,120.61,2,393855,30970
39,2020-06-24,7.0,122.51,2,394430,31001
40,2020-06-25,49.0,126.04,2,395168,31029
41,2020-06-26,78.0,143.28,2,395972,31075
42,2020-06-27,91.0,124.5,2,396669,31105
43,2020-06-28,139.0,109.48,2,397293,31137
44,2020-06-29,21.0,121.88,2,397684,31143
45,2020-06-30,-4.0,123.07,2,398142,31776
46,2020-07-01,-2.0,126.84,2,398770,31791
47,2020-07-02,79.0,142.83,2,399642,31814
48,2020-07-03,16.0,132.95,2,400561,31836
49,2020-07-04,212.0,114.39,2,401286,31860
50,2020-07-05,230.0,110.05,2,401822,31895
51,2020-07-06,12.0,120.74,2,402338,31911
52,2020-07-07,-5.0,123.96,2,402928,31934
53,2020-07-08,-35.0,125.32,2,403619,31945
54,2020-07-09,66.0,134.87,2,404207,31979
55,2020-07-10,-34.0,129.26,2,404997,32004
56,2020-07-11,114.0,129.89,2,405724,32019
57,2020-07-12,302.0,123.41,2,406403,32029
58,2020-07-13,40.0,124.59,2,406962,32075
59,2020-07-14,23.0,131.13,2,407875,32092
60,2020-07-15,24.0,132.88,2,408709,32115
61,2020-07-16,59.0,133.01,2,409476,32133
62,2020-07-17,41.0,146.13,2,410254,32147
63,2020-07-18,80.0,147.1,2,411006,32167
64,2020-07-19,200.0,121.12,2,411515,32187
65,2020-07-20,15.0,127.3,2,412034,32203
66,2020-07-21,53.0,131.13,2,412889,32218
67,2020-07-22,-26.0,127.81,2,413595,32228
68,2020-07-23,36.0,132.63,2,414405,32270
69,2020-07-24,59.0,148.79,2,415163,32278
70,2020-07-25,69.0,151.28,2,415911,32295
71,2020-07-26,259.0,125.67,2,416443,32305
72,2020-07-27,30.0,130.18,2,417056,32322
73,2020-07-28,-10.0,132.57,2,417591,32333
74,2020-07-29,19.0,136.7,2,418302,32342
75,2020-07-30,90.0,139.08,2,419081,32362
76,2020-07-31,74.0,148.94,2,419723,32372
77,2020-08-01,261.0,152.29,2,420477,32390
78,2020-08-02,78.0,115.74,2,421008,32401
79,2020-08-03,58.0,132.77,2,421550,32413
80,2020-08-04,-113.0,114.25,2,422296,32422
81,2020-08-05,28.0,144.47,2,422935,32431
82,2020-08-06,100.0,145.86,2,423629,32329
83,2020-08-07,54.0,154.48,2,424349,32336
84,2020-08-08,69.0,153.22,2,425055,32345
85,2020-08-09,264.0,132.22,2,425568,32354
86,2020-08-10,50.0,137.14,2,426046,32361
87,2020-08-11,55.0,139.13,2,426713,32372
88,2020-08-12,-3.0,138.12,2,427419,32384
89,2020-08-13,5.0,140.63,2,428155,32399
90,2020-08-14,45.0,162.01,2,428879,32407
91,2020-08-15,52.0,154.8,2,429617,32414
92,2020-08-16,-55.0,115.58,2,430226,32424
93,2020-08-17,-56.0,133.84,2,430636,32435
94,2020-08-18,-8.0,140.09,2,431298,32446
95,2020-08-19,-43.0,136.76,2,431924,32451
96,2020-08-20,7.0,147.74,2,432523,32451
97,2020-08-21,-14.0,164.21,2,433230,32456
98,2020-08-22,58.0,158.83,2,433881,32464
99,2020-08-23,26.0,128.67,2,434462,32482
100,2020-08-24,-39.0,133.06,2,434866,32489
101,2020-08-25,-37.0,133.72,2,435495,32495
102,2020-08-26,8.0,137.66,2,436063,32499
103,2020-08-27,-51.0,134.15,2,436852,32507
104,2020-08-28,-32.0,154.1,2,437487,32515
105,2020-08-29,-32.0,133.65,2,438122,32522
106,2020-08-30,80.0,130.55,2,438831,32534
107,2020-08-31,-28.0,127.39,2,439480,32541
108,2020-09-01,-41.0,130.9,2,440237,32551
109,2020-09-02,-54.0,128.66,2,440947,32559
110,2020-09-03,-16.0,139.85,2,441835,32567
111,2020-09-04,-15.0,164.52,2,442698,32573
112,2020-09-05,80.0,154.15,2,443497,32579
113,2020-09-06,60.0,133.08,2,444226,32585
114,2020-09-07,34.0,117.5,2,444751,32600
115,2020-09-08,-31.0,127.89,2,445308,32612
116,2020-09-09,-14.0,129.3,2,445881,32611
117,2020-09-10,-85.0,127.61,2,446637,32618
118,2020-09-11,55.0,154.0,2,447498,32619
119,2020-09-12,150.0,155.35,2,448347,32625
120,2020-09-13,71.0,114.65,2,449072,32629
121,2020-09-14,10.0,121.63,2,449658,32639
122,2020-09-15,40.0,125.42,2,450425,32655
123,2020-09-16,10.0,125.81,2,451078,32662
124,2020-09-17,55.0,130.43,2,451971,32669
125,2020-09-18,38.0,151.88,2,452764,32682
126,2020-09-19,125.0,154.75,2,453747,32679
127,2020-09-20,63.0,117.78,2,454612,32686
128,2020-09-21,14.0,116.47,2,455187,32691
129,2020-09-22,23.0,119.75,2,455938,32690
130,2020-09-23,8.0,124.71,2,456604,32691
131,2020-09-24,41.0,127.65,2,457557,32696
132,2020-09-25,39.0,152.88,2,458466,32708
133,2020-09-26,119.0,155.39,2,459472,32713
134,2020-09-27,59.0,119.37,2,460340,32722
135,2020-09-28,20.0,115.69,2,461176,32737
136,2020-09-29,-40.0,112.75,2,462364,32743
137,2020-09-30,-15.0,117.15,2,463369,32757
138,2020-10-01,47.0,125.82,2,464752,32768
139,2020-10-02,36.0,141.35,2,466353,32789
140,2020-10-03,141.0,148.59,2,468081,32794
141,2020-10-04,74.0,113.45,2,469307,32813
142,2020-10-05,8.0,111.34,2,470244,32827
143,2020-10-06,36.0,115.64,2,471638,32836
144,2020-10-07,-17.0,115.65,2,472994,32850
145,2020-10-08,43.0,123.24,2,474829,32859
146,2020-10-09,50.0,148.91,2,476422,32867
147,2020-10-10,153.0,153.9,2,477870,32875
148,2020-10-11,55.0,116.42,2,479013,32879
149,2020-10-12,-72.0,104.88,2,480045,32896
150,2020-10-13,-42.0,107.25,2,481436,32905
151,2020-10-14,16.0,117.65,2,482671,32916
152,2020-10-15,46.0,123.34,2,484135,32935
153,2020-10-16,-41.0,131.61,2,485838,32944
154,2020-10-17,130.0,145.88,2,487626,32959
155,2020-10-18,76.0,113.02,2,489016,32972
156,2020-10-19,-6.0,108.5,2,490015,32990
157,2020-10-20,3.0,110.12,2,491216,32998
158,2020-10-21,-17.0,113.16,2,493245,33005
159,2020-10-22,20.0,118.18,2,494874,33022
160,2020-10-23,25.0,141.75,2,496510,33038
161,2020-10-24,128.0,140.26,2,498568,33049
162,2020-10-25,41.0,106.03,2,500201,33059
163,2020-10-26,-45.0,105.33,2,501393,33073
164,2020-10-27,5.0,110.13,2,503387,33092
165,2020-10-28,-47.0,111.39,2,505416,33107
166,2020-10-29,-62.0,109.88,2,507913,33128
167,2020-10-30,-41.0,129.63,2,510171,33143
168,2020-10-31,97.0,128.88,2,512223,33152
169,2020-11-01,-45.0,90.96,2,514482,33174
170,2020-11-02,-58.0,99.12,2,516114,33187
171,2020-11-03,-7.0,100.18,2,518431,33198
172,2020-11-04,-37.0,97.52,2,520557,33222
173,2020-11-05,7.0,105.2,2,523559,33247
174,2020-11-06,0.0,123.82,2,526767,33267
175,2020-11-07,132.0,125.59,2,530354,33287
176,2020-11-08,89.0,97.92,2,533784,33314
177,2020-11-09,-11.0,98.82,2,536933,33343
178,2020-11-10,-7.0,104.72,2,540897,33373
179,2020-11-11,-82.0,99.53,2,545718,33398
180,2020-11-12,-58.0,96.18,2,550516,33424
181,2020-11-13,-59.0,115.05,2,555917,33452
182,2020-11-14,54.0,115.53,2,561308,33477
183,2020-11-15,-35.0,82.87,2,564952,33508
184,2020-11-16,-39.0,94.25,2,568450,33540
185,2020-11-17,-53.0,95.25,2,573544,33576
