,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,166.0,129.53,2,27476,1610
1,2020-05-17,56.0,98.62,2,27925,1625
2,2020-05-18,-9.0,111.09,2,28455,1657
3,2020-05-19,-12.0,119.46,2,28953,1720
4,2020-05-20,59.0,124.16,2,29437,1781
5,2020-05-21,88.0,128.63,2,30168,1836
6,2020-05-22,54.0,145.55,2,30795,1872
7,2020-05-23,157.0,138.66,2,31408,1956
8,2020-05-24,161.0,113.02,2,31911,1969
9,2020-05-25,35.0,106.3,2,32477,1987
10,2020-05-26,92.0,135.17,2,33006,2002
11,2020-05-27,187.0,137.37,2,33439,2044
12,2020-05-28,70.0,139.53,2,33915,2098
13,2020-05-29,124.0,150.01,2,34566,2131
14,2020-05-30,184.0,150.68,2,35034,2149
15,2020-05-31,143.0,116.55,2,35513,2155
16,2020-06-01,121.0,134.22,2,35984,2206
17,2020-06-02,109.0,138.45,2,36350,2258
18,2020-06-03,100.0,137.24,2,36792,2299
19,2020-06-04,148.0,140.89,2,37282,2339
20,2020-06-05,88.0,165.31,2,37758,2355
21,2020-06-06,198.0,161.42,2,38111,2370
22,2020-06-07,238.0,127.77,2,38476,2377
23,2020-06-08,141.0,142.07,2,38837,2404
24,2020-06-09,137.0,146.05,2,39162,2421
25,2020-06-10,132.0,142.99,2,39575,2457
26,2020-06-11,134.0,156.18,2,40004,2490
27,2020-06-12,162.0,176.1,2,40424,2508
28,2020-06-13,210.0,166.74,2,40848,2554
29,2020-06-14,240.0,132.42,2,41148,2557
30,2020-06-15,122.0,145.77,2,41576,2573
31,2020-06-16,122.0,153.47,2,42010,2597
32,2020-06-17,168.0,154.66,2,42422,2611
33,2020-06-18,154.0,159.86,2,43122,2633
34,2020-06-19,137.0,184.22,2,43731,2667
35,2020-06-20,252.0,177.82,2,44262,2697
36,2020-06-21,164.0,124.66,2,44808,2700
37,2020-06-22,107.0,145.24,2,45537,2704
38,2020-06-23,81.0,150.72,2,46127,2735
39,2020-06-24,169.0,159.87,2,46759,2755
40,2020-06-25,126.0,167.8,2,47651,2772
41,2020-06-26,138.0,187.38,2,48638,2788
42,2020-06-27,134.0,174.21,2,49455,2804
43,2020-06-28,245.0,141.78,2,50309,2807
44,2020-06-29,142.0,155.47,2,51046,2818
