,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,2.0,125.27,2,5237,288
1,2020-05-17,22.0,105.18,2,5310,288
2,2020-05-18,27.0,124.33,2,5398,288
3,2020-05-19,61.0,126.65,2,5489,294
4,2020-05-20,86.0,129.81,2,5532,299
5,2020-05-21,16.0,132.16,2,5680,304
6,2020-05-22,33.0,158.03,2,5849,307
7,2020-05-23,27.0,148.85,2,5960,311
8,2020-05-24,-9.0,113.13,2,6037,311
9,2020-05-25,-132.0,101.75,2,6090,313
10,2020-05-26,12.0,126.71,2,6137,318
11,2020-05-27,10.0,127.97,2,6229,322
12,2020-05-28,21.0,134.58,2,6270,326
13,2020-05-29,60.0,162.38,2,6338,329
14,2020-05-30,40.0,155.84,2,6418,334
15,2020-05-31,27.0,122.62,2,6506,334
16,2020-06-01,27.0,129.94,2,6573,334
17,2020-06-02,54.0,132.27,2,6692,339
18,2020-06-03,72.0,136.02,2,6805,341
19,2020-06-04,38.0,145.27,2,6907,344
20,2020-06-05,58.0,173.5,2,7004,345
21,2020-06-06,46.0,167.4,2,7060,347
22,2020-06-07,2.0,125.69,2,7151,348
23,2020-06-08,16.0,137.91,2,7206,348
24,2020-06-09,40.0,139.32,2,7364,353
25,2020-06-10,96.0,142.34,2,7480,355
26,2020-06-11,84.0,151.46,2,7626,357
27,2020-06-12,72.0,177.44,2,7848,359
28,2020-06-13,81.0,170.91,2,8073,359
29,2020-06-14,14.0,127.65,2,8231,359
30,2020-06-15,17.0,141.52,2,8417,359
31,2020-06-16,51.0,142.75,2,8645,363
32,2020-06-17,86.0,144.99,2,8903,364
33,2020-06-18,64.0,155.03,2,9354,366
34,2020-06-19,60.0,169.52,2,9706,367
35,2020-06-20,67.0,163.0,2,10037,368
36,2020-06-21,8.0,114.78,2,10515,369
37,2020-06-22,13.0,140.03,2,10733,369
38,2020-06-23,73.0,144.04,2,11028,371
39,2020-06-24,76.0,149.08,2,11509,372
40,2020-06-25,57.0,158.18,2,11947,375
41,2020-06-26,44.0,181.28,2,12343,377
42,2020-06-27,48.0,170.48,2,12642,384
43,2020-06-28,6.0,128.22,2,12944,385
44,2020-06-29,16.0,145.34,2,13172,385
45,2020-06-30,56.0,149.89,2,13757,387
46,2020-07-01,61.0,151.48,2,14112,389
47,2020-07-02,31.0,164.57,2,14539,395
48,2020-07-03,51.0,165.26,2,15065,398
49,2020-07-04,-40.0,128.61,2,15645,398
50,2020-07-05,-51.0,122.19,2,15928,398
51,2020-07-06,7.0,145.63,2,16362,399
52,2020-07-07,36.0,146.34,2,17220,404
53,2020-07-08,58.0,148.58,2,17893,407
54,2020-07-09,26.0,155.23,2,18496,410
55,2020-07-10,14.0,173.0,2,19092,416
56,2020-07-11,-12.0,164.01,2,19779,421
57,2020-07-12,-5.0,127.79,2,20235,422
58,2020-07-13,-16.0,142.57,2,20745,424
59,2020-07-14,22.0,146.41,2,21738,428
60,2020-07-15,48.0,148.28,2,22813,432
61,2020-07-16,24.0,155.44,2,23441,438
62,2020-07-17,25.0,178.2,2,24140,445
63,2020-07-18,8.0,167.0,2,25056,451
64,2020-07-19,-12.0,129.77,2,25265,451
65,2020-07-20,-9.0,145.77,2,25433,452
66,2020-07-21,25.0,146.37,2,26326,461
67,2020-07-22,34.0,149.31,2,27301,474
68,2020-07-23,28.0,155.87,2,27969,477
69,2020-07-24,5.0,178.08,2,29116,484
70,2020-07-25,20.0,166.78,2,30081,496
71,2020-07-26,-11.0,129.05,2,31285,496
72,2020-07-27,-32.0,139.77,2,32529,495
73,2020-07-28,-39.0,137.97,2,33757,509
74,2020-07-29,5.0,143.02,2,34605,523
75,2020-07-30,9.0,155.19,2,35710,536
76,2020-07-31,45.0,175.84,2,36456,541
77,2020-08-01,48.0,170.32,2,37706,549
78,2020-08-02,0.0,127.45,2,38201,550
79,2020-08-03,28.0,149.27,2,38586,551
80,2020-08-04,65.0,150.65,2,39452,566
81,2020-08-05,70.0,149.0,2,40555,583
82,2020-08-06,15.0,156.13,2,41395,593
83,2020-08-07,19.0,181.1,2,42234,600
84,2020-08-08,35.0,171.82,2,43070,603
85,2020-08-09,-12.0,133.48,2,43561,603
86,2020-08-10,-8.0,150.55,2,43962,605
87,2020-08-11,13.0,151.66,2,44725,618
88,2020-08-12,59.0,155.29,2,45392,627
89,2020-08-13,22.0,159.37,2,46101,638
90,2020-08-14,26.0,186.8,2,46893,644
91,2020-08-15,11.0,179.88,2,47798,657
92,2020-08-16,-6.0,133.24,2,48342,661
93,2020-08-17,-21.0,148.01,2,48711,665
94,2020-08-18,22.0,148.18,2,49326,682
95,2020-08-19,35.0,147.33,2,49923,699
96,2020-08-20,26.0,155.75,2,50669,709
97,2020-08-21,21.0,182.22,2,51746,715
98,2020-08-22,9.0,173.75,2,52599,725
99,2020-08-23,-26.0,125.61,2,53165,726
100,2020-08-24,-16.0,140.07,2,53522,730
101,2020-08-25,17.0,142.48,2,54172,744
102,2020-08-26,18.0,141.2,2,54838,763
103,2020-08-27,15.0,147.35,2,55550,778
104,2020-08-28,8.0,176.98,2,56260,786
105,2020-08-29,5.0,163.44,2,57353,797
106,2020-08-30,-26.0,117.55,2,58020,799
107,2020-08-31,-54.0,132.04,2,58733,800
108,2020-09-01,-1.0,133.14,2,59399,809
109,2020-09-02,23.0,138.72,2,60118,821
110,2020-09-03,42.0,155.72,2,61027,835
111,2020-09-04,-2.0,190.71,2,62040,846
112,2020-09-05,-5.0,170.45,2,63187,850
113,2020-09-06,-18.0,132.14,2,63607,853
114,2020-09-07,-30.0,131.36,2,64220,853
115,2020-09-08,15.0,140.18,2,65053,854
116,2020-09-09,-47.0,130.66,2,65929,863
117,2020-09-10,4.0,140.1,2,66700,876
118,2020-09-11,-13.0,169.51,2,67642,888
119,2020-09-12,61.0,170.08,2,68659,899
120,2020-09-13,16.0,119.98,2,69354,905
121,2020-09-14,13.0,136.67,2,70223,905
122,2020-09-15,45.0,141.18,2,71314,912
123,2020-09-16,39.0,141.05,2,72284,924
124,2020-09-17,29.0,149.67,2,73318,930
125,2020-09-18,22.0,179.07,2,74567,939
126,2020-09-19,56.0,173.82,2,75804,943
