,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-29.0,94.57,1,3612,137
1,2020-05-17,12.0,82.01,1,3623,137
2,2020-05-18,-84.0,90.59,1,3687,138
3,2020-05-19,-31.0,96.2,1,3726,140
4,2020-05-20,-37.0,97.79,1,3801,144
5,2020-05-21,-4.0,102.5,1,3817,145
6,2020-05-22,-11.0,122.02,1,3864,147
7,2020-05-23,4.0,115.66,1,3888,147
8,2020-05-24,23.0,102.05,1,3927,148
9,2020-05-25,-75.0,96.36,1,3949,148
10,2020-05-26,-26.0,105.93,1,3968,148
11,2020-05-27,17.0,112.63,1,4041,148
12,2020-05-28,53.0,119.73,1,4087,151
13,2020-05-29,-1.0,130.89,1,4133,151
14,2020-05-30,-54.0,103.44,1,4185,153
15,2020-05-31,28.0,98.3,1,4243,153
16,2020-06-01,6.0,112.28,1,4303,154
17,2020-06-02,2.0,111.86,1,4338,157
18,2020-06-03,22.0,115.54,1,4399,159
19,2020-06-04,60.0,119.14,1,4475,159
20,2020-06-05,36.0,133.16,1,4585,161
21,2020-06-06,2.0,117.91,1,4672,163
22,2020-06-07,16.0,101.03,1,4809,164
23,2020-06-08,-48.0,113.65,1,4927,164
24,2020-06-09,-61.0,113.48,1,5027,169
25,2020-06-10,21.0,123.05,1,5099,169
26,2020-06-11,50.0,127.88,1,5252,171
27,2020-06-12,0.0,140.05,1,5388,174
28,2020-06-13,-1.0,129.31,1,5543,175
29,2020-06-14,73.0,117.79,1,5644,176
30,2020-06-15,-47.0,122.35,1,5831,180
31,2020-06-16,-20.0,125.04,1,6111,182
32,2020-06-17,34.0,134.91,1,6235,183
33,2020-06-18,38.0,144.45,1,6390,187
34,2020-06-19,72.0,164.88,1,6592,188
35,2020-06-20,-17.0,141.96,1,6682,188
36,2020-06-21,31.0,122.19,1,6945,190
37,2020-06-22,-4.0,142.09,1,7115,192
38,2020-06-23,-13.0,145.51,1,7317,192
39,2020-06-24,17.0,143.97,1,7462,195
40,2020-06-25,-6.0,152.22,1,7605,199
41,2020-06-26,19.0,173.45,1,8008,204
42,2020-06-27,29.0,154.84,1,8110,204
43,2020-06-28,-8.0,131.32,1,8348,204
44,2020-06-29,-3.0,142.21,1,8509,207
45,2020-06-30,-13.0,141.45,1,8695,210
46,2020-07-01,-5.0,148.89,1,9019,211
47,2020-07-02,18.0,162.91,1,9344,212
48,2020-07-03,78.0,163.31,1,9643,215
49,2020-07-04,-31.0,120.14,1,9937,216
50,2020-07-05,-33.0,136.24,1,10237,218
51,2020-07-06,-31.0,143.63,1,10413,218
52,2020-07-07,-31.0,142.4,1,10654,224
53,2020-07-08,23.0,148.65,1,10872,228
54,2020-07-09,-1.0,152.72,1,11247,233
55,2020-07-10,44.0,177.17,1,11501,235
56,2020-07-11,41.0,164.85,1,11851,235
57,2020-07-12,1.0,141.68,1,12170,237
58,2020-07-13,-5.0,148.21,1,12511,240
59,2020-07-14,2.0,149.48,1,12834,247
60,2020-07-15,17.0,156.48,1,13129,249
61,2020-07-16,-13.0,161.29,1,13541,252
62,2020-07-17,30.0,176.35,1,13842,256
63,2020-07-18,45.0,169.11,1,14231,259
64,2020-07-19,1.0,150.64,1,14586,262
65,2020-07-20,-19.0,155.72,1,14907,264
66,2020-07-21,-16.0,151.75,1,15257,272
67,2020-07-22,11.0,153.48,1,15436,274
68,2020-07-23,-10.0,158.56,1,15765,277
69,2020-07-24,22.0,177.0,1,16172,285
70,2020-07-25,49.0,168.89,1,16492,286
71,2020-07-26,57.0,162.62,1,16764,291
72,2020-07-27,-48.0,153.44,1,17122,289
73,2020-07-28,-23.0,151.49,1,17419,305
74,2020-07-29,-7.0,156.03,1,17805,313
75,2020-07-30,-35.0,162.63,1,18166,318
76,2020-07-31,23.0,183.16,1,18510,325
77,2020-08-01,36.0,169.12,1,18817,329
78,2020-08-02,8.0,150.14,1,19097,331
79,2020-08-03,-12.0,155.24,1,19395,334
80,2020-08-04,-6.0,155.4,1,19700,336
81,2020-08-05,32.0,159.11,1,19979,342
82,2020-08-06,14.0,159.05,1,20250,343
83,2020-08-07,-3.0,185.59,1,20658,351
84,2020-08-08,25.0,169.36,1,21011,358
85,2020-08-09,55.0,153.22,1,21272,359
86,2020-08-10,-26.0,158.38,1,21488,362
87,2020-08-11,-6.0,154.62,1,21782,372
88,2020-08-12,3.0,157.73,1,22029,378
89,2020-08-13,15.0,165.88,1,22315,387
90,2020-08-14,25.0,189.0,1,22614,388
91,2020-08-15,-14.0,179.67,1,23018,389
92,2020-08-16,41.0,154.67,1,23262,389
93,2020-08-17,-27.0,154.89,1,23461,391
94,2020-08-18,-28.0,154.66,1,23685,399
95,2020-08-19,-20.0,159.05,1,23887,408
96,2020-08-20,-29.0,168.11,1,24176,412
97,2020-08-21,-56.0,182.82,1,24435,421
98,2020-08-22,7.0,171.56,1,24711,422
99,2020-08-23,-42.0,153.72,1,24938,422
100,2020-08-24,-24.0,151.6,1,25174,432
101,2020-08-25,-17.0,152.2,1,25408,436
102,2020-08-26,-12.0,155.12,1,25575,438
103,2020-08-27,-19.0,163.83,1,25775,444
104,2020-08-28,-27.0,183.29,1,26069,457
105,2020-08-29,6.0,168.9,1,26293,460
106,2020-08-30,-42.0,144.29,1,26554,463
107,2020-08-31,-25.0,146.82,1,26723,467
108,2020-09-01,-9.0,150.88,1,26958,467
109,2020-09-02,-12.0,153.98,1,27085,473
110,2020-09-03,-18.0,165.53,1,27356,475
111,2020-09-04,-28.0,189.87,1,27605,481
112,2020-09-05,-4.0,170.64,1,27857,482
113,2020-09-06,-67.0,155.38,1,28045,483
114,2020-09-07,-37.0,155.27,1,28191,487
115,2020-09-08,-53.0,184.2,1,28355,492
116,2020-09-09,-50.0,170.26,1,28474,499
117,2020-09-10,-97.0,164.54,1,28661,501
118,2020-09-11,-69.0,150.43,1,28888,500
119,2020-09-12,-26.0,125.02,1,29156,505
120,2020-09-13,-80.0,101.96,1,29337,509
121,2020-09-14,-63.0,118.47,1,29488,511
122,2020-09-15,-57.0,121.09,1,29664,519
123,2020-09-16,-38.0,126.13,1,29856,521
124,2020-09-17,-49.0,130.11,1,30068,521
125,2020-09-18,-58.0,149.99,1,30351,524
126,2020-09-19,-19.0,148.08,1,30600,527
127,2020-09-20,-9.0,125.64,1,30802,528
128,2020-09-21,-53.0,133.8,1,30999,532
129,2020-09-22,-52.0,133.96,1,31323,535
130,2020-09-23,-72.0,136.1,1,31513,538
131,2020-09-24,-27.0,138.11,1,31869,540
132,2020-09-25,-89.0,155.76,1,32328,545
133,2020-09-26,-35.0,149.5,1,32581,549
134,2020-09-27,-23.0,127.13,1,32820,549
135,2020-09-28,-54.0,130.61,1,32995,549
136,2020-09-29,-59.0,129.18,1,33297,555
137,2020-09-30,-22.0,133.32,1,33554,560
138,2020-10-01,-2.0,139.79,1,33865,561
139,2020-10-02,-2.0,158.29,1,34180,566
140,2020-10-03,-13.0,150.84,1,34512,572
141,2020-10-04,51.0,123.57,1,34771,573
142,2020-10-05,-64.0,125.49,1,35056,574
143,2020-10-06,-46.0,127.41,1,35347,581
144,2020-10-07,-41.0,127.78,1,35646,585
145,2020-10-08,-43.0,134.47,1,36121,596
146,2020-10-09,-10.0,160.61,1,36538,600
147,2020-10-10,-77.0,140.08,1,36925,600
148,2020-10-11,-68.0,113.88,1,37263,600
149,2020-10-12,-45.0,120.72,1,37472,600
150,2020-10-13,-55.0,117.49,1,37788,605
151,2020-10-14,-16.0,125.92,1,38175,609
152,2020-10-15,-27.0,134.21,1,38536,613
153,2020-10-16,-11.0,156.54,1,38947,620
154,2020-10-17,-19.0,152.76,1,39316,622
155,2020-10-18,26.0,118.18,1,39532,622
156,2020-10-19,-38.0,119.72,1,39799,630
157,2020-10-20,-64.0,122.05,1,40149,636
158,2020-10-21,-31.0,125.72,1,40458,638
159,2020-10-22,-33.0,130.28,1,40825,647
160,2020-10-23,-64.0,147.76,1,41357,651
161,2020-10-24,-51.0,140.81,1,41739,654
162,2020-10-25,6.0,114.98,1,42101,654
163,2020-10-26,-39.0,116.29,1,42454,657
164,2020-10-27,-34.0,118.83,1,42821,665
165,2020-10-28,-53.0,122.19,1,43228,673
166,2020-10-29,-29.0,128.05,1,43793,674
167,2020-10-30,-47.0,145.24,1,44388,677
168,2020-10-31,-12.0,133.08,1,44923,690
169,2020-11-01,10.0,105.82,1,45419,691
170,2020-11-02,-35.0,112.26,1,45978,694
171,2020-11-03,-77.0,107.13,1,46460,701
172,2020-11-04,-49.0,104.88,1,47049,707
173,2020-11-05,-111.0,110.09,1,47839,710
174,2020-11-06,-91.0,126.13,1,48608,716
175,2020-11-07,-51.0,115.64,1,49587,729
176,2020-11-08,-25.0,99.29,1,50448,730
177,2020-11-09,-82.0,102.39,1,51155,738
178,2020-11-10,-83.0,105.29,1,51909,741
179,2020-11-11,-53.0,114.39,1,52770,746
180,2020-11-12,-96.0,100.29,1,53879,748
181,2020-11-13,-97.0,121.38,1,54937,759
182,2020-11-14,-82.0,107.93,1,56018,760
183,2020-11-15,-67.0,87.13,1,56880,762
184,2020-11-16,-93.0,98.49,1,57646,772
185,2020-11-17,-89.0,100.36,1,58570,779
