,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,88.0,108.7,2,65228,4490
1,2020-05-17,-69.0,83.87,2,65745,4504
2,2020-05-18,-23.0,95.79,2,66676,4560
3,2020-05-19,23.0,100.85,2,67404,4675
4,2020-05-20,2.0,103.18,2,68151,4794
5,2020-05-21,66.0,109.71,2,69252,4887
6,2020-05-22,-79.0,116.96,2,70305,5032
7,2020-05-23,86.0,107.82,2,71102,5121
8,2020-05-24,46.0,93.39,2,71656,5145
9,2020-05-25,122.0,89.06,2,72356,5159
10,2020-05-26,102.0,109.12,2,72873,5175
11,2020-05-27,78.0,112.08,2,73646,5290
12,2020-05-28,11.0,108.81,2,74312,5397
13,2020-05-29,-2.0,122.36,2,75073,5467
14,2020-05-30,145.0,123.55,2,75789,5537
15,2020-05-31,136.0,97.5,2,76218,5555
16,2020-06-01,91.0,108.06,2,76734,5574
17,2020-06-02,84.0,110.39,2,77315,5670
18,2020-06-03,49.0,110.99,2,77871,5742
19,2020-06-04,39.0,120.49,2,78428,5862
20,2020-06-05,23.0,134.15,2,78908,5952
21,2020-06-06,160.0,134.37,2,79507,5986
22,2020-06-07,201.0,109.95,2,80001,5997
23,2020-06-08,133.0,122.01,2,80432,6007
24,2020-06-09,133.0,126.31,2,80964,6070
25,2020-06-10,79.0,126.21,2,81410,6143
26,2020-06-11,90.0,127.66,2,81944,6187
27,2020-06-12,128.0,151.6,2,82578,6229
28,2020-06-13,222.0,144.34,2,82988,6264
29,2020-06-14,122.0,114.77,2,83301,6275
30,2020-06-15,116.0,127.2,2,83687,6307
31,2020-06-16,178.0,131.35,2,84077,6337
32,2020-06-17,146.0,132.92,2,84387,6376
33,2020-06-18,122.0,134.34,2,84780,6417
34,2020-06-19,20.0,153.33,2,85288,6446
35,2020-06-20,128.0,144.35,2,85678,6467
36,2020-06-21,136.0,109.88,2,86024,6472
37,2020-06-22,33.0,130.74,2,86666,6475
38,2020-06-23,109.0,135.54,2,87283,6511
39,2020-06-24,153.0,140.5,2,87775,6568
40,2020-06-25,142.0,144.93,2,88230,6602
41,2020-06-26,123.0,166.09,2,88950,6625
42,2020-06-27,146.0,154.48,2,89400,6652
43,2020-06-28,133.0,128.75,2,89785,6655
44,2020-06-29,118.0,139.69,2,90553,6663
45,2020-06-30,172.0,143.08,2,91226,6695
46,2020-07-01,148.0,146.78,2,91864,6704
47,2020-07-02,185.0,157.54,2,92703,6758
48,2020-07-03,180.0,155.72,2,93418,6790
49,2020-07-04,86.0,124.81,2,93922,6793
50,2020-07-05,66.0,122.67,2,94403,6797
51,2020-07-06,63.0,134.11,2,95187,6798
52,2020-07-07,122.0,141.11,2,95986,6835
53,2020-07-08,84.0,142.69,2,96817,6864
54,2020-07-09,125.0,151.03,2,97634,6895
55,2020-07-10,42.0,157.19,2,98574,6929
56,2020-07-11,161.0,159.83,2,99252,6945
57,2020-07-12,112.0,129.97,2,99794,6950
58,2020-07-13,104.0,141.23,2,100378,6955
59,2020-07-14,176.0,145.4,2,101360,6973
60,2020-07-15,132.0,147.19,2,102361,7011
61,2020-07-16,111.0,148.2,2,103169,7039
62,2020-07-17,69.0,167.78,2,104172,7057
63,2020-07-18,140.0,164.84,2,104780,7068
64,2020-07-19,89.0,131.05,2,105384,7074
65,2020-07-20,40.0,140.4,2,106498,7076
66,2020-07-21,68.0,143.33,2,107460,7094
67,2020-07-22,15.0,142.9,2,108267,7125
68,2020-07-23,98.0,147.78,2,109153,7142
69,2020-07-24,75.0,169.07,2,110342,7162
70,2020-07-25,174.0,168.87,2,111121,7167
71,2020-07-26,146.0,135.45,2,111773,7170
72,2020-07-27,57.0,142.76,2,112995,7174
73,2020-07-28,121.0,145.42,2,114129,7197
74,2020-07-29,112.0,151.52,2,114984,7219
75,2020-07-30,125.0,153.86,2,115853,7248
76,2020-07-31,59.0,165.53,2,116787,7261
77,2020-08-01,192.0,166.41,2,117468,7270
78,2020-08-02,125.0,129.38,2,118038,7274
79,2020-08-03,54.0,144.11,2,118937,7276
80,2020-08-04,16.0,140.87,2,119765,7296
81,2020-08-05,165.0,160.7,2,120492,7310
82,2020-08-06,103.0,154.99,2,121294,7340
83,2020-08-07,14.0,171.46,2,122078,7360
84,2020-08-08,207.0,173.52,2,122666,7372
85,2020-08-09,142.0,140.12,2,123312,7374
86,2020-08-10,81.0,148.34,2,124269,7378
87,2020-08-11,111.0,149.6,2,125061,7404
88,2020-08-12,90.0,150.88,2,125965,7447
89,2020-08-13,105.0,154.66,2,126950,7474
90,2020-08-14,84.0,177.11,2,127774,7513
91,2020-08-15,109.0,171.63,2,128531,7525
92,2020-08-16,64.0,134.8,2,129075,7532
93,2020-08-17,-81.0,146.67,2,129686,7535
94,2020-08-18,-60.0,151.71,2,130286,7561
95,2020-08-19,-61.0,153.65,2,130950,7593
96,2020-08-20,-31.0,161.01,2,131736,7606
97,2020-08-21,-60.0,181.07,2,132461,7629
98,2020-08-22,3.0,175.99,2,133160,7643
99,2020-08-23,-41.0,135.47,2,133679,7643
100,2020-08-24,-72.0,141.89,2,134246,7642
101,2020-08-25,-65.0,142.87,2,134803,7666
102,2020-08-26,-35.0,145.76,2,135323,7691
103,2020-08-27,-48.0,148.78,2,135958,7702
104,2020-08-28,-95.0,165.47,2,136824,7722
105,2020-08-29,-53.0,155.62,2,137576,7740
106,2020-08-30,28.0,134.72,2,138137,7742
107,2020-08-31,-96.0,132.85,2,138840,7743
108,2020-09-01,-62.0,137.77,2,139591,7764
109,2020-09-02,-72.0,139.06,2,140577,7792
110,2020-09-03,-64.0,147.04,2,141578,7805
111,2020-09-04,-56.0,177.54,2,142537,7821
112,2020-09-05,1.0,167.88,2,143301,7837
113,2020-09-06,6.0,136.71,2,143902,7837
114,2020-09-07,-107.0,122.85,2,144658,7855
115,2020-09-08,-77.0,134.81,2,145191,7862
116,2020-09-09,-75.0,137.73,2,146058,7882
117,2020-09-10,-90.0,139.21,2,146735,7894
118,2020-09-11,64.0,168.8,2,147744,7914
119,2020-09-12,198.0,172.93,2,148635,7915
120,2020-09-13,118.0,124.88,2,148635,7915
121,2020-09-14,83.0,131.21,2,150044,7940
122,2020-09-15,133.0,136.65,2,151081,7945
123,2020-09-16,100.0,137.55,2,151889,7963
124,2020-09-17,97.0,144.79,2,152813,7978
125,2020-09-18,64.0,171.26,2,153560,8006
126,2020-09-19,191.0,175.53,2,154261,8028
127,2020-09-20,108.0,128.43,2,154924,8049
128,2020-09-21,48.0,127.76,2,155729,8080
129,2020-09-22,91.0,130.71,2,156512,8099
130,2020-09-23,78.0,135.14,2,157373,8137
131,2020-09-24,67.0,137.66,2,158221,8150
132,2020-09-25,38.0,166.97,2,159051,8157
133,2020-09-26,124.0,167.25,2,159937,8177
134,2020-09-27,37.0,125.85,2,160770,8180
135,2020-09-28,44.0,127.46,2,161642,8181
136,2020-09-29,27.0,123.03,2,163219,8196
137,2020-09-30,61.0,129.43,2,164135,8216
138,2020-10-01,73.0,135.57,2,165078,8234
139,2020-10-02,53.0,159.27,2,166270,8254
140,2020-10-03,159.0,168.4,2,166270,8271
141,2020-10-04,105.0,123.64,2,168161,8287
142,2020-10-05,24.0,121.21,2,169126,8300
143,2020-10-06,111.0,125.82,2,170255,8318
144,2020-10-07,72.0,129.44,2,171550,8347
145,2020-10-08,84.0,135.22,2,172971,8372
146,2020-10-09,72.0,166.31,2,174352,8387
147,2020-10-10,173.0,174.72,2,175804,8421
148,2020-10-11,47.0,120.78,2,176820,8426
149,2020-10-12,-68.0,119.13,2,177844,8444
150,2020-10-13,40.0,121.77,2,179673,8458
151,2020-10-14,79.0,130.24,2,180956,8481
152,2020-10-15,93.0,136.29,2,182502,8496
153,2020-10-16,-7.0,154.56,2,184185,8524
154,2020-10-17,165.0,171.01,2,185670,8535
155,2020-10-18,91.0,124.33,2,186772,8555
156,2020-10-19,30.0,119.72,2,188442,8562
157,2020-10-20,100.0,122.76,2,189988,8591
158,2020-10-21,93.0,128.47,2,191347,8629
159,2020-10-22,88.0,133.4,2,193401,8660
160,2020-10-23,62.0,162.78,2,195659,8695
161,2020-10-24,157.0,162.89,2,197370,8721
162,2020-10-25,-7.0,114.82,2,198756,8730
163,2020-10-26,-32.0,117.28,2,201248,8737
164,2020-10-27,75.0,121.23,2,203520,8760
165,2020-10-28,25.0,121.35,2,205852,8789
166,2020-10-29,-63.0,120.1,2,208087,8828
167,2020-10-30,-7.0,148.13,2,210586,8860
168,2020-10-31,88.0,144.94,2,212816,8883
169,2020-11-01,-23.0,100.74,2,214500,8888
170,2020-11-02,-37.0,112.3,2,217243,8893
171,2020-11-03,104.0,118.47,2,220111,8926
172,2020-11-04,27.0,108.11,2,222883,8967
173,2020-11-05,40.0,116.01,2,225698,9009
174,2020-11-06,22.0,138.99,2,229346,9052
175,2020-11-07,139.0,140.13,2,232582,9089
176,2020-11-08,95.0,104.69,2,235162,9093
177,2020-11-09,17.0,107.22,2,239724,9098
178,2020-11-10,49.0,111.48,2,244046,9156
179,2020-11-11,-60.0,108.9,2,248144,9217
180,2020-11-12,-38.0,103.82,2,254167,9272
181,2020-11-13,-11.0,132.74,2,260001,9306
182,2020-11-14,61.0,132.23,2,264396,9353
183,2020-11-15,-37.0,90.67,2,269043,9385
184,2020-11-16,-26.0,102.35,2,275257,9399
185,2020-11-17,-27.0,102.69,2,280978,9433
