,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,100.0,121.53,2,12434,489
1,2020-05-17,11.0,93.14,2,12674,499
2,2020-05-18,29.0,96.23,2,12795,506
3,2020-05-19,26.0,106.89,2,12951,532
4,2020-05-20,9.0,113.08,2,13356,538
5,2020-05-21,78.0,114.63,2,13571,556
6,2020-05-22,119.0,142.31,2,13736,579
7,2020-05-23,-22.0,109.67,2,13952,597
8,2020-05-24,115.0,111.99,2,14065,608
9,2020-05-25,42.0,96.97,2,14065,608
10,2020-05-26,84.0,120.18,2,14210,634
11,2020-05-27,23.0,126.89,2,14353,655
12,2020-05-28,36.0,118.49,2,14494,677
13,2020-05-29,30.0,134.11,2,14635,693
14,2020-05-30,165.0,139.0,2,14819,711
15,2020-05-31,92.0,118.98,2,14928,718
16,2020-06-01,91.0,123.8,2,14991,720
17,2020-06-02,92.0,120.22,2,15112,732
18,2020-06-03,59.0,122.71,2,15219,742
19,2020-06-04,149.0,143.75,2,15325,756
20,2020-06-05,63.0,146.47,2,15441,772
21,2020-06-06,101.0,144.03,2,15441,772
22,2020-06-07,91.0,121.6,2,15441,772
23,2020-06-08,165.0,136.83,2,15642,799
24,2020-06-09,71.0,143.48,2,15691,808
25,2020-06-10,56.0,141.35,2,15756,812
26,2020-06-11,43.0,130.58,2,15862,823
27,2020-06-12,191.0,170.89,2,15947,833
28,2020-06-13,391.0,169.22,2,15947,833
29,2020-06-14,359.0,136.6,2,15947,833
30,2020-06-15,87.0,136.22,2,16093,851
31,2020-06-16,112.0,148.24,2,16164,865
32,2020-06-17,102.0,150.72,2,16213,876
33,2020-06-18,121.0,156.62,2,16269,885
34,2020-06-19,102.0,184.42,2,16337,894
35,2020-06-20,250.0,187.25,2,16337,894
36,2020-06-21,145.0,135.25,2,16337,894
37,2020-06-22,85.0,147.38,2,16459,903
38,2020-06-23,102.0,163.74,2,16533,906
39,2020-06-24,58.0,157.19,2,16606,912
40,2020-06-25,136.0,169.61,2,16640,920
41,2020-06-26,102.0,191.64,2,16661,927
42,2020-06-27,113.0,169.18,2,16661,927
43,2020-06-28,122.0,143.74,2,16661,927
44,2020-06-29,42.0,146.35,2,16764,946
45,2020-06-30,40.0,154.4,2,16813,950
46,2020-07-01,35.0,160.78,2,16853,956
47,2020-07-02,194.0,189.23,2,16941,959
48,2020-07-03,129.0,180.78,2,16991,960
49,2020-07-04,438.0,157.46,2,16991,960
50,2020-07-05,167.0,150.14,2,16991,960
51,2020-07-06,170.0,159.28,2,16991,960
52,2020-07-07,136.0,161.42,2,17154,969
53,2020-07-08,99.0,161.77,2,17204,971
54,2020-07-09,149.0,176.33,2,17243,974
55,2020-07-10,139.0,174.16,2,17312,976
56,2020-07-11,303.0,181.36,2,17312,976
57,2020-07-12,198.0,175.99,2,17312,976
58,2020-07-13,100.0,158.46,2,17487,984
59,2020-07-14,58.0,160.93,2,17588,985
60,2020-07-15,114.0,169.7,2,17640,987
61,2020-07-16,168.0,174.6,2,17711,988
62,2020-07-17,48.0,182.03,2,17793,990
63,2020-07-18,494.0,202.21,2,17793,990
64,2020-07-19,172.0,165.53,2,17793,990
65,2020-07-20,256.0,162.48,2,17904,995
66,2020-07-21,129.0,170.15,2,17986,996
67,2020-07-22,88.0,164.96,2,18062,997
68,2020-07-23,98.0,167.56,2,18148,1001
69,2020-07-24,114.0,192.91,2,18224,1002
70,2020-07-25,287.0,195.91,2,18224,1002
71,2020-07-26,188.0,163.38,2,18224,1002
72,2020-07-27,289.0,169.75,2,18515,1004
73,2020-07-28,43.0,166.04,2,18725,1005
74,2020-07-29,117.0,174.07,2,18800,1007
