,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,55.0,154.11,2,8661,380
1,2020-05-17,7.0,121.39,2,8816,385
2,2020-05-18,-38.0,126.6,2,8942,391
3,2020-05-19,-85.0,126.45,2,9056,399
4,2020-05-20,-81.0,125.27,2,9175,407
5,2020-05-21,-44.0,139.33,2,9379,416
6,2020-05-22,1.0,171.24,2,9638,419
7,2020-05-23,44.0,173.46,2,9895,425
8,2020-05-24,-20.0,135.36,2,10096,435
9,2020-05-25,-44.0,130.32,2,10178,440
10,2020-05-26,-14.0,140.49,2,10416,446
11,2020-05-27,-68.0,133.65,2,10623,466
12,2020-05-28,-40.0,145.15,2,10788,470
13,2020-05-29,-19.0,160.86,2,11131,483
14,2020-05-30,29.0,164.66,2,11394,487
15,2020-05-31,18.0,126.2,2,11861,494
16,2020-06-01,20.0,144.53,2,12148,500
17,2020-06-02,35.0,144.79,2,12415,501
18,2020-06-03,31.0,150.19,2,12651,518
19,2020-06-04,19.0,157.65,2,13005,525
20,2020-06-05,14.0,179.21,2,13453,538
21,2020-06-06,61.0,186.21,2,13916,545
22,2020-06-07,26.0,142.5,2,14286,546
23,2020-06-08,10.0,152.87,2,14800,557
24,2020-06-09,13.0,155.08,2,15228,568
25,2020-06-10,17.0,153.26,2,15759,575
26,2020-06-11,11.0,163.26,2,16441,588
27,2020-06-12,73.0,188.22,2,17170,593
28,2020-06-13,87.0,198.56,2,17955,599
29,2020-06-14,40.0,146.31,2,18796,600
30,2020-06-15,5.0,155.83,2,19381,602
31,2020-06-16,-46.0,153.98,2,19995,607
32,2020-06-17,15.0,156.71,2,20556,617
33,2020-06-18,38.0,166.45,2,21548,621
34,2020-06-19,48.0,194.18,2,22631,639
35,2020-06-20,111.0,204.49,2,23786,644
36,2020-06-21,60.0,143.48,2,24693,653
37,2020-06-22,25.0,161.78,2,25701,659
38,2020-06-23,14.0,159.67,2,26613,673
39,2020-06-24,9.0,161.22,2,27897,683
40,2020-06-25,1.0,170.95,2,29022,693
41,2020-06-26,67.0,193.92,2,30335,694
42,2020-06-27,93.0,198.58,2,31939,711
43,2020-06-28,18.0,148.11,2,33320,716
44,2020-06-29,30.0,159.65,2,34644,720
45,2020-06-30,41.0,159.59,2,36399,739
46,2020-07-01,28.0,170.97,2,37919,766
47,2020-07-02,53.0,183.91,2,39701,784
48,2020-07-03,98.0,188.5,2,41532,793
49,2020-07-04,17.0,161.78,2,43386,813
50,2020-07-05,10.0,147.26,2,44847,820
51,2020-07-06,0.0,158.0,2,46380,827
52,2020-07-07,-2.0,150.82,2,47352,846
53,2020-07-08,24.0,155.56,2,48909,884
54,2020-07-09,20.0,165.03,2,50691,905
55,2020-07-10,49.0,187.74,2,52419,929
56,2020-07-11,102.0,190.6,2,54699,951
57,2020-07-12,43.0,140.36,2,56648,961
58,2020-07-13,6.0,156.19,2,58168,972
59,2020-07-14,28.0,157.93,2,60389,993
60,2020-07-15,-7.0,161.2,2,62245,998
61,2020-07-16,7.0,167.35,2,64083,1070
62,2020-07-17,35.0,190.07,2,66060,1096
63,2020-07-18,20.0,194.29,2,67612,1135
64,2020-07-19,5.0,144.15,2,69986,1155
65,2020-07-20,-36.0,155.08,2,71445,1164
66,2020-07-21,-16.0,156.49,2,73337,1221
67,2020-07-22,-3.0,160.37,2,75042,1285
68,2020-07-23,-23.0,168.3,2,76606,1334
69,2020-07-24,-25.0,189.94,2,78607,1385
70,2020-07-25,47.0,195.68,2,80008,1465
71,2020-07-26,15.0,147.19,2,81199,1491
72,2020-07-27,-14.0,158.7,2,82417,1506
73,2020-07-28,-15.0,158.81,2,84109,1565
74,2020-07-29,-39.0,160.54,2,85846,1615
75,2020-07-30,3.0,167.08,2,87572,1667
76,2020-07-31,36.0,185.81,2,89016,1712
77,2020-08-01,62.0,190.73,2,90599,1751
78,2020-08-02,12.0,140.25,2,91788,1777
79,2020-08-03,-28.0,139.91,2,92951,1793
80,2020-08-04,26.0,156.69,2,94190,1847
81,2020-08-05,-10.0,159.28,2,95472,1894
82,2020-08-06,-7.0,167.13,2,96797,1943
83,2020-08-07,7.0,187.72,2,98219,1962
84,2020-08-08,50.0,190.01,2,99460,2007
85,2020-08-09,-5.0,146.91,2,100435,2031
86,2020-08-10,-27.0,157.53,2,101159,2049
87,2020-08-11,-5.0,158.1,2,102130,2098
88,2020-08-12,-18.0,162.72,2,102974,2144
89,2020-08-13,-29.0,168.51,2,103909,2186
90,2020-08-14,0.0,192.88,2,104841,2204
91,2020-08-15,-31.0,190.68,2,105882,2260
92,2020-08-16,6.0,149.66,2,106497,2269
93,2020-08-17,-47.0,159.87,2,106953,2288
94,2020-08-18,-71.0,157.33,2,107672,2343
95,2020-08-19,-63.0,158.24,2,108411,2360
96,2020-08-20,-48.0,165.31,2,109320,2401
97,2020-08-21,-64.0,184.99,2,110378,2459
98,2020-08-22,-47.0,182.73,2,111295,2493
99,2020-08-23,-79.0,137.09,2,111988,2504
100,2020-08-24,-88.0,145.19,2,112551,2511
101,2020-08-25,-80.0,146.41,2,113488,2529
102,2020-08-26,-67.0,152.18,2,114093,2573
103,2020-08-27,-51.0,158.11,2,114598,2628
104,2020-08-28,-47.0,183.99,2,115951,2655
105,2020-08-29,-40.0,176.97,2,117249,2698
106,2020-08-30,-75.0,134.35,2,118324,2709
107,2020-08-31,-62.0,144.05,2,118992,2720
108,2020-09-01,-47.0,149.84,2,119846,2757
109,2020-09-02,-54.0,152.32,2,120503,2794
110,2020-09-03,-38.0,165.75,2,121696,2807
111,2020-09-04,-22.0,205.43,2,123325,2846
112,2020-09-05,-24.0,196.25,2,124289,2877
113,2020-09-06,8.0,159.45,2,124952,2887
114,2020-09-07,-47.0,153.89,2,125607,2907
115,2020-09-08,-61.0,150.08,2,125908,2912
116,2020-09-09,-77.0,146.22,2,126213,2942
117,2020-09-10,-53.0,157.0,2,126592,2975
118,2020-09-11,34.0,185.11,2,129046,3028
119,2020-09-12,80.0,181.96,2,129978,3040
120,2020-09-13,37.0,136.91,2,131864,3064
121,2020-09-14,25.0,147.8,2,132680,3077
122,2020-09-15,47.0,148.33,2,133470,3098
123,2020-09-16,33.0,146.93,2,134122,3132
124,2020-09-17,-102.0,144.29,2,135446,3158
125,2020-09-18,12.0,183.38,2,136318,3177
126,2020-09-19,78.0,183.72,2,137240,3188
127,2020-09-20,23.0,136.1,2,137708,3199
128,2020-09-21,10.0,144.18,2,138124,3212
129,2020-09-22,11.0,143.61,2,140789,3243
130,2020-09-23,1.0,144.9,2,141686,3262
131,2020-09-24,-12.0,152.67,2,142707,3279
132,2020-09-25,-56.0,178.17,2,143902,3297
133,2020-09-26,46.0,175.91,2,145273,3323
134,2020-09-27,15.0,130.3,2,145887,3326
135,2020-09-28,11.0,132.35,2,146455,3337
136,2020-09-29,-48.0,131.6,2,147634,3359
137,2020-09-30,7.0,142.07,2,147942,3378
138,2020-10-01,32.0,154.73,2,148323,3400
139,2020-10-02,29.0,180.62,2,149185,3409
140,2020-10-03,75.0,179.83,2,150891,3442
141,2020-10-04,28.0,130.83,2,151582,3453
142,2020-10-05,9.0,137.48,2,152159,3456
143,2020-10-06,12.0,139.49,2,152970,3471
144,2020-10-07,22.0,143.41,2,153705,3502
145,2020-10-08,19.0,154.41,2,154755,3514
146,2020-10-09,21.0,180.95,2,155676,3530
147,2020-10-10,15.0,165.78,2,156621,3551
148,2020-10-11,-74.0,123.92,2,157406,3552
149,2020-10-12,-37.0,139.87,2,158055,3559
150,2020-10-13,11.0,139.69,2,158883,3576
151,2020-10-14,25.0,143.28,2,159809,3593
152,2020-10-15,22.0,153.82,2,161106,3607
153,2020-10-16,14.0,183.2,2,162253,3615
154,2020-10-17,81.0,179.12,2,163214,3637
155,2020-10-18,9.0,133.8,2,163990,3650
156,2020-10-19,0.0,136.88,2,164609,3661
157,2020-10-20,31.0,141.32,2,165493,3696
158,2020-10-21,17.0,141.2,2,166357,3708
159,2020-10-22,17.0,150.64,2,167485,3755
160,2020-10-23,27.0,182.67,2,168549,3777
161,2020-10-24,99.0,174.36,2,169341,3793
162,2020-10-25,-52.0,125.24,2,170678,3802
163,2020-10-26,-5.0,134.78,2,171501,3823
164,2020-10-27,6.0,138.69,2,172579,3842
165,2020-10-28,-24.0,136.24,2,173491,3876
166,2020-10-29,-58.0,143.29,2,174591,3889
167,2020-10-30,25.0,182.01,2,175594,3896
168,2020-10-31,81.0,163.2,2,176612,3935
169,2020-11-01,-47.0,112.74,2,178023,3936
170,2020-11-02,-41.0,130.3,2,178917,3946
171,2020-11-03,5.0,134.12,2,179952,3968
172,2020-11-04,-21.0,120.7,2,180870,3985
173,2020-11-05,-27.0,130.12,2,181639,3992
174,2020-11-06,0.0,155.72,2,182872,4005
175,2020-11-07,52.0,149.5,2,184742,4015
176,2020-11-08,34.0,111.22,2,185688,4036
177,2020-11-09,-28.0,120.8,2,186391,4041
178,2020-11-10,-20.0,123.66,2,187738,4062
179,2020-11-11,-52.0,121.14,2,188995,4076
180,2020-11-12,-88.0,120.61,2,190490,4084
181,2020-11-13,8.0,157.59,2,192101,4101
182,2020-11-14,33.0,149.42,2,194014,4110
183,2020-11-15,-17.0,108.06,2,195507,4112
184,2020-11-16,-20.0,120.09,2,196617,4143
185,2020-11-17,-27.0,121.74,2,197900,4156
