,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,49.0,161.97,2,3959,44
1,2020-05-17,283.0,147.31,2,3987,44
2,2020-05-18,168.0,167.84,2,4027,44
3,2020-05-19,256.0,167.9,2,4085,46
4,2020-05-20,188.0,173.74,2,4177,46
5,2020-05-21,246.0,187.64,2,4177,47
6,2020-05-22,354.0,234.86,2,4356,50
7,2020-05-23,272.0,223.07,2,4468,50
8,2020-05-24,439.0,191.5,2,4563,50
9,2020-05-25,62.0,181.46,2,4586,50
10,2020-05-26,132.0,185.62,2,4653,50
11,2020-05-27,228.0,193.54,2,4710,54
12,2020-05-28,256.0,198.65,2,4793,54
13,2020-05-29,295.0,227.51,2,4866,59
14,2020-05-30,217.0,218.24,2,4960,62
15,2020-05-31,313.0,186.06,2,4993,62
16,2020-06-01,256.0,195.5,2,5034,62
17,2020-06-02,232.0,194.65,2,5066,62
18,2020-06-03,276.0,203.48,2,5161,62
19,2020-06-04,296.0,214.2,2,5247,64
20,2020-06-05,345.0,251.56,2,5277,65
21,2020-06-06,256.0,230.99,2,5367,65
22,2020-06-07,279.0,213.68,2,5438,65
23,2020-06-08,256.0,210.82,2,5471,65
24,2020-06-09,139.0,204.69,2,5523,68
25,2020-06-10,291.0,225.99,2,5604,69
26,2020-06-11,301.0,246.99,2,5665,73
27,2020-06-12,302.0,285.36,2,5742,74
28,2020-06-13,390.0,278.21,2,5833,75
29,2020-06-14,449.0,240.31,2,5898,75
30,2020-06-15,331.0,239.34,2,5928,75
31,2020-06-16,287.0,241.61,2,5966,77
32,2020-06-17,327.0,247.76,2,6050,78
33,2020-06-18,138.0,256.59,2,6109,78
34,2020-06-19,337.0,308.29,2,6158,81
35,2020-06-20,423.0,303.97,2,6225,81
36,2020-06-21,524.0,252.46,2,6297,81
37,2020-06-22,403.0,259.16,2,6326,81
38,2020-06-23,347.0,264.81,2,6353,83
39,2020-06-24,418.0,276.5,2,6419,84
40,2020-06-25,337.0,294.68,2,6479,87
41,2020-06-26,339.0,351.89,2,6535,88
42,2020-06-27,510.0,351.36,2,6626,91
43,2020-06-28,549.0,301.46,2,6681,91
44,2020-06-29,440.0,289.1,2,6716,91
45,2020-06-30,329.0,282.93,2,6764,91
46,2020-07-01,331.0,304.95,2,6826,93
47,2020-07-02,372.0,334.33,2,6893,97
48,2020-07-03,365.0,361.59,2,6978,97
49,2020-07-04,433.0,294.01,2,7028,97
50,2020-07-05,540.0,292.21,2,7063,97
51,2020-07-06,314.0,289.96,2,7105,97
52,2020-07-07,357.0,287.93,2,7163,98
53,2020-07-08,418.0,291.24,2,7242,98
54,2020-07-09,335.0,310.04,2,7336,101
55,2020-07-10,358.0,364.16,2,7401,107
56,2020-07-11,513.0,363.51,2,7454,109
57,2020-07-12,583.0,310.49,2,7499,109
58,2020-07-13,466.0,290.58,2,7524,109
59,2020-07-14,367.0,288.9,2,7572,109
60,2020-07-15,427.0,299.81,2,7652,111
61,2020-07-16,392.0,320.08,2,7694,115
62,2020-07-17,328.0,369.91,2,7789,116
63,2020-07-18,577.0,359.61,2,7862,116
64,2020-07-19,566.0,308.72,2,7906,118
65,2020-07-20,468.0,296.55,2,7943,118
66,2020-07-21,459.0,298.5,2,8019,118
67,2020-07-22,436.0,307.96,2,8077,119
68,2020-07-23,378.0,327.03,2,8143,121
69,2020-07-24,304.0,374.12,2,8200,122
70,2020-07-25,565.0,369.81,2,8305,122
71,2020-07-26,553.0,313.82,2,8395,123
