,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,102.0,129.41,2,17204,292
1,2020-05-17,39.0,97.42,2,17391,293
2,2020-05-18,-38.0,113.04,2,17767,296
3,2020-05-19,8.0,116.02,2,18301,301
4,2020-05-20,14.0,119.05,2,18534,309
5,2020-05-21,25.0,127.56,2,18970,313
6,2020-05-22,52.0,144.88,2,19364,315
7,2020-05-23,106.0,139.76,2,19765,325
8,2020-05-24,63.0,112.39,2,20116,332
9,2020-05-25,-58.0,109.86,2,20533,334
10,2020-05-26,17.0,122.76,2,20960,339
11,2020-05-27,-36.0,122.79,2,21360,353
12,2020-05-28,61.0,131.08,2,21763,352
13,2020-05-29,48.0,151.81,2,22199,356
14,2020-05-30,135.0,150.88,2,22676,360
15,2020-05-31,124.0,115.41,2,22832,360
16,2020-06-01,35.0,127.71,2,23242,361
17,2020-06-02,53.0,127.68,2,24498,378
18,2020-06-03,55.0,129.62,2,25024,386
19,2020-06-04,34.0,135.64,2,25374,401
20,2020-06-05,47.0,155.3,2,25799,405
21,2020-06-06,72.0,156.45,2,26359,413
22,2020-06-07,63.0,121.67,2,26811,414
23,2020-06-08,31.0,130.14,2,27217,417
24,2020-06-09,15.0,131.3,2,27865,430
25,2020-06-10,40.0,138.39,2,28379,436
26,2020-06-11,107.0,147.82,2,28766,441
27,2020-06-12,86.0,169.42,2,29218,461
28,2020-06-13,133.0,169.15,2,29616,465
29,2020-06-14,106.0,127.75,2,30174,467
30,2020-06-15,52.0,139.9,2,30945,477
31,2020-06-16,100.0,141.22,2,31623,487
32,2020-06-17,103.0,142.27,2,32112,493
33,2020-06-18,105.0,151.09,2,32604,504
34,2020-06-19,83.0,178.54,2,33603,508
35,2020-06-20,111.0,170.77,2,34223,516
36,2020-06-21,12.0,118.63,2,34719,519
37,2020-06-22,36.0,139.06,2,35255,525
38,2020-06-23,63.0,141.51,2,36018,535
39,2020-06-24,69.0,149.85,2,36822,548
40,2020-06-25,79.0,157.43,2,37695,558
41,2020-06-26,69.0,177.67,2,38802,569
42,2020-06-27,104.0,174.34,2,39813,577
43,2020-06-28,76.0,132.86,2,39945,577
44,2020-06-29,-1.0,142.01,2,41388,585
45,2020-06-30,12.0,143.7,2,42815,597
46,2020-07-01,67.0,148.36,2,44360,602
47,2020-07-02,109.0,165.73,2,46176,612
48,2020-07-03,87.0,169.85,2,47882,626
49,2020-07-04,36.0,137.71,2,49232,630
50,2020-07-05,36.0,126.18,2,50365,639
51,2020-07-06,60.0,146.19,2,51509,646
52,2020-07-07,57.0,145.09,2,52643,657
53,2020-07-08,75.0,146.71,2,54756,678
54,2020-07-09,79.0,152.59,2,56531,700
55,2020-07-10,68.0,176.02,2,58224,713
56,2020-07-11,118.0,170.72,2,59981,728
57,2020-07-12,14.0,123.97,2,61106,731
58,2020-07-13,67.0,143.81,2,63615,738
59,2020-07-14,52.0,147.04,2,65412,757
60,2020-07-15,62.0,150.09,2,67515,773
61,2020-07-16,59.0,154.1,2,69827,786
62,2020-07-17,44.0,174.6,2,72072,805
63,2020-07-18,67.0,171.65,2,74518,828
64,2020-07-19,57.0,131.59,2,76180,834
65,2020-07-20,29.0,144.38,2,77944,838
66,2020-07-21,28.0,143.25,2,80026,863
67,2020-07-22,12.0,144.57,2,82172,878
68,2020-07-23,48.0,151.37,2,84652,913
69,2020-07-24,56.0,174.28,2,86667,926
70,2020-07-25,77.0,169.96,2,88459,953
71,2020-07-26,62.0,132.75,2,91330,955
72,2020-07-27,27.0,144.62,2,93869,965
73,2020-07-28,43.0,144.17,2,96318,988
74,2020-07-29,28.0,147.05,2,98145,1008
75,2020-07-30,27.0,151.57,2,100166,1022
76,2020-07-31,39.0,167.87,2,103144,1047
77,2020-08-01,63.0,169.96,2,105455,1056
78,2020-08-02,95.0,132.52,2,106804,1062
79,2020-08-03,51.0,145.86,2,107900,1078
80,2020-08-04,49.0,146.13,2,109652,1103
81,2020-08-05,55.0,149.86,2,111305,1130
82,2020-08-06,73.0,158.33,2,113519,1170
83,2020-08-07,48.0,177.69,2,115940,1190
84,2020-08-08,78.0,174.45,2,117725,1201
85,2020-08-09,51.0,133.43,2,119788,1209
86,2020-08-10,8.0,142.86,2,120967,1223
87,2020-08-11,-30.0,144.51,2,122003,1259
88,2020-08-12,13.0,145.28,2,123489,1274
89,2020-08-13,-14.0,154.22,2,125487,1300
90,2020-08-14,34.0,176.27,2,127465,1312
91,2020-08-15,120.0,174.73,2,128771,1331
92,2020-08-16,58.0,134.48,2,130620,1349
