,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-70.0,98.02,2,47866,1330
1,2020-05-17,19.0,86.42,2,48828,1356
2,2020-05-18,-4.0,100.77,2,49788,1362
3,2020-05-19,4.0,104.06,2,51080,1405
4,2020-05-20,28.0,106.26,2,52369,1443
5,2020-05-21,38.0,111.07,2,53441,1480
6,2020-05-22,57.0,131.59,2,54369,1498
7,2020-05-23,51.0,122.37,2,55451,1522
8,2020-05-24,35.0,90.82,2,56050,1533
9,2020-05-25,-47.0,88.72,2,56490,1536
10,2020-05-26,6.0,106.21,2,57573,1552
11,2020-05-27,-6.0,109.04,2,59105,1598
12,2020-05-28,28.0,114.46,2,60820,1618
13,2020-05-29,42.0,135.2,2,62073,1645
14,2020-05-30,45.0,130.98,2,63396,1676
15,2020-05-31,57.0,96.99,2,64974,1683
16,2020-06-01,10.0,108.87,2,66081,1695
17,2020-06-02,23.0,112.9,2,67966,1732
18,2020-06-03,52.0,114.53,2,69546,1766
19,2020-06-04,66.0,121.37,2,71330,1793
20,2020-06-05,1.0,141.31,2,73323,1821
21,2020-06-06,27.0,138.26,2,75077,1840
22,2020-06-07,50.0,105.69,2,75948,1846
23,2020-06-08,13.0,115.87,2,77326,1856
24,2020-06-09,26.0,117.97,2,79271,1886
25,2020-06-10,50.0,120.91,2,81771,1916
26,2020-06-11,66.0,126.85,2,83772,1942
27,2020-06-12,58.0,146.93,2,86031,1965
28,2020-06-13,45.0,142.7,2,88120,1989
29,2020-06-14,46.0,110.12,2,89542,1995
30,2020-06-15,18.0,118.89,2,91726,2018
31,2020-06-16,29.0,120.61,2,95973,2057
32,2020-06-17,59.0,122.07,2,99466,2099
33,2020-06-18,66.0,127.78,2,102677,2137
34,2020-06-19,57.0,148.45,2,107322,2168
35,2020-06-20,55.0,140.68,2,111594,2186
36,2020-06-21,32.0,99.32,2,114886,2195
37,2020-06-22,5.0,113.15,2,119646,2213
38,2020-06-23,-11.0,114.31,2,124726,2246
39,2020-06-24,16.0,119.34,2,131310,2292
40,2020-06-25,49.0,123.21,2,136783,2321
41,2020-06-26,15.0,137.9,2,142582,2362
42,2020-06-27,28.0,131.56,2,148639,2398
43,2020-06-28,20.0,100.39,2,152866,2408
44,2020-06-29,2.0,114.61,2,158756,2430
45,2020-06-30,27.0,118.04,2,166703,2482
46,2020-07-01,40.0,121.32,2,174826,2518
47,2020-07-02,66.0,130.6,2,182260,2562
48,2020-07-03,38.0,132.41,2,190049,2609
49,2020-07-04,-11.0,104.72,2,195707,2646
50,2020-07-05,-4.0,94.74,2,200137,2666
51,2020-07-06,-11.0,113.25,2,209350,2726
52,2020-07-07,-14.0,114.93,2,219164,2816
53,2020-07-08,0.0,118.58,2,229116,2935
54,2020-07-09,29.0,122.92,2,240025,3037
55,2020-07-10,-29.0,139.92,2,249948,3129
56,2020-07-11,17.0,132.1,2,258280,3206
57,2020-07-12,9.0,101.65,2,264811,3246
58,2020-07-13,-27.0,115.26,2,273732,3313
59,2020-07-14,3.0,117.88,2,284638,3449
60,2020-07-15,21.0,120.15,2,296478,3590
61,2020-07-16,23.0,124.44,2,311516,3744
62,2020-07-17,-8.0,141.33,2,321254,3889
63,2020-07-18,36.0,134.81,2,330059,3972
64,2020-07-19,6.0,104.84,2,338036,4033
65,2020-07-20,-1.0,115.82,2,345672,4160
66,2020-07-21,8.0,116.05,2,355594,4319
67,2020-07-22,11.0,119.99,2,366561,4522
68,2020-07-23,38.0,126.4,2,376104,4714
69,2020-07-24,6.0,142.62,2,383662,4876
70,2020-07-25,26.0,126.44,2,391609,5002
71,2020-07-26,-5.0,101.73,2,395738,5090
72,2020-07-27,-4.0,117.9,2,402295,6292
73,2020-07-28,-9.0,118.36,2,412849,6518
74,2020-07-29,23.0,122.81,2,421891,6834
75,2020-07-30,37.0,131.04,2,432134,6987
76,2020-07-31,-1.0,144.85,2,443090,7273
77,2020-08-01,43.0,138.81,2,448224,7477
