,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,117.0,145.62,2,7068,78
1,2020-05-17,152.0,99.33,2,7238,80
2,2020-05-18,87.0,129.66,2,7384,80
3,2020-05-19,90.0,131.83,2,7530,88
4,2020-05-20,43.0,132.68,2,7717,90
5,2020-05-21,139.0,148.14,2,7876,92
6,2020-05-22,75.0,171.72,2,8057,93
7,2020-05-23,60.0,157.66,2,8260,97
8,2020-05-24,189.0,114.48,2,8392,97
9,2020-05-25,126.0,142.26,2,8521,98
10,2020-05-26,118.0,142.16,2,8622,101
11,2020-05-27,141.0,146.26,2,8710,105
12,2020-05-28,166.0,155.97,2,8953,106
13,2020-05-29,128.0,173.49,2,9282,107
14,2020-05-30,142.0,163.88,2,9551,112
15,2020-05-31,185.0,106.5,2,9829,113
16,2020-06-01,135.0,144.63,2,10026,113
17,2020-06-02,139.0,144.86,2,10237,113
18,2020-06-03,155.0,149.8,2,10558,117
19,2020-06-04,152.0,157.73,2,10858,117
20,2020-06-05,98.0,180.31,2,11344,120
21,2020-06-06,41.0,165.23,2,11866,121
22,2020-06-07,7.0,105.95,2,12084,121
23,2020-06-08,55.0,146.73,2,12378,124
24,2020-06-09,142.0,154.84,2,12639,127
25,2020-06-10,169.0,160.02,2,12982,128
26,2020-06-11,168.0,169.21,2,13366,131
27,2020-06-12,116.0,190.71,2,13681,139
28,2020-06-13,161.0,182.0,2,14061,139
29,2020-06-14,210.0,128.37,2,14313,139
30,2020-06-15,157.0,159.05,2,14757,143
31,2020-06-16,73.0,159.01,2,15077,145
32,2020-06-17,114.0,163.86,2,15464,149
33,2020-06-18,180.0,175.68,2,16015,152
34,2020-06-19,151.0,202.88,2,16585,155
35,2020-06-20,219.0,194.08,2,17173,155
36,2020-06-21,201.0,122.45,2,17567,158
37,2020-06-22,156.0,169.8,2,18035,158
38,2020-06-23,153.0,173.04,2,18454,163
39,2020-06-24,166.0,177.3,2,18915,163
40,2020-06-25,170.0,186.78,2,19544,164
41,2020-06-26,125.0,213.41,2,20218,166
42,2020-06-27,200.0,203.96,2,20735,167
43,2020-06-28,97.0,134.67,2,21155,167
44,2020-06-29,77.0,167.8,2,21818,168
45,2020-06-30,94.0,174.46,2,22364,172
46,2020-07-01,172.0,183.75,2,22864,173
47,2020-07-02,198.0,199.07,2,23466,176
48,2020-07-03,174.0,198.94,2,24070,181
49,2020-07-04,134.0,152.68,2,24717,181
50,2020-07-05,122.0,136.38,2,25005,184
51,2020-07-06,154.0,177.68,2,25653,190
52,2020-07-07,145.0,177.78,2,26203,194
53,2020-07-08,173.0,179.45,2,26921,201
54,2020-07-09,165.0,187.29,2,27632,205
55,2020-07-10,124.0,207.93,2,28452,207
56,2020-07-11,181.0,202.3,2,29071,212
57,2020-07-12,194.0,139.0,2,29552,215
58,2020-07-13,145.0,174.95,2,30282,216
59,2020-07-14,160.0,176.72,2,30774,226
60,2020-07-15,152.0,182.42,2,31228,233
61,2020-07-16,161.0,191.41,2,31908,234
62,2020-07-17,115.0,216.26,2,32572,238
63,2020-07-18,186.0,207.65,2,33430,243
64,2020-07-19,179.0,147.56,2,34117,243
65,2020-07-20,127.0,178.25,2,34526,249
66,2020-07-21,129.0,178.37,2,35089,255
67,2020-07-22,114.0,179.6,2,35677,262
68,2020-07-23,139.0,195.9,2,36178,271
69,2020-07-24,107.0,194.46,2,37063,277
70,2020-07-25,159.0,194.44,2,37623,278
71,2020-07-26,186.0,143.5,2,37973,278
72,2020-07-27,106.0,176.83,2,38439,285
73,2020-07-28,125.0,179.97,2,38877,290
74,2020-07-29,134.0,185.89,2,39339,297
75,2020-07-30,131.0,197.22,2,39714,303
76,2020-07-31,98.0,218.42,2,40258,308
77,2020-08-01,147.0,213.7,2,40754,312
78,2020-08-02,144.0,145.57,2,41175,313
79,2020-08-03,141.0,181.64,2,41571,317
80,2020-08-04,141.0,182.93,2,42018,324
81,2020-08-05,144.0,186.75,2,42478,330
82,2020-08-06,149.0,202.22,2,43032,332
83,2020-08-07,134.0,239.05,2,43530,337
84,2020-08-08,164.0,217.8,2,43821,336
85,2020-08-09,181.0,146.49,2,44130,337
86,2020-08-10,144.0,181.75,2,44487,346
87,2020-08-11,129.0,184.87,2,44836,350
88,2020-08-12,139.0,191.68,2,45181,355
89,2020-08-13,148.0,198.4,2,45537,358
90,2020-08-14,106.0,225.14,2,46048,362
91,2020-08-15,152.0,214.3,2,46413,364
92,2020-08-16,152.0,144.5,2,46652,364
93,2020-08-17,12.0,181.53,2,46936,366
94,2020-08-18,28.0,182.51,2,47285,372
95,2020-08-19,24.0,186.04,2,47647,379
96,2020-08-20,23.0,197.78,2,48103,384
97,2020-08-21,5.0,220.85,2,48616,385
98,2020-08-22,13.0,217.8,2,48950,387
99,2020-08-23,7.0,139.0,2,49125,387
100,2020-08-24,6.0,179.08,2,49451,391
101,2020-08-25,21.0,176.76,2,49870,398
102,2020-08-26,19.0,179.35,2,50298,404
103,2020-08-27,26.0,190.17,2,50668,404
104,2020-08-28,19.0,228.67,2,51071,408
105,2020-08-29,30.0,229.52,2,51486,408
106,2020-08-30,24.0,138.95,2,51854,408
107,2020-08-31,15.0,169.01,2,52166,409
108,2020-09-01,48.0,172.86,2,52505,410
109,2020-09-02,36.0,174.89,2,52950,414
110,2020-09-03,32.0,192.21,2,53412,416
111,2020-09-04,2.0,241.13,2,53940,420
112,2020-09-05,-5.0,222.9,2,54364,421
113,2020-09-06,-4.0,149.0,2,54660,423
114,2020-09-07,-12.0,186.19,2,55052,424
115,2020-09-08,-54.0,162.5,2,55424,426
116,2020-09-09,7.0,177.47,2,55730,428
117,2020-09-10,29.0,188.33,2,56182,431
118,2020-09-11,116.0,222.0,2,56789,433
119,2020-09-12,225.0,232.44,2,57276,434
120,2020-09-13,121.0,138.58,2,57892,434
121,2020-09-14,159.0,173.87,2,58451,436
122,2020-09-15,147.0,174.39,2,59017,436
123,2020-09-16,163.0,180.25,2,59770,437
124,2020-09-17,153.0,190.22,2,60662,437
125,2020-09-18,122.0,220.85,2,61786,437
126,2020-09-19,139.0,222.44,2,62893,440
127,2020-09-20,162.0,138.53,2,63774,440
128,2020-09-21,144.0,162.49,2,64404,441
129,2020-09-22,126.0,162.6,2,65058,443
130,2020-09-23,123.0,165.75,2,65948,444
131,2020-09-24,123.0,178.14,2,67167,444
132,2020-09-25,82.0,217.87,2,68537,448
133,2020-09-26,182.0,220.17,2,69556,448
134,2020-09-27,110.0,131.62,2,70616,453
135,2020-09-28,113.0,157.37,2,71442,453
136,2020-09-29,103.0,153.49,2,72136,457
137,2020-09-30,126.0,157.7,2,73053,460
138,2020-10-01,117.0,171.22,2,74099,460
139,2020-10-02,87.0,200.16,2,75175,474
140,2020-10-03,161.0,191.82,2,76231,476
141,2020-10-04,88.0,120.76,2,77618,478
142,2020-10-05,94.0,159.12,2,78733,483
143,2020-10-06,83.0,157.87,2,79449,489
144,2020-10-07,92.0,160.45,2,80522,499
145,2020-10-08,98.0,171.15,2,81975,504
146,2020-10-09,65.0,208.17,2,83307,508
147,2020-10-10,152.0,215.61,2,84697,512
148,2020-10-11,42.0,123.65,2,85844,518
149,2020-10-12,88.0,154.18,2,86879,524
150,2020-10-13,77.0,153.22,2,87825,524
151,2020-10-14,60.0,162.72,2,89018,529
152,2020-10-15,53.0,175.87,2,90488,531
153,2020-10-16,18.0,198.0,2,91966,539
154,2020-10-17,63.0,193.58,2,93297,541
155,2020-10-18,58.0,134.16,2,94394,544
156,2020-10-19,55.0,151.12,2,95572,547
157,2020-10-20,66.0,150.4,2,96643,552
158,2020-10-21,76.0,155.06,2,98037,558
159,2020-10-22,32.0,161.26,2,99563,563
160,2020-10-23,12.0,196.64,2,101574,567
161,2020-10-24,37.0,193.98,2,103137,568
162,2020-10-25,-39.0,104.22,2,105053,572
163,2020-10-26,14.0,139.14,2,106083,575
164,2020-10-27,16.0,141.29,2,107246,579
165,2020-10-28,32.0,142.28,2,108863,588
166,2020-10-29,47.0,154.65,2,110666,598
167,2020-10-30,32.0,184.83,2,112932,601
168,2020-10-31,78.0,165.17,2,114670,604
169,2020-11-01,40.0,100.49,2,116510,614
170,2020-11-02,33.0,129.19,2,117767,614
171,2020-11-03,31.0,130.66,2,119375,620
172,2020-11-04,19.0,124.58,2,121563,625
173,2020-11-05,27.0,136.91,2,124366,632
174,2020-11-06,11.0,162.4,2,127294,649
175,2020-11-07,-37.0,146.23,2,130238,658
176,2020-11-08,-76.0,81.18,2,132621,659
177,2020-11-09,-35.0,110.31,2,134868,661
178,2020-11-10,-44.0,114.05,2,137523,672
179,2020-11-11,-50.0,116.32,2,139815,678
180,2020-11-12,-27.0,113.42,2,143639,689
181,2020-11-13,-53.0,138.17,2,146155,703
182,2020-11-14,-56.0,126.29,2,151141,712
183,2020-11-15,-39.0,79.02,2,153808,718
184,2020-11-16,3.0,112.9,2,155779,725
185,2020-11-17,4.0,115.65,2,159006,734
