,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,41.0,111.2,2,29683,1002
1,2020-05-17,-36.0,88.11,2,30388,1009
2,2020-05-18,-121.0,92.89,2,31140,1014
3,2020-05-19,-67.0,96.86,2,32145,1041
4,2020-05-20,-73.0,99.7,2,32908,1074
5,2020-05-21,-62.0,103.93,2,34137,1099
6,2020-05-22,-18.0,121.17,2,34950,1136
7,2020-05-23,81.0,121.52,2,35749,1159
8,2020-05-24,-32.0,95.62,2,36244,1171
9,2020-05-25,-23.0,97.0,2,37727,1208
10,2020-05-26,-34.0,106.45,2,39342,1236
11,2020-05-27,-31.0,106.7,2,40249,1281
12,2020-05-28,-63.0,108.13,2,41401,1338
13,2020-05-29,-34.0,125.85,2,42533,1358
14,2020-05-30,48.0,125.57,2,43611,1370
15,2020-05-31,92.0,104.9,2,44607,1375
16,2020-06-01,9.0,110.74,2,45398,1392
17,2020-06-02,28.0,107.52,2,46239,1407
18,2020-06-03,63.0,113.93,2,46905,1428
19,2020-06-04,47.0,118.85,2,47856,1445
20,2020-06-05,32.0,134.2,2,48532,1453
21,2020-06-06,102.0,139.33,2,49397,1460
22,2020-06-07,105.0,115.39,2,50681,1472
23,2020-06-08,53.0,118.76,2,51251,1477
24,2020-06-09,95.0,121.39,2,51738,1496
25,2020-06-10,74.0,124.28,2,52177,1514
26,2020-06-11,12.0,124.57,2,52647,1520
27,2020-06-12,61.0,151.24,2,53211,1534
28,2020-06-13,180.0,156.83,2,53869,1541
29,2020-06-14,96.0,121.69,2,54506,1546
30,2020-06-15,-37.0,120.33,2,54886,1552
31,2020-06-16,-62.0,120.21,2,55331,1570
32,2020-06-17,52.0,121.65,2,55775,1583
33,2020-06-18,89.0,130.5,2,56238,1586
34,2020-06-19,74.0,151.97,2,56793,1602
35,2020-06-20,90.0,150.83,2,57443,1607
36,2020-06-21,140.0,117.14,2,57994,1611
37,2020-06-22,5.0,125.92,2,58465,1620
38,2020-06-23,130.0,133.89,2,58994,1645
39,2020-06-24,114.0,137.21,2,59514,1661
40,2020-06-25,50.0,140.99,2,59946,1675
41,2020-06-26,117.0,165.5,2,60570,1700
42,2020-06-27,180.0,169.63,2,61247,1724
43,2020-06-28,107.0,131.18,2,61736,1732
44,2020-06-29,104.0,134.9,2,62189,1740
45,2020-06-30,106.0,138.01,2,62787,1763
46,2020-07-01,77.0,142.69,2,63203,1786
47,2020-07-02,160.0,157.02,2,63735,1816
48,2020-07-03,178.0,162.17,2,64393,1845
49,2020-07-04,117.0,135.04,2,65109,1849
50,2020-07-05,103.0,129.21,2,65748,1853
51,2020-07-06,81.0,137.39,2,66102,1853
52,2020-07-07,82.0,134.62,2,66740,1881
53,2020-07-08,102.0,138.95,2,67375,1905
54,2020-07-09,65.0,142.51,2,67988,1937
55,2020-07-10,85.0,165.6,2,68931,1958
56,2020-07-11,143.0,165.99,2,69782,1962
57,2020-07-12,115.0,129.65,2,70670,1966
58,2020-07-13,32.0,135.43,2,71642,1968
59,2020-07-14,64.0,136.83,2,72443,1977
60,2020-07-15,98.0,142.02,2,73527,1992
61,2020-07-16,85.0,145.19,2,74431,2007
62,2020-07-17,88.0,165.01,2,75433,2013
63,2020-07-18,134.0,171.35,2,76373,2025
64,2020-07-19,92.0,133.05,2,77430,2027
65,2020-07-20,22.0,135.03,2,78375,2031
66,2020-07-21,29.0,135.07,2,79371,2048
67,2020-07-22,67.0,137.61,2,80393,2051
68,2020-07-23,37.0,143.63,2,81237,2054
69,2020-07-24,74.0,163.64,2,82364,2067
70,2020-07-25,153.0,170.93,2,83609,2075
71,2020-07-26,90.0,135.75,2,84567,2078
72,2020-07-27,36.0,136.9,2,86072,2082
73,2020-07-28,12.0,136.13,2,86994,2095
74,2020-07-29,67.0,141.87,2,87993,2125
75,2020-07-30,57.0,146.34,2,88904,2141
76,2020-07-31,23.0,158.08,2,89888,2174
77,2020-08-01,95.0,164.63,2,90801,2215
78,2020-08-02,91.0,131.59,2,91782,2218
79,2020-08-03,2.0,131.13,2,93106,2218
80,2020-08-04,-5.0,127.68,2,94251,2244
81,2020-08-05,73.0,142.37,2,95049,2274
82,2020-08-06,6.0,142.83,2,95867,2299
83,2020-08-07,49.0,164.87,2,97882,2317
84,2020-08-08,105.0,169.71,2,99189,2322
85,2020-08-09,102.0,138.09,2,100086,2326
86,2020-08-10,22.0,140.11,2,100749,2327
87,2020-08-11,50.0,140.59,2,101745,2344
88,2020-08-12,60.0,140.25,2,102521,2352
89,2020-08-13,-13.0,143.45,2,103622,2363
90,2020-08-14,-32.0,165.82,2,104838,2370
