,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-7.0,99.4,2,934,53
1,2020-05-17,49.0,84.06,2,940,54
2,2020-05-18,-9.0,88.08,2,940,54
3,2020-05-19,52.0,95.52,2,944,54
4,2020-05-20,98.0,100.55,2,944,54
5,2020-05-21,53.0,105.83,2,950,54
6,2020-05-22,-96.0,120.31,2,952,54
7,2020-05-23,86.0,117.73,2,954,54
8,2020-05-24,101.0,104.6,2,956,54
9,2020-05-25,26.0,97.09,2,962,54
10,2020-05-26,69.0,107.07,2,967,54
11,2020-05-27,76.0,110.16,2,971,54
12,2020-05-28,69.0,104.33,2,974,55
13,2020-05-29,-140.0,109.23,2,975,55
14,2020-05-30,65.0,113.27,2,977,55
15,2020-05-31,-16.0,94.88,2,981,55
16,2020-06-01,-10.0,103.98,2,983,55
17,2020-06-02,26.0,105.13,2,988,55
18,2020-06-03,-15.0,103.7,2,990,55
19,2020-06-04,59.0,114.96,2,1026,55
20,2020-06-05,-128.0,131.62,2,1027,55
21,2020-06-06,10.0,123.58,2,1046,55
22,2020-06-07,83.0,115.23,2,1063,55
23,2020-06-08,61.0,113.56,2,1075,55
24,2020-06-09,71.0,113.65,2,1084,55
25,2020-06-10,71.0,118.28,2,1095,55
26,2020-06-11,76.0,120.14,2,1110,55
27,2020-06-12,-74.0,142.5,2,1119,55
28,2020-06-13,39.0,135.9,2,1125,55
29,2020-06-14,55.0,119.24,2,1127,55
30,2020-06-15,90.0,125.19,2,1130,55
31,2020-06-16,152.0,128.52,2,1130,55
32,2020-06-17,129.0,135.66,2,1130,55
33,2020-06-18,133.0,139.44,2,1135,56
34,2020-06-19,-74.0,158.91,2,1144,56
35,2020-06-20,139.0,151.09,2,1147,56
36,2020-06-21,163.0,125.59,2,1159,56
37,2020-06-22,110.0,136.4,2,1163,56
38,2020-06-23,155.0,142.38,2,1164,56
39,2020-06-24,90.0,138.69,2,1184,56
40,2020-06-25,157.0,150.53,2,1191,56
41,2020-06-26,-38.0,167.94,2,1198,56
42,2020-06-27,89.0,157.51,2,1200,56
43,2020-06-28,69.0,136.91,2,1202,56
44,2020-06-29,-32.0,138.27,2,1208,56
45,2020-06-30,43.0,140.45,2,1208,56
46,2020-07-01,100.0,152.77,2,1210,56
47,2020-07-02,260.0,173.04,2,1227,56
48,2020-07-03,178.0,185.06,2,1236,56
49,2020-07-04,,154.26,2,1238,56
50,2020-07-05,187.0,162.64,2,1249,56
51,2020-07-06,245.0,161.19,2,1251,56
52,2020-07-07,228.0,156.99,2,1254,56
53,2020-07-08,88.0,154.87,2,1256,56
54,2020-07-09,200.0,162.9,2,1272,56
55,2020-07-10,-28.0,174.87,2,1277,56
56,2020-07-11,42.0,160.2,2,1283,56
57,2020-07-12,119.0,146.91,2,1296,56
58,2020-07-13,142.0,147.71,2,1301,56
59,2020-07-14,121.0,147.04,2,1305,56
60,2020-07-15,192.0,157.97,2,1318,56
61,2020-07-16,155.0,161.57,2,1325,56
62,2020-07-17,105.0,179.45,2,1334,56
63,2020-07-18,258.0,188.2,2,1338,56
64,2020-07-19,176.0,162.73,2,1350,56
65,2020-07-20,183.0,156.49,2,1360,56
66,2020-07-21,222.0,159.66,2,1366,56
67,2020-07-22,123.0,152.43,2,1366,56
68,2020-07-23,134.0,158.46,2,1377,56
69,2020-07-24,190.0,189.23,2,1385,56
