,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,4.0,105.43,2,19336,1015
1,2020-05-17,31.0,92.13,2,19514,1016
2,2020-05-18,-35.0,104.04,2,19756,1020
3,2020-05-19,-19.0,107.61,2,19988,1042
4,2020-05-20,-17.0,106.31,2,20110,1045
5,2020-05-21,-13.0,110.8,2,20280,1054
6,2020-05-22,10.0,132.47,2,20526,1061
7,2020-05-23,78.0,125.12,2,20740,1062
8,2020-05-24,159.0,108.53,2,20989,1069
9,2020-05-25,-30.0,97.39,2,21265,1076
10,2020-05-26,15.0,113.51,2,21538,1091
11,2020-05-27,23.0,120.65,2,21825,1106
12,2020-05-28,16.0,124.03,2,22091,1116
13,2020-05-29,19.0,141.58,2,22377,1120
14,2020-05-30,0.0,113.68,2,22618,1126
15,2020-05-31,90.0,100.64,2,22814,1126
16,2020-06-01,15.0,119.0,2,23272,1133
17,2020-06-02,0.0,117.34,2,23608,1139
18,2020-06-03,30.0,123.85,2,23776,1145
19,2020-06-04,10.0,126.09,2,23999,1150
20,2020-06-05,14.0,143.02,2,24546,1160
21,2020-06-06,57.0,133.72,2,24767,1163
22,2020-06-07,68.0,111.06,2,25064,1163
23,2020-06-08,-20.0,122.95,2,25593,1168
24,2020-06-09,-6.0,121.66,2,25796,1181
25,2020-06-10,15.0,132.32,2,25940,1183
26,2020-06-11,2.0,136.25,2,26172,1198
27,2020-06-12,13.0,154.43,2,26576,1207
28,2020-06-13,47.0,140.31,2,26920,1216
29,2020-06-14,115.0,124.08,2,27135,1220
30,2020-06-15,-26.0,128.19,2,27577,1223
31,2020-06-16,-3.0,136.81,2,27949,1234
32,2020-06-17,28.0,144.13,2,28270,1229
33,2020-06-18,40.0,154.39,2,28663,1246
34,2020-06-19,44.0,177.44,2,29045,1258
35,2020-06-20,73.0,155.65,2,29466,1268
36,2020-06-21,142.0,128.94,2,29797,1271
37,2020-06-22,2.0,152.78,2,30443,1277
38,2020-06-23,15.0,152.29,2,30778,1285
39,2020-06-24,20.0,153.16,2,31400,1294
40,2020-06-25,17.0,164.27,2,31998,1301
41,2020-06-26,14.0,182.1,2,32489,1305
42,2020-06-27,52.0,158.91,2,33031,1311
43,2020-06-28,38.0,138.46,2,33341,1311
44,2020-06-29,11.0,151.17,2,34036,1321
45,2020-06-30,27.0,151.28,2,34541,1333
46,2020-07-01,39.0,157.41,2,35258,1340
47,2020-07-02,66.0,171.0,2,35921,1343
48,2020-07-03,51.0,175.19,2,36417,1353
49,2020-07-04,55.0,133.17,2,36799,1355
50,2020-07-05,99.0,143.99,2,37468,1360
51,2020-07-06,19.0,152.52,2,38517,1370
52,2020-07-07,7.0,150.42,2,39063,1385
53,2020-07-08,25.0,156.57,2,39661,1395
54,2020-07-09,10.0,161.33,2,40369,1410
55,2020-07-10,44.0,185.61,2,41090,1426
56,2020-07-11,72.0,169.39,2,41326,1426
57,2020-07-12,100.0,142.71,2,42181,1438
58,2020-07-13,10.0,156.71,2,43538,1439
59,2020-07-14,24.0,161.32,2,44257,1465
60,2020-07-15,25.0,166.18,2,45004,1486
61,2020-07-16,16.0,166.31,2,46268,1492
62,2020-07-17,23.0,183.51,2,47226,1498
63,2020-07-18,79.0,180.44,2,47889,1509
64,2020-07-19,116.0,157.37,2,48601,1512
65,2020-07-20,11.0,163.34,2,49949,1521
66,2020-07-21,13.0,162.66,2,50746,1531
67,2020-07-22,28.0,160.41,2,51442,1534
68,2020-07-23,28.0,163.6,2,52255,1548
69,2020-07-24,38.0,188.8,2,53278,1590
