,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,132.0,129.02,2,12551,453
1,2020-05-17,-110.0,90.09,2,12754,453
2,2020-05-18,-75.0,108.98,2,12912,459
3,2020-05-19,30.0,117.39,2,13200,467
4,2020-05-20,151.0,129.77,2,13779,481
5,2020-05-21,174.0,137.29,2,14172,487
6,2020-05-22,133.0,160.76,2,14768,496
7,2020-05-23,92.0,138.19,2,15196,507
8,2020-05-24,229.0,130.07,2,15573,510
9,2020-05-25,117.0,123.31,2,15857,514
10,2020-05-26,153.0,135.34,2,16141,517
11,2020-05-27,137.0,136.96,2,16786,539
12,2020-05-28,-8.0,132.88,2,17476,550
13,2020-05-29,144.0,167.77,2,18050,569
14,2020-05-30,256.0,158.86,2,18515,588
15,2020-05-31,259.0,131.54,2,18684,594
16,2020-06-01,116.0,135.92,2,18825,597
17,2020-06-02,217.0,144.91,2,19223,610
18,2020-06-03,185.0,145.9,2,19896,618
19,2020-06-04,171.0,155.82,2,20359,627
20,2020-06-05,196.0,176.97,2,20723,634
21,2020-06-06,289.0,175.65,2,20997,646
22,2020-06-07,239.0,145.88,2,21246,648
23,2020-06-08,247.0,154.32,2,21463,650
24,2020-06-09,124.0,141.16,2,21738,662
25,2020-06-10,74.0,145.9,2,24091,679
26,2020-06-11,173.0,166.59,2,24411,691
27,2020-06-12,230.0,194.9,2,24733,698
28,2020-06-13,348.0,185.99,2,25026,700
29,2020-06-14,343.0,157.14,2,25307,702
30,2020-06-15,238.0,158.14,2,25530,703
31,2020-06-16,319.0,162.42,2,25829,710
32,2020-06-17,286.0,167.75,2,26167,719
33,2020-06-18,227.0,174.88,2,26611,725
34,2020-06-19,197.0,200.77,2,26913,736
35,2020-06-20,151.0,179.45,2,27314,751
36,2020-06-21,310.0,152.18,2,27598,751
37,2020-06-22,81.0,151.47,2,27849,751
38,2020-06-23,242.0,168.76,2,28187,758
39,2020-06-24,239.0,171.31,2,28652,769
40,2020-06-25,223.0,189.63,2,29204,775
41,2020-06-26,119.0,201.16,2,29718,775
42,2020-06-27,364.0,212.51,2,30235,786
43,2020-06-28,303.0,175.32,2,30716,786
44,2020-06-29,105.0,162.34,2,31103,786
45,2020-06-30,279.0,176.48,2,31723,793
46,2020-07-01,274.0,186.2,2,32307,794
47,2020-07-02,222.0,201.75,2,32876,801
48,2020-07-03,179.0,208.74,2,33565,804
49,2020-07-04,188.0,168.01,2,34243,804
50,2020-07-05,161.0,179.85,2,34750,804
51,2020-07-06,218.0,176.91,2,35318,805
52,2020-07-07,125.0,170.82,2,35834,817
53,2020-07-08,216.0,178.01,2,36526,818
54,2020-07-09,118.0,177.28,2,37358,821
55,2020-07-10,217.0,215.6,2,38414,825
56,2020-07-11,281.0,210.09,2,39095,829
57,2020-07-12,313.0,179.09,2,39901,828
58,2020-07-13,238.0,171.34,2,40603,828
59,2020-07-14,281.0,169.3,2,41516,834
60,2020-07-15,49.0,164.71,2,42409,835
61,2020-07-16,244.0,188.06,2,43361,839
62,2020-07-17,203.0,219.02,2,44243,842
63,2020-07-18,255.0,205.03,2,45118,852
64,2020-07-19,301.0,176.81,2,45953,853
65,2020-07-20,231.0,168.86,2,46754,855
66,2020-07-21,255.0,168.37,2,47893,868
67,2020-07-22,233.0,178.38,2,48777,874
68,2020-07-23,213.0,187.26,2,49751,887
69,2020-07-24,211.0,218.59,2,50895,887
70,2020-07-25,274.0,210.97,2,51735,900
71,2020-07-26,131.0,170.89,2,52685,901
72,2020-07-27,203.0,171.06,2,53323,905
73,2020-07-28,262.0,172.71,2,54114,916
74,2020-07-29,212.0,178.89,2,55119,920
75,2020-07-30,188.0,187.67,2,56111,928
76,2020-07-31,214.0,209.43,2,57020,943
77,2020-08-01,265.0,206.74,2,58064,955
78,2020-08-02,97.0,164.0,2,58990,956
79,2020-08-03,131.0,169.5,2,59471,960
80,2020-08-04,246.0,175.41,2,60263,970
81,2020-08-05,211.0,176.98,2,61247,979
82,2020-08-06,162.0,189.52,2,62139,988
83,2020-08-07,218.0,215.91,2,63256,1001
84,2020-08-08,273.0,205.53,2,64231,1007
85,2020-08-09,187.0,171.79,2,64835,1009
86,2020-08-10,44.0,161.39,2,65427,1009
87,2020-08-11,172.0,173.93,2,66146,1017
88,2020-08-12,139.0,177.69,2,66705,1022
89,2020-08-13,184.0,186.48,2,67781,1029
90,2020-08-14,196.0,216.87,2,68761,1035
91,2020-08-15,236.0,203.89,2,69560,1047
92,2020-08-16,288.0,179.03,2,70246,1048
93,2020-08-17,134.0,170.58,2,70796,1050
94,2020-08-18,164.0,170.92,2,71517,1063
95,2020-08-19,175.0,174.69,2,72204,1071
96,2020-08-20,175.0,184.97,2,73067,1077
97,2020-08-21,167.0,214.36,2,73895,1079
98,2020-08-22,239.0,204.62,2,74740,1092
99,2020-08-23,250.0,174.99,2,75205,1092
100,2020-08-24,103.0,167.56,2,75755,1093
101,2020-08-25,92.0,164.67,2,76453,1106
102,2020-08-26,126.0,171.77,2,77220,1112
103,2020-08-27,116.0,175.4,2,78136,1121
104,2020-08-28,73.0,198.58,2,78984,1123
105,2020-08-29,265.0,202.04,2,79767,1129
106,2020-08-30,271.0,166.05,2,80311,1132
107,2020-08-31,61.0,157.52,2,80733,1132
108,2020-09-01,98.0,155.85,2,81688,1141
109,2020-09-02,141.0,161.14,2,82261,1151
110,2020-09-03,137.0,172.48,2,83119,1155
111,2020-09-04,166.0,218.31,2,84519,1164
112,2020-09-05,293.0,203.94,2,85517,1177
113,2020-09-06,211.0,159.77,2,86406,1177
114,2020-09-07,134.0,161.33,2,86981,1177
115,2020-09-08,-69.0,141.92,2,87730,1179
116,2020-09-09,-16.0,145.63,2,88643,1193
117,2020-09-10,37.0,153.76,2,90232,1202
118,2020-09-11,84.0,189.55,2,91672,1206
