,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-26.0,129.71,2,1470,65
1,2020-05-17,-21.0,111.99,2,1492,67
2,2020-05-18,-43.0,127.29,2,1502,68
3,2020-05-19,-68.0,123.92,2,1514,68
4,2020-05-20,-23.0,130.44,2,1567,69
5,2020-05-21,-12.0,137.16,2,1603,71
6,2020-05-22,-5.0,158.89,2,1705,72
7,2020-05-23,10.0,151.05,2,1729,72
8,2020-05-24,-13.0,124.37,2,1771,72
9,2020-05-25,-64.0,128.84,2,1782,73
10,2020-05-26,-25.0,141.99,2,1854,74
11,2020-05-27,5.0,144.89,2,1899,74
12,2020-05-28,-2.0,146.92,2,1935,74
13,2020-05-29,55.0,160.87,2,1972,74
14,2020-05-30,40.0,161.89,2,1989,75
15,2020-05-31,35.0,139.57,2,2010,75
16,2020-06-01,33.0,141.31,2,2028,76
17,2020-06-02,59.0,140.81,2,2056,78
18,2020-06-03,-3.0,140.91,2,2077,78
19,2020-06-04,0.0,149.26,2,2102,79
20,2020-06-05,5.0,171.95,2,2119,84
21,2020-06-06,99.0,173.85,2,2136,84
22,2020-06-07,68.0,143.71,2,2144,84
23,2020-06-08,76.0,148.54,2,2161,84
24,2020-06-09,70.0,150.82,2,2179,84
25,2020-06-10,14.0,150.67,2,2193,85
26,2020-06-11,29.0,160.82,2,2217,86
27,2020-06-12,16.0,186.97,2,2249,88
28,2020-06-13,-11.0,184.4,2,2274,88
29,2020-06-14,56.0,144.63,2,2290,88
30,2020-06-15,103.0,154.54,2,2322,88
31,2020-06-16,89.0,153.62,2,2341,88
32,2020-06-17,26.0,152.31,2,2376,88
33,2020-06-18,-1.0,159.97,2,2418,88
34,2020-06-19,-12.0,184.01,2,2468,88
35,2020-06-20,98.0,184.31,2,2500,88
36,2020-06-21,62.0,141.6,2,2543,89
37,2020-06-22,25.0,159.2,2,2571,90
38,2020-06-23,-9.0,154.6,2,2593,92
39,2020-06-24,86.0,164.89,2,2629,92
40,2020-06-25,37.0,173.33,2,2693,92
41,2020-06-26,29.0,202.36,2,2729,92
42,2020-06-27,-12.0,202.17,2,2781,93
43,2020-06-28,73.0,160.4,2,2831,93
44,2020-06-29,115.0,165.8,2,2869,93
45,2020-06-30,96.0,164.33,2,2904,93
46,2020-07-01,112.0,175.14,2,2979,93
47,2020-07-02,177.0,190.14,2,3053,93
48,2020-07-03,-10.0,193.25,2,3126,93
49,2020-07-04,-11.0,157.44,2,3205,94
50,2020-07-05,85.0,165.34,2,3335,95
51,2020-07-06,119.0,169.06,2,3442,95
52,2020-07-07,48.0,159.03,2,3505,95
53,2020-07-08,61.0,164.77,2,3707,95
54,2020-07-09,13.0,172.44,2,3826,95
55,2020-07-10,-2.0,198.72,2,3983,95
56,2020-07-11,77.0,198.36,2,4146,96
57,2020-07-12,66.0,158.19,2,4244,96
58,2020-07-13,81.0,160.27,2,4313,97
59,2020-07-14,52.0,159.42,2,4407,97
60,2020-07-15,67.0,162.47,2,4557,98
61,2020-07-16,14.0,168.42,2,4657,99
62,2020-07-17,-6.0,198.45,2,4783,100
63,2020-07-18,9.0,201.82,2,4922,100
64,2020-07-19,65.0,164.19,2,5042,100
65,2020-07-20,70.0,161.1,2,5142,100
66,2020-07-21,-7.0,159.76,2,5199,101
67,2020-07-22,-30.0,160.37,2,5461,102
68,2020-07-23,39.0,169.27,2,5550,103
69,2020-07-24,10.0,197.1,2,5695,103
70,2020-07-25,82.0,201.8,2,5821,103
71,2020-07-26,125.0,163.71,2,5960,103
72,2020-07-27,53.0,163.83,2,6054,106
73,2020-07-28,23.0,160.81,2,6173,111
74,2020-07-29,58.0,167.25,2,6326,112
75,2020-07-30,-13.0,170.38,2,6422,115
76,2020-07-31,8.0,188.81,2,6642,116
77,2020-08-01,-16.0,192.09,2,6735,116
78,2020-08-02,61.0,158.24,2,6854,117
79,2020-08-03,78.0,164.37,2,6973,117
80,2020-08-04,46.0,161.92,2,7051,124
81,2020-08-05,53.0,166.72,2,7159,124
82,2020-08-06,42.0,174.19,2,7277,124
83,2020-08-07,-6.0,200.49,2,7433,127
84,2020-08-08,2.0,200.2,2,7563,131
85,2020-08-09,69.0,176.12,2,7694,139
86,2020-08-10,68.0,168.43,2,7754,141
87,2020-08-11,47.0,168.73,2,7875,147
88,2020-08-12,10.0,168.9,2,8008,153
89,2020-08-13,5.0,180.25,2,8151,153
90,2020-08-14,-11.0,203.99,2,8274,157
91,2020-08-15,-16.0,196.1,2,8457,160
92,2020-08-16,62.0,168.53,2,8564,160
93,2020-08-17,,172.07,2,8632,160
94,2020-08-18,,164.83,2,8731,164
95,2020-08-19,,170.69,2,8801,166
96,2020-08-20,,178.09,2,8982,166
97,2020-08-21,31.0,201.02,2,9066,170
98,2020-08-22,,195.36,2,9185,176
99,2020-08-23,,161.54,2,9272,178
100,2020-08-24,,161.29,2,9312,179
101,2020-08-25,,158.86,2,9395,187
102,2020-08-26,,162.38,2,9540,190
103,2020-08-27,18.0,165.78,2,9633,199
104,2020-08-28,14.0,185.58,2,9824,202
105,2020-08-29,,172.01,2,9967,212
106,2020-08-30,,152.48,2,10110,213
107,2020-08-31,-3.0,151.25,2,10250,214
108,2020-09-01,,156.31,2,10507,222
109,2020-09-02,14.0,156.9,2,10642,230
110,2020-09-03,16.0,169.41,2,10845,237
111,2020-09-04,70.0,209.32,2,11037,243
112,2020-09-05,,195.53,2,11289,243
113,2020-09-06,,165.69,2,11412,246
114,2020-09-07,,157.68,2,11575,247
115,2020-09-08,,153.16,2,11661,250
116,2020-09-09,,156.79,2,11808,254
117,2020-09-10,33.0,161.91,2,12017,257
118,2020-09-11,-13.0,188.91,2,12174,263
119,2020-09-12,51.0,182.84,2,12521,265
120,2020-09-13,13.0,142.35,2,12699,266
121,2020-09-14,38.0,147.41,2,12820,275
122,2020-09-15,30.0,149.86,2,12976,280
123,2020-09-16,49.0,152.52,2,13196,290
124,2020-09-17,27.0,162.0,2,13430,294
125,2020-09-18,6.0,184.9,2,13683,297
126,2020-09-19,72.0,183.18,2,13874,308
127,2020-09-20,94.0,161.22,2,14054,310
128,2020-09-21,61.0,144.07,2,14171,312
129,2020-09-22,13.0,141.99,2,14384,317
130,2020-09-23,6.0,142.99,2,14504,319
131,2020-09-24,16.0,150.85,2,14706,325
132,2020-09-25,-17.0,178.91,2,14953,330
133,2020-09-26,42.0,172.31,2,15158,332
134,2020-09-27,43.0,143.82,2,15348,334
135,2020-09-28,9.0,140.81,2,15512,337
136,2020-09-29,-14.0,136.8,2,15692,345
137,2020-09-30,22.0,142.3,2,15848,350
138,2020-10-01,69.0,159.18,2,16024,354
139,2020-10-02,58.0,179.37,2,16307,355
140,2020-10-03,32.0,176.87,2,16468,357
141,2020-10-04,63.0,139.12,2,16628,358
142,2020-10-05,18.0,136.64,2,16742,361
143,2020-10-06,15.0,139.8,2,16936,364
144,2020-10-07,34.0,143.86,2,17139,369
145,2020-10-08,47.0,155.16,2,17325,370
146,2020-10-09,19.0,187.76,2,17707,376
147,2020-10-10,59.0,183.24,2,17913,381
148,2020-10-11,52.0,137.22,2,18128,382
149,2020-10-12,12.0,142.36,2,18281,385
