,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2020-05-16,-1.0,171.36,2,741,7
1,2020-05-17,-43.0,157.26,2,754,8
2,2020-05-18,10.0,164.74,2,766,10
3,2020-05-19,96.0,171.75,2,776,10
4,2020-05-20,10.0,173.33,2,787,11
5,2020-05-21,65.0,186.51,2,801,12
6,2020-05-22,116.0,224.58,2,803,12
7,2020-05-23,42.0,213.23,2,813,12
8,2020-05-24,13.0,189.53,2,813,12
9,2020-05-25,135.0,195.89,2,843,12
10,2020-05-26,91.0,187.86,2,850,13
11,2020-05-27,145.0,192.36,2,860,14
12,2020-05-28,180.0,201.8,2,876,15
13,2020-05-29,205.0,228.93,2,891,15
14,2020-05-30,132.0,229.85,2,898,16
15,2020-05-31,119.0,204.94,2,903,16
16,2020-06-01,164.0,204.4,2,910,17
17,2020-06-02,183.0,199.85,2,912,17
18,2020-06-03,186.0,204.82,2,915,17
19,2020-06-04,228.0,214.96,2,921,17
20,2020-06-05,262.0,245.44,2,933,17
21,2020-06-06,118.0,236.87,2,939,17
22,2020-06-07,80.0,227.52,2,947,17
23,2020-06-08,141.0,218.05,2,960,17
24,2020-06-09,76.0,227.26,2,970,17
25,2020-06-10,219.0,232.96,2,980,18
26,2020-06-11,326.0,250.72,2,1009,18
27,2020-06-12,291.0,294.74,2,1027,18
28,2020-06-13,292.0,299.24,2,1050,18
29,2020-06-14,290.0,283.56,2,1060,18
30,2020-06-15,259.0,255.46,2,1079,18
31,2020-06-16,230.0,256.28,2,1089,18
32,2020-06-17,296.0,260.29,2,1114,18
33,2020-06-18,369.0,275.18,2,1144,18
34,2020-06-19,281.0,314.11,2,1173,20
35,2020-06-20,370.0,311.81,2,1179,20
36,2020-06-21,220.0,280.37,2,1197,20
37,2020-06-22,324.0,282.62,2,1230,20
38,2020-06-23,394.0,286.4,2,1254,20
39,2020-06-24,394.0,293.59,2,1282,20
40,2020-06-25,211.0,316.24,2,1326,20
41,2020-06-26,260.0,352.52,2,1368,20
42,2020-06-27,414.0,360.73,2,1392,20
43,2020-06-28,262.0,348.13,2,1417,20
44,2020-06-29,340.0,316.85,2,1450,20
45,2020-06-30,209.0,312.42,2,1487,20
46,2020-07-01,456.0,337.06,2,1514,20
47,2020-07-02,579.0,374.86,2,1550,20
48,2020-07-03,,379.07,2,1582,20
49,2020-07-04,478.0,308.76,2,1606,20
50,2020-07-05,203.0,362.55,2,1634,20
51,2020-07-06,407.0,335.64,2,1675,20
52,2020-07-07,227.0,325.9,2,1711,21
53,2020-07-08,442.0,331.62,2,1740,21
54,2020-07-09,457.0,355.46,2,1774,21
55,2020-07-10,277.0,390.33,2,1790,21
56,2020-07-11,411.0,381.36,2,1839,21
57,2020-07-12,246.0,350.39,2,1862,21
58,2020-07-13,267.0,322.6,2,1903,21
59,2020-07-14,241.0,319.9,2,1951,22
60,2020-07-15,441.0,337.09,2,1985,22
61,2020-07-16,467.0,356.39,2,2026,24
62,2020-07-17,299.0,386.18,2,2069,24
63,2020-07-18,440.0,384.33,2,2108,24
64,2020-07-19,262.0,370.45,2,2126,24
65,2020-07-20,420.0,338.54,2,2187,24
66,2020-07-21,256.0,332.23,2,2238,25
67,2020-07-22,237.0,344.73,2,2288,25
68,2020-07-23,286.0,368.15,2,2347,25
69,2020-07-24,293.0,395.43,2,2405,25
70,2020-07-25,435.0,396.65,2,2446,25
71,2020-07-26,474.0,381.18,2,2475,25
72,2020-07-27,429.0,352.33,2,2520,25
73,2020-07-28,240.0,335.09,2,2589,26
74,2020-07-29,217.0,336.18,2,2628,26
75,2020-07-30,456.0,364.63,2,2686,26
76,2020-07-31,325.0,391.03,2,2726,26
77,2020-08-01,435.0,397.73,2,2769,26
78,2020-08-02,424.0,375.82,2,2808,26
79,2020-08-03,422.0,353.6,2,2848,27
80,2020-08-04,268.0,346.05,2,2884,27
81,2020-08-05,278.0,360.98,2,2923,27
82,2020-08-06,493.0,379.24,2,2958,27
83,2020-08-07,301.0,420.08,2,3000,28
84,2020-08-08,450.0,405.43,2,3013,28
85,2020-08-09,282.0,380.24,2,3050,28
86,2020-08-10,436.0,351.29,2,3042,28
87,2020-08-11,243.0,347.28,2,3073,29
88,2020-08-12,224.0,359.58,2,3086,29
89,2020-08-13,257.0,378.54,2,3119,29
90,2020-08-14,280.0,410.33,2,3183,30
91,2020-08-15,432.0,395.83,2,3227,30
92,2020-08-16,275.0,376.39,2,3286,30
93,2020-08-17,,338.08,2,3331,33
94,2020-08-18,,323.84,2,3360,34
95,2020-08-19,,329.4,2,3430,34
96,2020-08-20,,334.49,2,3468,34
97,2020-08-21,,369.7,2,3524,37
98,2020-08-22,,357.88,2,3543,37
99,2020-08-23,,327.86,2,3579,37
100,2020-08-24,,286.22,2,3603,37
101,2020-08-25,,276.01,2,3634,37
102,2020-08-26,,281.25,2,3684,37
103,2020-08-27,,291.41,2,3722,37
104,2020-08-28,,324.41,2,3763,37
105,2020-08-29,,324.78,2,3784,37
106,2020-08-30,,294.5,2,3820,37
107,2020-08-31,,273.71,2,3842,37
108,2020-09-01,,263.88,2,3866,41
109,2020-09-02,,272.65,2,3911,41
110,2020-09-03,,309.05,2,3939,41
111,2020-09-04,,393.47,2,3989,42
112,2020-09-05,,378.19,2,4006,42
113,2020-09-06,,339.13,2,4032,42
114,2020-09-07,,346.88,2,4032,42
115,2020-09-08,,276.7,2,4103,42
116,2020-09-09,,286.49,2,4151,42
117,2020-09-10,,291.36,2,4199,42
118,2020-09-11,160.0,324.45,2,4264,42
119,2020-09-12,324.0,349.39,2,4297,42
120,2020-09-13,207.0,297.56,2,4346,42
121,2020-09-14,263.0,284.27,2,4392,46
122,2020-09-15,203.0,279.84,2,4438,46
123,2020-09-16,177.0,283.0,2,4566,46
124,2020-09-17,225.0,300.57,2,4652,49
125,2020-09-18,208.0,338.43,2,4747,49
126,2020-09-19,292.0,325.17,2,4780,49
127,2020-09-20,183.0,280.34,2,4871,49
128,2020-09-21,222.0,261.06,2,4944,49
129,2020-09-22,184.0,256.45,2,5016,49
130,2020-09-23,162.0,258.33,2,5169,50
131,2020-09-24,149.0,273.38,2,5305,50
132,2020-09-25,178.0,304.83,2,5420,50
133,2020-09-26,170.0,303.97,2,5465,50
134,2020-09-27,103.0,257.7,2,5633,50
135,2020-09-28,136.0,242.14,2,5754,50
136,2020-09-29,165.0,232.91,2,5821,50
137,2020-09-30,164.0,241.49,2,5948,50
138,2020-10-01,163.0,251.43,2,6083,53
139,2020-10-02,150.0,282.37,2,6214,53
140,2020-10-03,202.0,272.49,2,6365,53
141,2020-10-04,134.0,237.02,2,6504,53
142,2020-10-05,116.0,228.32,2,6629,53
143,2020-10-06,159.0,225.99,2,6770,53
144,2020-10-07,142.0,224.26,2,6899,53
145,2020-10-08,171.0,240.49,2,7092,54
146,2020-10-09,161.0,266.63,2,7335,54
147,2020-10-10,311.0,263.65,2,7455,54
148,2020-10-11,32.0,221.85,2,7611,54
149,2020-10-12,95.0,213.29,2,7802,54
150,2020-10-13,108.0,206.82,2,7964,57
151,2020-10-14,75.0,211.6,2,8177,57
152,2020-10-15,103.0,220.43,2,8375,57
153,2020-10-16,86.0,251.22,2,8665,57
154,2020-10-17,181.0,229.41,2,8816,57
155,2020-10-18,54.0,198.99,2,9025,57
156,2020-10-19,77.0,192.43,2,9311,57
157,2020-10-20,116.0,185.44,2,9526,61
158,2020-10-21,81.0,191.65,2,9848,61
159,2020-10-22,125.0,190.69,2,10119,68
160,2020-10-23,144.0,205.62,2,10545,68
161,2020-10-24,-10.0,174.57,2,10805,68
162,2020-10-25,-86.0,145.96,2,11041,68
163,2020-10-26,21.0,173.45,2,11477,77
164,2020-10-27,109.0,158.69,2,11806,77
165,2020-10-28,68.0,156.89,2,12146,77
166,2020-10-29,77.0,165.2,2,12507,87
167,2020-10-30,20.0,185.87,2,13028,87
168,2020-10-31,35.0,175.18,2,13298,87
169,2020-11-01,-34.0,139.27,2,13723,87
170,2020-11-02,-33.0,140.44,2,14167,87
171,2020-11-03,45.0,138.08,2,14619,93
172,2020-11-04,-25.0,129.49,2,15044,105
173,2020-11-05,16.0,141.93,2,15409,105
174,2020-11-06,-42.0,162.01,2,16405,105
175,2020-11-07,-51.0,143.77,2,16597,105
176,2020-11-08,-124.0,113.99,2,17310,114
177,2020-11-09,-33.0,118.04,2,18010,114
178,2020-11-10,-35.0,126.46,2,19242,127
179,2020-11-11,-40.0,126.56,2,19374,127
180,2020-11-12,-29.0,119.41,2,20479,127
181,2020-11-13,-106.0,141.03,2,21341,127
182,2020-11-14,-125.0,137.76,2,21881,144
183,2020-11-15,-135.0,115.47,2,22494,144
184,2020-11-16,-73.0,117.74,2,23193,144
185,2020-11-17,-11.0,123.09,2,24453,155
