,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,217.0,209.12,2,69583,352
1,2021-05-28,32.0,228.59,2,69627,352
2,2021-05-29,51.0,201.96,2,69627,352
3,2021-05-30,264.0,178.33,2,69627,352
4,2021-05-31,206.0,172.37,2,69627,352
5,2021-06-01,209.0,203.82,2,69737,352
6,2021-06-02,190.0,208.06,2,69773,352
7,2021-06-03,230.0,211.41,2,69826,352
8,2021-06-04,275.0,242.14,2,69886,352
9,2021-06-05,235.0,222.39,2,69886,352
10,2021-06-06,359.0,185.28,2,69886,352
11,2021-06-07,234.0,213.3,2,69937,352
12,2021-06-08,190.0,213.34,2,69937,352
13,2021-06-09,213.0,217.73,2,70004,352
14,2021-06-10,262.0,224.97,2,70004,352
15,2021-06-11,265.0,249.07,2,70065,356
16,2021-06-12,231.0,232.98,2,70065,356
17,2021-06-13,347.0,195.26,2,70065,356
18,2021-06-14,297.0,228.69,2,70132,356
19,2021-06-15,288.0,228.92,2,70132,356
20,2021-06-16,204.0,223.42,2,70183,356
21,2021-06-17,288.0,241.09,2,70183,356
22,2021-06-18,227.0,260.64,2,70285,356
23,2021-06-19,198.0,240.63,2,70285,356
24,2021-06-20,192.0,185.42,2,70285,356
25,2021-06-21,257.0,231.27,2,70372,356
26,2021-06-22,244.0,230.13,2,70372,356
27,2021-06-23,224.0,229.95,2,70443,357
28,2021-06-24,243.0,234.91,2,70443,357
29,2021-06-25,273.0,257.72,2,70485,357
30,2021-06-26,202.0,238.48,2,70485,357
31,2021-06-27,323.0,198.67,2,70485,357
32,2021-06-28,208.0,220.83,2,70581,357
33,2021-06-29,284.0,230.13,2,70581,357
34,2021-06-30,354.0,233.74,2,70669,360
35,2021-07-01,341.0,240.59,2,70669,360
36,2021-07-02,262.0,252.0,2,70774,360
37,2021-07-03,175.0,224.72,2,70774,360
38,2021-07-04,500.0,190.71,2,70774,360
39,2021-07-05,185.0,199.31,2,70774,360
40,2021-07-06,184.0,223.99,2,70774,360
41,2021-07-07,232.0,225.36,2,70986,360
42,2021-07-08,248.0,236.13,2,70986,360
43,2021-07-09,236.0,263.34,2,71118,362
44,2021-07-10,176.0,247.91,2,71118,362
45,2021-07-11,267.0,204.52,2,71118,362
46,2021-07-12,238.0,231.34,2,71291,364
47,2021-07-13,277.0,231.18,2,71291,364
48,2021-07-14,296.0,234.74,2,71539,364
49,2021-07-15,380.0,247.54,2,71539,364
50,2021-07-16,369.0,271.16,2,71826,364
51,2021-07-17,397.0,255.1,2,71826,364
52,2021-07-18,425.0,217.18,2,71826,364
53,2021-07-19,217.0,236.36,2,72281,364
54,2021-07-20,195.0,232.51,2,72281,364
55,2021-07-21,189.0,228.87,2,72754,365
56,2021-07-22,267.0,237.1,2,72754,365
57,2021-07-23,209.0,254.54,2,73193,367
58,2021-07-24,188.0,237.11,2,73193,367
59,2021-07-25,317.0,206.07,2,73193,367
60,2021-07-26,285.0,235.16,2,73757,367
61,2021-07-27,233.0,234.14,2,73757,367
62,2021-07-28,235.0,237.31,2,74283,369
63,2021-07-29,239.0,240.89,2,74283,369
