,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,38.0,185.37,0,543177,11140
1,2021-05-28,69.0,218.64,0,543405,11146
2,2021-05-29,74.0,204.89,0,543405,11146
3,2021-05-30,45.0,148.69,0,543405,11146
4,2021-05-31,-43.0,146.96,0,543405,11146
5,2021-06-01,29.0,167.15,0,544045,11156
6,2021-06-02,11.0,162.91,0,544598,11167
7,2021-06-03,22.0,174.36,0,545028,11188
8,2021-06-04,12.0,205.77,0,545585,11198
9,2021-06-05,59.0,213.09,0,545585,11198
10,2021-06-06,-26.0,141.57,0,545585,11198
11,2021-06-07,0.0,162.08,0,546324,11217
12,2021-06-08,-13.0,163.07,0,546540,11220
13,2021-06-09,-29.0,167.63,0,546845,11249
14,2021-06-10,8.0,178.8,0,547135,11252
15,2021-06-11,-33.0,205.97,0,547323,11266
16,2021-06-12,18.0,229.45,0,547323,11266
17,2021-06-13,40.0,155.12,0,547323,11266
18,2021-06-14,9.0,169.62,0,547873,11274
19,2021-06-15,6.0,169.98,0,548163,11281
20,2021-06-16,17.0,173.39,0,548323,11288
21,2021-06-17,15.0,184.93,0,548323,11288
22,2021-06-18,42.0,220.09,0,548657,11306
23,2021-06-19,-18.0,191.47,0,548657,11306
24,2021-06-20,23.0,136.84,0,548657,11306
25,2021-06-21,-18.0,160.02,0,549013,11311
26,2021-06-22,8.0,163.58,0,549013,11311
27,2021-06-23,4.0,173.72,0,549394,11328
28,2021-06-24,9.0,186.68,0,549394,11328
29,2021-06-25,12.0,219.46,0,549934,11336
30,2021-06-26,71.0,232.88,0,549934,11336
31,2021-06-27,22.0,156.15,0,549934,11336
32,2021-06-28,5.0,169.64,0,550451,11338
33,2021-06-29,-27.0,163.37,0,550451,11338
34,2021-06-30,-3.0,172.66,0,550983,11352
35,2021-07-01,23.0,187.17,0,550983,11352
36,2021-07-02,18.0,215.69,0,551298,11358
37,2021-07-03,60.0,207.66,0,551298,11358
38,2021-07-04,-10.0,138.86,0,551298,11358
39,2021-07-05,-38.0,161.34,0,551298,11358
40,2021-07-06,-12.0,165.95,0,551298,11358
41,2021-07-07,-29.0,166.08,0,552911,11387
42,2021-07-08,-10.0,182.12,0,552911,11387
43,2021-07-09,-18.0,208.48,0,554071,11398
44,2021-07-10,49.0,224.26,0,554605,11402
45,2021-07-11,-12.0,151.79,0,554605,11402
46,2021-07-12,-5.0,166.39,0,555215,11402
47,2021-07-13,-15.0,166.42,0,555215,11402
48,2021-07-14,0.0,175.34,0,556613,11428
49,2021-07-15,20.0,185.18,0,557578,11439
50,2021-07-16,0.0,212.49,0,558577,11442
51,2021-07-17,54.0,227.75,0,559478,11443
52,2021-07-18,24.0,155.04,0,560202,11443
53,2021-07-19,-10.0,163.26,0,560920,11443
54,2021-07-20,-14.0,166.66,0,562311,11460
55,2021-07-21,-21.0,172.13,0,563943,11462
56,2021-07-22,-6.0,183.95,0,565510,11468
57,2021-07-23,7.0,212.36,0,567243,11472
58,2021-07-24,73.0,221.28,0,569131,11483
59,2021-07-25,6.0,152.44,0,570667,11483
60,2021-07-26,-2.0,165.65,0,572070,11483
61,2021-07-27,-16.0,164.18,0,574737,11492
62,2021-07-28,-15.0,171.06,0,577463,11510
63,2021-07-29,-6.0,181.36,0,580193,11516
64,2021-07-30,30.0,210.05,0,580193,11516
65,2021-07-31,65.0,213.0,0,585607,11536
66,2021-08-01,15.0,150.99,0,587405,11536
67,2021-08-02,-3.0,162.92,0,589110,11536
68,2021-08-03,10.0,164.55,0,592417,11542
69,2021-08-04,-2.0,167.6,0,595816,11561
70,2021-08-05,-7.0,170.0,0,599633,11574
71,2021-08-06,12.0,198.12,0,603318,11600
72,2021-08-07,69.0,203.02,0,607209,11624
73,2021-08-08,18.0,144.24,0,607209,11624
74,2021-08-09,8.0,160.18,0,612086,11625
75,2021-08-10,-5.0,160.31,0,615901,11648
76,2021-08-11,-18.0,158.46,0,619752,11689
77,2021-08-12,-10.0,169.8,0,623919,11724
78,2021-08-13,-12.0,199.55,0,627905,11765
79,2021-08-14,47.0,199.24,0,627905,11765
80,2021-08-15,-9.0,139.95,0,634897,11798
81,2021-08-16,15.0,156.58,0,637363,11799
82,2021-08-17,-21.0,156.49,0,641386,11832
83,2021-08-18,-5.0,162.14,0,645851,11872
84,2021-08-19,-41.0,166.65,0,649741,11914
85,2021-08-20,-51.0,192.07,0,653540,11942
86,2021-08-21,-19.0,174.93,0,659750,12000
87,2021-08-22,-33.0,131.2,0,663065,12000
88,2021-08-23,-10.0,153.84,0,665653,12000
89,2021-08-24,-30.0,153.43,0,665653,12000
90,2021-08-25,-44.0,152.16,0,665653,12000
91,2021-08-26,-28.0,162.4,0,676795,12103
