,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,61.0,181.85,1,340916,5829
1,2021-05-28,145.0,226.11,1,341130,5830
2,2021-05-29,85.0,196.02,1,341290,5830
3,2021-05-30,42.0,155.61,1,341351,5832
4,2021-05-31,0.0,147.97,1,341381,5833
5,2021-06-01,-5.0,158.67,1,341450,5834
6,2021-06-02,93.0,169.3,1,341692,5835
7,2021-06-03,116.0,185.69,1,341889,5842
8,2021-06-04,161.0,216.58,1,342142,5845
9,2021-06-05,2.0,197.44,1,342345,5846
10,2021-06-06,20.0,144.27,1,342433,5846
11,2021-06-07,13.0,159.52,1,342495,5849
12,2021-06-08,126.0,163.95,1,342726,5852
13,2021-06-09,134.0,172.42,1,342927,5854
14,2021-06-10,146.0,189.83,1,343216,5856
15,2021-06-11,98.0,216.01,1,343609,5859
16,2021-06-12,76.0,203.08,1,343873,5860
17,2021-06-13,36.0,166.06,1,343964,5861
18,2021-06-14,45.0,175.44,1,344067,5863
19,2021-06-15,114.0,175.18,1,344369,5869
20,2021-06-16,122.0,177.59,1,344657,5867
21,2021-06-17,132.0,191.97,1,344945,5869
22,2021-06-18,104.0,219.97,1,345221,5874
23,2021-06-19,47.0,205.94,1,345472,5874
24,2021-06-20,34.0,152.92,1,345605,5874
25,2021-06-21,-17.0,161.46,1,345695,5876
26,2021-06-22,147.0,175.05,1,346180,5884
27,2021-06-23,142.0,180.02,1,346569,5887
28,2021-06-24,165.0,193.56,1,346952,5890
29,2021-06-25,110.0,225.54,1,347254,5893
30,2021-06-26,-34.0,207.37,1,347254,5893
31,2021-06-27,-25.0,157.15,1,347254,5893
32,2021-06-28,23.0,168.15,1,348220,5897
33,2021-06-29,88.0,171.06,1,348699,5905
34,2021-06-30,78.0,175.43,1,349385,5909
35,2021-07-01,67.0,187.99,1,350085,5909
36,2021-07-02,189.0,222.43,1,350579,5913
37,2021-07-03,60.0,191.27,1,350579,5913
38,2021-07-04,13.0,147.57,1,350579,5913
39,2021-07-05,20.0,161.67,1,351825,5920
40,2021-07-06,93.0,173.6,1,352095,5926
41,2021-07-07,112.0,177.4,1,353095,5933
42,2021-07-08,143.0,185.95,1,354305,5944
43,2021-07-09,111.0,211.9,1,355460,5948
44,2021-07-10,45.0,195.44,1,355460,5948
45,2021-07-11,6.0,145.71,1,355460,5948
46,2021-07-12,38.0,168.26,1,357473,5955
47,2021-07-13,118.0,171.02,1,358949,5970
48,2021-07-14,132.0,173.56,1,360258,5977
49,2021-07-15,166.0,186.73,1,361238,5981
50,2021-07-16,61.0,205.92,1,362580,5992
51,2021-07-17,12.0,186.48,1,362580,5992
52,2021-07-18,16.0,149.99,1,362580,5992
53,2021-07-19,32.0,167.13,1,365132,6007
54,2021-07-20,100.0,170.47,1,367007,6007
55,2021-07-21,141.0,171.06,1,368466,6020
56,2021-07-22,161.0,180.34,1,370326,6035
57,2021-07-23,92.0,206.01,1,372313,6041
58,2021-07-24,63.0,193.55,1,374328,6048
59,2021-07-25,-7.0,147.43,1,375350,6054
60,2021-07-26,24.0,165.58,1,375971,6077
61,2021-07-27,72.0,166.24,1,378023,6087
62,2021-07-28,82.0,169.17,1,379726,6099
63,2021-07-29,114.0,178.91,1,382569,6110
64,2021-07-30,88.0,204.0,1,385113,6123
65,2021-07-31,3.0,190.41,1,386452,6141
66,2021-08-01,10.0,140.63,1,388436,6157
67,2021-08-02,27.0,160.36,1,389280,6199
68,2021-08-03,118.0,163.3,1,391623,6215
69,2021-08-04,122.0,162.96,1,394461,6230
70,2021-08-05,94.0,164.7,1,397238,6247
71,2021-08-06,95.0,195.23,1,400275,6269
72,2021-08-07,50.0,183.55,1,402908,6290
73,2021-08-08,-4.0,138.06,1,404277,6301
74,2021-08-09,11.0,156.79,1,405272,6322
75,2021-08-10,69.0,160.4,1,407892,6346
76,2021-08-11,81.0,164.32,1,410832,6366
77,2021-08-12,91.0,173.88,1,413150,6396
78,2021-08-13,44.0,202.28,1,416173,6432
79,2021-08-14,24.0,187.43,1,418290,6445
80,2021-08-15,14.0,138.8,1,419807,6467
81,2021-08-16,25.0,159.76,1,420663,6498
82,2021-08-17,56.0,159.13,1,422866,6539
83,2021-08-18,82.0,156.87,1,425551,6565
84,2021-08-19,71.0,163.54,1,429100,6581
85,2021-08-20,58.0,190.72,1,431507,6614
86,2021-08-21,13.0,179.51,1,434027,6645
87,2021-08-22,-16.0,131.91,1,435256,6674
88,2021-08-23,13.0,155.76,1,436242,6704
89,2021-08-24,64.0,155.54,1,438465,6749
90,2021-08-25,66.0,154.69,1,441246,6774
91,2021-08-26,98.0,161.95,1,443564,6806
92,2021-08-27,62.0,193.16,1,446430,6836
93,2021-08-28,-1.0,184.82,1,448596,6854
94,2021-08-29,0.0,133.0,1,449383,6879
95,2021-08-30,20.0,153.32,1,450265,6912
96,2021-08-31,77.0,157.14,1,452891,6934
97,2021-09-01,90.0,161.63,1,455781,6969
98,2021-09-02,109.0,172.97,1,458234,7003
99,2021-09-03,94.0,207.82,1,460363,7022
100,2021-09-04,5.0,187.96,1,462723,7038
101,2021-09-05,19.0,142.52,1,463795,7057
102,2021-09-06,89.0,143.62,1,464732,7070
103,2021-09-07,72.0,153.79,1,465315,7108
104,2021-09-08,104.0,155.7,1,467496,7142
105,2021-09-09,120.0,165.15,1,469977,7169
106,2021-09-10,68.0,197.21,1,472136,7199
107,2021-09-11,76.0,192.82,1,473885,7232
108,2021-09-12,-14.0,132.43,1,475001,7267
109,2021-09-13,45.0,149.83,1,475647,7298
110,2021-09-14,92.0,153.34,1,477191,7334
111,2021-09-15,90.0,157.09,1,479110,7362
112,2021-09-16,125.0,170.63,1,480934,7395
113,2021-09-17,81.0,200.46,1,482743,7412
114,2021-09-18,86.0,194.99,1,484317,7435
115,2021-09-19,25.0,133.39,1,485056,7445
116,2021-09-20,20.0,151.89,1,485452,7482
