,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,-102.0,136.55,2,879102,17594
1,2021-05-28,-81.0,154.77,2,879909,17609
2,2021-05-29,-103.0,140.64,2,880466,17628
3,2021-05-30,-76.0,116.43,2,881089,17628
4,2021-05-31,-112.0,110.25,2,881450,17628
5,2021-06-01,-104.0,129.31,2,881454,17628
6,2021-06-02,-102.0,127.51,2,882369,17648
7,2021-06-03,-109.0,131.05,2,882691,17653
8,2021-06-04,-111.0,144.37,2,883037,17673
9,2021-06-05,-123.0,135.67,2,883314,17698
10,2021-06-06,-103.0,107.03,2,883821,17700
11,2021-06-07,-101.0,124.58,2,884195,17700
12,2021-06-08,-111.0,126.59,2,884609,17713
13,2021-06-09,-115.0,130.96,2,885042,17715
14,2021-06-10,-104.0,132.75,2,885412,17742
15,2021-06-11,-110.0,147.09,2,885834,17740
16,2021-06-12,-126.0,136.92,2,886404,17761
17,2021-06-13,-107.0,107.3,2,886752,17768
18,2021-06-14,-112.0,123.32,2,887146,17768
19,2021-06-15,-128.0,125.54,2,887569,17779
20,2021-06-16,-120.0,128.08,2,888005,17791
21,2021-06-17,-125.0,135.44,2,888337,17809
22,2021-06-18,-125.0,148.22,2,888701,17822
23,2021-06-19,-127.0,136.53,2,889342,17838
24,2021-06-20,-119.0,102.97,2,889727,17843
25,2021-06-21,-107.0,125.1,2,890111,17843
26,2021-06-22,-128.0,127.98,2,890533,17858
27,2021-06-23,-128.0,128.14,2,891023,17868
28,2021-06-24,-122.0,132.31,2,891649,17875
29,2021-06-25,-125.0,144.18,2,892236,17903
30,2021-06-26,-141.0,134.66,2,892711,17914
31,2021-06-27,-113.0,106.87,2,893147,17913
32,2021-06-28,-121.0,123.99,2,893560,17913
33,2021-06-29,-145.0,124.64,2,894106,17930
34,2021-06-30,-126.0,126.58,2,894875,17936
35,2021-07-01,-119.0,132.3,2,895347,17939
36,2021-07-02,-104.0,144.31,2,895873,17961
37,2021-07-03,-109.0,123.14,2,896518,17975
