,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,6.0,133.96,2,3786674,63163
1,2021-05-28,16.0,159.17,2,3788120,63215
2,2021-05-29,20.0,147.48,2,3788894,63236
3,2021-05-30,49.0,124.46,2,3789496,63247
4,2021-05-31,-89.0,118.87,2,3789883,63249
5,2021-06-01,20.0,126.75,2,3791188,63260
6,2021-06-02,17.0,127.72,2,3792111,63284
7,2021-06-03,18.0,132.85,2,3793194,63340
8,2021-06-04,10.0,152.65,2,3794373,62965
9,2021-06-05,68.0,147.86,2,3795202,63000
10,2021-06-06,75.0,120.11,2,3795959,63120
11,2021-06-07,1.0,123.62,2,3797141,63132
12,2021-06-08,33.0,127.7,2,3798225,63155
13,2021-06-09,19.0,131.54,2,3799174,63167
14,2021-06-10,24.0,138.75,2,3800222,63206
15,2021-06-11,67.0,159.78,2,3801205,63251
16,2021-06-12,67.0,156.07,2,3801812,63143
17,2021-06-13,80.0,130.05,2,3802390,63145
18,2021-06-14,0.0,133.16,2,3803495,63150
19,2021-06-15,23.0,136.42,2,3804529,63205
20,2021-06-16,-4.0,137.5,2,3805390,63224
21,2021-06-17,-33.0,143.17,2,3806400,63254
22,2021-06-18,-55.0,163.63,2,3807542,63290
23,2021-06-19,150.0,158.77,2,3808088,63309
24,2021-06-20,25.0,120.02,2,3808733,63337
25,2021-06-21,1.0,132.89,2,3810024,63353
26,2021-06-22,4.0,135.07,2,3811099,63370
27,2021-06-23,18.0,138.53,2,3811979,63425
28,2021-06-24,1.0,144.4,2,3812993,63490
29,2021-06-25,56.0,164.43,2,3814393,63543
30,2021-06-26,126.0,159.11,2,3815178,63555
31,2021-06-27,27.0,130.53,2,3816045,63586
32,2021-06-28,-40.0,134.0,2,3817655,63597
33,2021-06-29,-32.0,134.74,2,3818311,63610
34,2021-06-30,10.0,138.6,2,3816704,63662
35,2021-07-01,18.0,146.28,2,3866606,63709
36,2021-07-02,84.0,162.92,2,3868398,63649
37,2021-07-03,39.0,147.18,2,3868398,63648
38,2021-07-04,44.0,115.02,2,3868398,63648
39,2021-07-05,-83.0,127.16,2,3868398,63648
40,2021-07-06,-7.0,135.25,2,3874128,63710
41,2021-07-07,4.0,139.43,2,3875460,63748
42,2021-07-08,-14.0,143.0,2,3903528,63805
43,2021-07-09,53.0,161.41,2,3905886,63870
44,2021-07-10,77.0,154.89,2,3906315,63874
45,2021-07-11,18.0,126.49,2,3907428,63877
46,2021-07-12,-8.0,133.25,2,3914148,63954
47,2021-07-13,11.0,134.69,2,3918797,63972
48,2021-07-14,-14.0,139.14,2,3921906,64002
49,2021-07-15,6.0,145.98,2,3925591,64041
50,2021-07-16,98.0,164.13,2,3930518,64083
51,2021-07-17,158.0,159.45,2,3932295,64085
