,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,120.0,158.44,2,543886,6688
1,2021-05-28,74.0,183.12,2,544733,6694
2,2021-05-29,79.0,158.91,2,545373,6714
3,2021-05-30,-43.0,124.4,2,545874,6723
4,2021-05-31,-3.0,120.08,2,546168,6723
5,2021-06-01,79.0,148.13,2,546596,6723
6,2021-06-02,97.0,150.64,2,547128,6732
7,2021-06-03,122.0,159.61,2,547961,6746
8,2021-06-04,103.0,179.12,2,548702,6753
9,2021-06-05,214.0,168.56,2,549430,6756
10,2021-06-06,98.0,137.94,2,549873,6755
11,2021-06-07,63.0,151.41,2,550200,6768
12,2021-06-08,90.0,154.4,2,550731,6783
13,2021-06-09,81.0,158.84,2,551461,6795
14,2021-06-10,112.0,165.62,2,552118,6806
15,2021-06-11,112.0,185.02,2,552930,6820
16,2021-06-12,139.0,170.49,2,553568,6832
17,2021-06-13,96.0,142.62,2,554073,6833
18,2021-06-14,78.0,156.65,2,554283,6833
19,2021-06-15,72.0,160.6,2,554614,6840
20,2021-06-16,69.0,161.46,2,555248,6852
21,2021-06-17,105.0,168.62,2,555819,6856
22,2021-06-18,85.0,192.1,2,556302,6866
23,2021-06-19,136.0,173.49,2,556704,6876
24,2021-06-20,88.0,139.27,2,557005,6876
25,2021-06-21,97.0,155.21,2,557234,6881
26,2021-06-22,82.0,160.92,2,557621,6885
27,2021-06-23,93.0,165.56,2,558015,6899
28,2021-06-24,169.0,170.49,2,558665,6904
29,2021-06-25,146.0,187.34,2,559104,6915
30,2021-06-26,269.0,177.56,2,559640,6919
31,2021-06-27,261.0,153.45,2,559815,6925
32,2021-06-28,137.0,168.58,2,560151,6928
33,2021-06-29,150.0,169.04,2,560407,6940
34,2021-06-30,191.0,174.39,2,560927,6947
35,2021-07-01,136.0,181.64,2,561460,6952
36,2021-07-02,227.0,199.41,2,561922,6956
37,2021-07-03,322.0,174.82,2,562315,6967
38,2021-07-04,345.0,139.82,2,562618,6971
39,2021-07-05,47.0,146.94,2,562788,6971
40,2021-07-06,74.0,159.9,2,563067,6971
41,2021-07-07,75.0,166.52,2,563555,6976
42,2021-07-08,96.0,174.56,2,564000,6979
43,2021-07-09,75.0,193.38,2,564891,6984
44,2021-07-10,144.0,180.41,2,565497,6994
45,2021-07-11,95.0,150.42,2,565835,7003
46,2021-07-12,72.0,163.62,2,566209,7005
47,2021-07-13,68.0,164.47,2,566809,7015
48,2021-07-14,73.0,168.85,2,567305,7023
49,2021-07-15,135.0,179.52,2,567852,7025
50,2021-07-16,102.0,198.52,2,568469,7031
51,2021-07-17,175.0,188.22,2,568469,7031
52,2021-07-18,98.0,157.66,2,568720,7038
53,2021-07-19,73.0,163.67,2,569860,7040
54,2021-07-20,69.0,167.18,2,570051,7040
55,2021-07-21,82.0,173.92,2,570905,7050
56,2021-07-22,106.0,181.25,2,571737,7056
57,2021-07-23,73.0,199.48,2,572272,7062
58,2021-07-24,166.0,179.22,2,572460,7063
59,2021-07-25,128.0,153.18,2,572832,7066
