,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,132.0,173.68,0,347137,8230
1,2021-05-28,111.0,184.09,0,347341,8238
2,2021-05-29,68.0,157.7,0,347341,8238
3,2021-05-30,15.0,123.86,0,347341,8238
4,2021-05-31,16.0,126.47,0,347341,8238
5,2021-06-01,134.0,152.69,0,347563,8244
6,2021-06-02,152.0,156.14,0,347678,8247
7,2021-06-03,97.0,153.07,0,347748,8245
8,2021-06-04,77.0,182.24,0,347891,8246
9,2021-06-05,330.0,195.66,0,347891,8246
10,2021-06-06,169.0,157.86,0,347891,8246
11,2021-06-07,126.0,154.29,0,348088,8253
12,2021-06-08,96.0,153.31,0,348154,8255
13,2021-06-09,140.0,161.4,0,348262,8257
14,2021-06-10,137.0,172.78,0,348319,8260
15,2021-06-11,122.0,199.01,0,348350,8261
16,2021-06-12,232.0,191.01,0,348350,8261
17,2021-06-13,175.0,157.06,0,348350,8261
18,2021-06-14,32.0,144.8,0,348465,8263
19,2021-06-15,121.0,165.4,0,348521,8263
20,2021-06-16,167.0,170.69,0,348560,8265
21,2021-06-17,177.0,180.73,0,348595,8266
22,2021-06-18,120.0,207.04,0,348665,8270
23,2021-06-19,261.0,200.26,0,348665,8270
24,2021-06-20,191.0,151.77,0,348665,8270
25,2021-06-21,108.0,164.5,0,348757,8269
26,2021-06-22,58.0,159.24,0,348802,8271
27,2021-06-23,158.0,173.16,0,348840,8271
28,2021-06-24,139.0,183.62,0,348993,8274
29,2021-06-25,100.0,207.86,0,349120,8275
30,2021-06-26,256.0,198.45,0,349120,8275
31,2021-06-27,166.0,168.85,0,349120,8275
32,2021-06-28,126.0,169.84,0,349261,8276
33,2021-06-29,107.0,172.38,0,349301,8276
34,2021-06-30,125.0,175.45,0,349352,8278
35,2021-07-01,123.0,179.44,0,349387,8279
36,2021-07-02,70.0,190.87,0,349476,8279
37,2021-07-03,117.0,169.04,0,349476,8279
38,2021-07-04,157.0,133.18,0,349476,8279
39,2021-07-05,108.0,153.81,0,349476,8279
40,2021-07-06,101.0,167.23,0,349651,8279
41,2021-07-07,141.0,176.68,0,349743,8278
42,2021-07-08,105.0,170.05,0,349798,8279
43,2021-07-09,14.0,183.18,0,349969,8279
44,2021-07-10,237.0,195.57,0,349969,8279
45,2021-07-11,141.0,151.69,0,349969,8279
46,2021-07-12,68.0,157.75,0,350039,8279
47,2021-07-13,113.0,166.15,0,350245,8279
48,2021-07-14,141.0,173.25,0,350386,8279
49,2021-07-15,185.0,189.36,0,350536,8282
50,2021-07-16,105.0,217.76,0,350675,8282
51,2021-07-17,266.0,195.19,0,350675,8282
52,2021-07-18,129.0,159.08,0,350675,8282
53,2021-07-19,117.0,164.72,0,351084,8282
