,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,-166.0,,1,48844,1132
1,2021-05-28,-186.0,,1,48898,1132
2,2021-05-29,-168.0,,1,48898,1132
3,2021-05-30,-126.0,,1,48898,1132
4,2021-05-31,-169.0,,1,48898,1132
5,2021-06-01,-169.0,,1,49000,1134
6,2021-06-02,-170.0,,1,49011,1135
7,2021-06-03,-182.0,,1,49041,1136
8,2021-06-04,-163.0,,1,49068,1136
9,2021-06-05,-105.0,,1,49068,1136
10,2021-06-06,-114.0,,1,49068,1136
11,2021-06-07,-174.0,,1,49110,1136
12,2021-06-08,-172.0,,1,49119,1137
13,2021-06-09,-176.0,,1,49127,1137
14,2021-06-10,-186.0,,1,49151,1137
15,2021-06-11,-199.0,,1,49158,1137
16,2021-06-12,-81.0,,1,49158,1137
17,2021-06-13,-97.0,,1,49158,1137
18,2021-06-14,-158.0,,1,49179,1138
19,2021-06-15,-151.0,,1,49213,1138
20,2021-06-16,-152.0,,1,49223,1139
21,2021-06-17,-147.0,,1,49232,1140
22,2021-06-18,-149.0,,1,49243,1141
23,2021-06-19,-100.0,,1,49243,1141
24,2021-06-20,-98.0,,1,49243,1141
25,2021-06-21,-182.0,,1,49248,1141
26,2021-06-22,-192.0,,1,49275,1141
27,2021-06-23,-150.0,,1,49284,1141
28,2021-06-24,-148.0,,1,49297,1141
29,2021-06-25,-143.0,,1,49305,1141
30,2021-06-26,-97.0,,1,49305,1141
31,2021-06-27,-106.0,,1,49305,1141
32,2021-06-28,-164.0,,1,49315,1141
33,2021-06-29,-174.0,,1,49347,1141
34,2021-06-30,-167.0,,1,49335,1141
35,2021-07-01,-170.0,,1,49362,1141
36,2021-07-02,-137.0,,1,49378,1141
37,2021-07-03,-64.0,,1,49378,1141
38,2021-07-04,80.0,,1,49378,1141
39,2021-07-05,-192.0,,1,49378,1141
40,2021-07-06,-161.0,,1,49417,1141
41,2021-07-07,-166.0,,1,49423,1141
42,2021-07-08,-174.0,,1,49434,1143
43,2021-07-09,-151.0,,1,49455,1143
44,2021-07-10,-78.0,,1,49455,1143
45,2021-07-11,-95.0,,1,49455,1143
46,2021-07-12,-162.0,,1,49526,1144
47,2021-07-13,-154.0,,1,49536,1144
48,2021-07-14,-161.0,,1,49574,1145
49,2021-07-15,-146.0,,1,49615,1145
50,2021-07-16,-130.0,,1,49652,1146
51,2021-07-17,-90.0,,1,49652,1146
52,2021-07-18,-65.0,,1,49652,1146
53,2021-07-19,-150.0,,1,49793,1146
54,2021-07-20,-140.0,,1,49827,1146
55,2021-07-21,-145.0,,1,49858,1146
56,2021-07-22,-132.0,,1,49930,1146
57,2021-07-23,-130.0,,1,49973,1146
58,2021-07-24,-86.0,,1,49973,1146
59,2021-07-25,-78.0,,1,49973,1146
60,2021-07-26,-147.0,,1,50160,1146
61,2021-07-27,-144.0,,1,50160,1146
62,2021-07-28,-151.0,,1,50268,1146
63,2021-07-29,-152.0,,1,50329,1146
64,2021-07-30,-117.0,,1,50398,1149
65,2021-07-31,-68.0,,1,50398,1149
66,2021-08-01,-108.0,,1,50398,1149
67,2021-08-02,-134.0,,1,50716,1149
68,2021-08-03,-134.0,,1,50800,1149
69,2021-08-04,-136.0,,1,50858,1149
70,2021-08-05,-122.0,,1,50975,1149
71,2021-08-06,-122.0,,1,51103,1149
72,2021-08-07,-89.0,,1,51103,1149
73,2021-08-08,-45.0,,1,51103,1149
74,2021-08-09,-165.0,,1,51589,1149
75,2021-08-10,-167.0,,1,51726,1149
76,2021-08-11,-169.0,,1,51853,1149
77,2021-08-12,-155.0,,1,52005,1150
78,2021-08-13,-160.0,,1,52201,1150
79,2021-08-14,-88.0,,1,52201,1150
80,2021-08-15,-78.0,,1,52201,1150
81,2021-08-16,-184.0,,1,52777,1150
82,2021-08-17,-155.0,,1,52843,1151
83,2021-08-18,-167.0,,1,52843,1151
84,2021-08-19,-160.0,,1,53162,1155
85,2021-08-20,-170.0,,1,53342,1155
86,2021-08-21,-80.0,,1,53342,1155
87,2021-08-22,-100.0,,1,53342,1155
88,2021-08-23,-162.0,,1,53898,1155
89,2021-08-24,-160.0,,1,54031,1155
90,2021-08-25,-164.0,,1,54156,1155
91,2021-08-26,-170.0,,1,54366,1158
92,2021-08-27,-160.0,,1,54556,1159
93,2021-08-28,-57.0,,1,54556,1159
94,2021-08-29,-101.0,,1,54556,1159
95,2021-08-30,-162.0,,1,55253,1159
96,2021-08-31,-153.0,,1,55431,1160
97,2021-09-01,-201.0,,1,55570,1161
98,2021-09-02,-140.0,,1,55718,1161
99,2021-09-03,-121.0,,1,55918,1162
100,2021-09-04,-64.0,,1,55918,1162
101,2021-09-05,-66.0,,1,55918,1162
102,2021-09-06,-176.0,,1,55918,1162
103,2021-09-07,-155.0,,1,56569,1163
104,2021-09-08,-160.0,,1,56694,1163
105,2021-09-09,-156.0,,1,56859,1164
106,2021-09-10,-123.0,,1,56966,1165
107,2021-09-11,-68.0,,1,56966,1165
