,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,315.0,184.21,1,108607,1660
1,2021-05-28,293.0,213.88,1,108681,1660
2,2021-05-29,160.0,177.03,1,108770,1661
3,2021-05-30,213.0,150.7,1,108821,1661
4,2021-05-31,412.0,166.91,1,108866,1661
5,2021-06-01,246.0,160.34,1,108894,1661
6,2021-06-02,237.0,159.73,1,108911,1666
7,2021-06-03,176.0,174.13,1,108957,1668
8,2021-06-04,215.0,208.33,1,109005,1674
9,2021-06-05,479.0,209.23,1,109070,1677
10,2021-06-06,444.0,175.3,1,109126,1677
11,2021-06-07,275.0,164.55,1,109167,1677
12,2021-06-08,288.0,245.65,1,109188,1677
13,2021-06-09,195.0,167.2,1,109225,1677
14,2021-06-10,269.0,175.16,1,109258,1679
15,2021-06-11,191.0,206.6,1,109296,1679
16,2021-06-12,426.0,214.26,1,109322,1679
17,2021-06-13,463.0,173.91,1,109358,1679
18,2021-06-14,308.0,169.02,1,109379,1679
19,2021-06-15,384.0,181.18,1,109421,1679
20,2021-06-16,420.0,177.64,1,109418,1679
21,2021-06-17,444.0,188.67,1,109470,1679
22,2021-06-18,454.0,237.97,1,109501,1679
23,2021-06-19,528.0,226.1,1,109528,1682
24,2021-06-20,541.0,178.81,1,109548,1683
25,2021-06-21,403.0,176.71,1,109564,1683
26,2021-06-22,228.0,169.98,1,109577,1691
27,2021-06-23,494.0,184.6,1,109599,1693
28,2021-06-24,476.0,196.05,1,109620,1693
29,2021-06-25,449.0,229.98,1,109636,1693
30,2021-06-26,505.0,237.72,1,109657,1694
31,2021-06-27,543.0,194.48,1,109682,1694
32,2021-06-28,408.0,184.94,1,109700,1694
33,2021-06-29,393.0,181.23,1,109712,1694
34,2021-06-30,450.0,187.46,1,109744,1694
35,2021-07-01,376.0,196.81,1,109770,1694
36,2021-07-02,331.0,241.7,1,109820,1695
37,2021-07-03,625.0,214.74,1,109846,1695
38,2021-07-04,811.0,169.77,1,109875,1695
39,2021-07-05,166.0,206.02,1,109891,1695
40,2021-07-06,557.0,191.48,1,109900,1695
41,2021-07-07,517.0,187.59,1,109900,1695
42,2021-07-08,339.0,189.79,1,109931,1695
43,2021-07-09,370.0,237.08,1,109986,1695
44,2021-07-10,620.0,248.13,1,110019,1695
45,2021-07-11,505.0,186.63,1,110074,1695
46,2021-07-12,403.0,182.9,1,110093,1695
47,2021-07-13,443.0,182.51,1,110112,1695
48,2021-07-14,470.0,192.46,1,110182,1696
49,2021-07-15,483.0,202.13,1,110231,1696
50,2021-07-16,468.0,239.41,1,110270,1697
51,2021-07-17,614.0,242.94,1,110339,1697
52,2021-07-18,534.0,194.2,1,110387,1697
53,2021-07-19,454.0,183.29,1,110423,1697
54,2021-07-20,504.0,181.28,1,110457,1697
55,2021-07-21,463.0,180.96,1,110502,1697
56,2021-07-22,549.0,195.6,1,110573,1697
57,2021-07-23,529.0,236.52,1,110638,1698
58,2021-07-24,673.0,243.21,1,110729,1698
59,2021-07-25,529.0,194.02,1,110797,1698
60,2021-07-26,423.0,184.65,1,110862,1698
61,2021-07-27,501.0,177.05,1,110943,1698
62,2021-07-28,501.0,182.43,1,111016,1698
63,2021-07-29,412.0,185.83,1,111129,1700
64,2021-07-30,490.0,229.76,1,111275,1830
65,2021-07-31,656.0,243.82,1,111407,1833
66,2021-08-01,371.0,176.32,1,111563,1833
67,2021-08-02,525.0,177.59,1,111681,1833
68,2021-08-03,473.0,174.19,1,111762,1833
69,2021-08-04,304.0,181.8,1,111884,1833
70,2021-08-05,532.0,180.5,1,112070,1833
71,2021-08-06,516.0,221.63,1,112298,1833
