,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,204.0,144.65,1,2318472,36732
1,2021-05-28,189.0,167.74,1,2320810,36773
2,2021-05-29,214.0,157.52,1,2320810,36773
3,2021-05-30,357.0,127.16,1,2320810,36773
4,2021-05-31,201.0,117.29,1,2320810,36773
5,2021-06-01,188.0,135.55,1,2326747,36868
6,2021-06-02,240.0,135.66,1,2327981,36923
7,2021-06-03,193.0,140.19,1,2329859,36972
8,2021-06-04,157.0,158.22,1,2289332,36985
9,2021-06-05,213.0,150.93,1,2289332,36985
10,2021-06-06,272.0,119.29,1,2289332,36985
11,2021-06-07,219.0,133.61,1,2294049,37025
12,2021-06-08,167.0,136.39,1,2295233,37025
13,2021-06-09,243.0,139.31,1,2296823,37161
14,2021-06-10,205.0,146.2,1,2298549,37206
15,2021-06-11,137.0,162.73,1,2300786,37265
16,2021-06-12,162.0,154.81,1,2300786,37265
17,2021-06-13,270.0,120.38,1,2302684,37265
18,2021-06-14,237.0,133.6,1,2304918,37330
19,2021-06-15,179.0,135.75,1,2305909,37393
20,2021-06-16,276.0,138.14,1,2307628,37448
21,2021-06-17,213.0,145.54,1,2309254,37448
22,2021-06-18,148.0,161.95,1,2310881,37555
23,2021-06-19,87.0,152.59,1,2310881,37555
24,2021-06-20,190.0,112.92,1,2310881,37555
25,2021-06-21,142.0,136.07,1,2314559,37585
26,2021-06-22,157.0,137.95,1,2316238,37656
27,2021-06-23,258.0,139.06,1,2318122,37678
28,2021-06-24,214.0,144.84,1,2320057,37705
29,2021-06-25,176.0,162.51,1,2321929,37772
30,2021-06-26,252.0,153.47,1,2321929,37772
31,2021-06-27,229.0,121.99,1,2321929,37772
32,2021-06-28,235.0,138.09,1,2321929,37772
33,2021-06-29,167.0,137.28,1,2327165,37836
34,2021-06-30,236.0,140.45,1,2329484,37877
35,2021-07-01,218.0,146.7,1,2331916,37913
36,2021-07-02,177.0,162.86,1,2337613,37985
37,2021-07-03,216.0,145.67,1,2337613,37985
38,2021-07-04,110.0,115.64,1,2337613,37985
39,2021-07-05,195.0,120.4,1,2337613,37985
40,2021-07-06,175.0,121.18,1,2337613,37985
41,2021-07-07,226.0,123.48,1,2346819,37985
42,2021-07-08,208.0,143.16,1,2350730,38097
43,2021-07-09,154.0,159.81,1,2361360,38157
44,2021-07-10,233.0,150.18,1,2361360,38157
45,2021-07-11,242.0,116.71,1,2361360,38157
46,2021-07-12,205.0,135.13,1,2361360,38157
47,2021-07-13,216.0,141.99,1,2376643,38211
48,2021-07-14,286.0,141.76,1,2383068,38282
49,2021-07-15,205.0,148.99,1,2390079,38327
50,2021-07-16,173.0,163.87,1,2406809,38388
51,2021-07-17,235.0,155.93,1,2406809,38395
52,2021-07-18,235.0,121.56,1,2406809,38395
53,2021-07-19,229.0,137.6,1,2406809,38395
54,2021-07-20,181.0,140.02,1,2430826,38422
55,2021-07-21,255.0,142.64,1,2439814,38480
56,2021-07-22,153.0,151.66,1,2452461,38566
57,2021-07-23,177.0,166.34,1,2479975,38670
58,2021-07-24,233.0,155.9,1,2479975,38670
59,2021-07-25,335.0,123.92,1,2479975,38670
60,2021-07-26,252.0,138.32,1,2479975,38670
61,2021-07-27,176.0,137.68,1,2518296,38748
62,2021-07-28,237.0,137.32,1,2534334,38840
63,2021-07-29,200.0,142.13,1,2551923,38896
64,2021-07-30,180.0,161.59,1,2590699,39079
65,2021-07-31,206.0,150.67,1,2590699,39079
66,2021-08-01,334.0,117.24,1,2590699,39079
67,2021-08-02,232.0,133.38,1,2590699,39079
68,2021-08-03,207.0,131.26,1,2641696,39179
69,2021-08-04,261.0,133.34,1,2658631,39319
70,2021-08-05,226.0,133.71,1,2678764,39403
71,2021-08-06,178.0,153.02,1,2725450,39695
72,2021-08-07,235.0,141.67,1,2725450,39695
73,2021-08-08,314.0,112.25,1,2725450,39695
74,2021-08-09,224.0,130.72,1,2725450,39934
75,2021-08-10,176.0,131.43,1,2782060,40167
76,2021-08-11,193.0,131.69,1,2806813,40171
77,2021-08-12,162.0,135.88,1,2827469,40528
78,2021-08-13,141.0,149.63,1,2877214,40766
79,2021-08-14,143.0,132.48,1,2877393,40766
80,2021-08-15,216.0,103.59,1,2877393,40766
81,2021-08-16,-37.0,125.66,1,2933429,41123
82,2021-08-17,106.0,130.05,1,2955098,41130
83,2021-08-18,126.0,132.97,1,2978433,41138
84,2021-08-19,122.0,137.7,1,2994019,41937
85,2021-08-20,99.0,154.64,1,3027954,42252
86,2021-08-21,71.0,141.68,1,3040590,42252
87,2021-08-22,124.0,106.98,1,3040590,42252
88,2021-08-23,85.0,128.47,1,3082733,42716
89,2021-08-24,70.0,128.6,1,3103941,42722
90,2021-08-25,93.0,129.66,1,3130144,42731
91,2021-08-26,99.0,132.63,1,3151909,43632
92,2021-08-27,80.0,148.41,1,3179714,43979
93,2021-08-28,131.0,137.32,1,3200682,43979
94,2021-08-29,72.0,102.54,1,3200682,43979
