,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,32.0,172.73,1,1097547,20122
1,2021-05-28,-10.0,201.6,1,1098097,20164
2,2021-05-29,148.0,184.01,1,1098686,20180
3,2021-05-30,55.0,146.4,1,1098932,20180
4,2021-05-31,-30.0,134.89,1,1099169,20180
5,2021-06-01,49.0,156.16,1,1099410,20181
6,2021-06-02,37.0,158.57,1,1099886,20208
7,2021-06-03,20.0,164.78,1,1100366,20238
8,2021-06-04,16.0,189.66,1,1100850,20279
9,2021-06-05,100.0,184.73,1,1101190,20322
10,2021-06-06,53.0,139.34,1,1101460,20322
11,2021-06-07,34.0,148.5,1,1101728,20322
12,2021-06-08,8.0,152.04,1,1102252,20360
13,2021-06-09,13.0,159.29,1,1102755,20381
14,2021-06-10,19.0,166.61,1,1103192,20421
15,2021-06-11,-15.0,190.9,1,1103621,20454
16,2021-06-12,84.0,196.6,1,1104019,20481
17,2021-06-13,84.0,148.03,1,1104242,20481
18,2021-06-14,21.0,158.56,1,1104417,20481
19,2021-06-15,20.0,162.68,1,1104748,20493
20,2021-06-16,28.0,166.45,1,1105234,20544
21,2021-06-17,16.0,178.02,1,1105638,20572
22,2021-06-18,-29.0,206.86,1,1106021,20603
23,2021-06-19,61.0,178.51,1,1106392,20628
24,2021-06-20,17.0,130.65,1,1106604,20628
25,2021-06-21,6.0,154.14,1,1106776,20628
26,2021-06-22,-12.0,153.15,1,1107157,20639
27,2021-06-23,19.0,166.2,1,1107558,20660
28,2021-06-24,29.0,172.45,1,1107923,20676
29,2021-06-25,-9.0,199.18,1,1108264,20678
30,2021-06-26,151.0,194.35,1,1108649,20702
31,2021-06-27,46.0,147.43,1,1108870,20702
32,2021-06-28,10.0,158.41,1,1109016,20702
33,2021-06-29,-16.0,157.68,1,1109016,20702
34,2021-06-30,21.0,167.15,1,1110094,20729
35,2021-07-01,21.0,177.1,1,1110606,20734
36,2021-07-02,-9.0,191.45,1,1111032,20748
37,2021-07-03,153.0,178.14,1,1111032,20748
38,2021-07-04,39.0,136.35,1,1111032,20748
39,2021-07-05,-33.0,143.1,1,1111032,20748
40,2021-07-06,16.0,160.71,1,1112339,20761
41,2021-07-07,-1.0,158.43,1,1112987,20771
42,2021-07-08,23.0,171.79,1,1113911,20774
43,2021-07-09,-8.0,192.58,1,1114789,20791
44,2021-07-10,90.0,189.39,1,1114789,20791
45,2021-07-11,17.0,140.63,1,1114789,20791
46,2021-07-12,17.0,153.86,1,1116470,20804
47,2021-07-13,17.0,158.28,1,1117534,20830
48,2021-07-14,2.0,165.34,1,1118774,20832
49,2021-07-15,11.0,179.14,1,1120085,20851
50,2021-07-16,-1.0,205.6,1,1121132,20862
51,2021-07-17,95.0,207.98,1,1121132,20862
52,2021-07-18,43.0,149.13,1,1121132,20862
53,2021-07-19,2.0,157.48,1,1124350,20868
54,2021-07-20,4.0,158.55,1,1125870,20875
55,2021-07-21,-2.0,164.92,1,1128030,20897
56,2021-07-22,26.0,175.91,1,1130107,20909
57,2021-07-23,-35.0,195.42,1,1132526,20917
58,2021-07-24,118.0,192.37,1,1132526,20917
59,2021-07-25,87.0,144.79,1,1132526,20917
60,2021-07-26,14.0,158.26,1,1138366,20931
61,2021-07-27,-2.0,160.12,1,1141877,20946
62,2021-07-28,13.0,164.77,1,1145590,20956
63,2021-07-29,33.0,169.62,1,1150006,20967
64,2021-07-30,-54.0,193.39,1,1153494,20978
65,2021-07-31,121.0,188.75,1,1153494,20978
66,2021-08-01,73.0,142.52,1,1153494,20978
67,2021-08-02,18.0,156.05,1,1159390,20998
68,2021-08-03,24.0,155.5,1,1168207,21022
69,2021-08-04,30.0,157.89,1,1172987,21033
70,2021-08-05,40.0,159.41,1,1178734,21063
71,2021-08-06,-13.0,187.31,1,1184614,21095
72,2021-08-07,67.0,180.15,1,1184614,21095
73,2021-08-08,59.0,138.38,1,1184614,21095
74,2021-08-09,33.0,153.84,1,1197351,21123
75,2021-08-10,4.0,155.79,1,1204094,21154
76,2021-08-11,9.0,155.18,1,1210864,21183
77,2021-08-12,21.0,165.8,1,1217719,21219
78,2021-08-13,8.0,191.82,1,1224826,21266
79,2021-08-14,57.0,179.18,1,1224826,21266
80,2021-08-15,34.0,133.87,1,1224826,21266
81,2021-08-16,28.0,149.16,1,1243895,21299
82,2021-08-17,-15.0,143.51,1,1251359,21343
83,2021-08-18,19.0,159.73,1,1259196,21384
84,2021-08-19,23.0,161.92,1,1268776,21431
85,2021-08-20,-17.0,184.82,1,1277998,21478
86,2021-08-21,24.0,170.86,1,1277998,21478
87,2021-08-22,7.0,128.27,1,1277998,21478
88,2021-08-23,31.0,151.18,1,1298893,21543
89,2021-08-24,0.0,152.79,1,1307900,21588
90,2021-08-25,4.0,151.77,1,1318192,21676
91,2021-08-26,3.0,157.6,1,1328713,21767
92,2021-08-27,-25.0,182.8,1,1339537,21826
93,2021-08-28,39.0,177.19,1,1339537,21826
94,2021-08-29,24.0,131.24,1,1339537,21826
95,2021-08-30,8.0,145.5,1,1361867,21911
96,2021-08-31,-36.0,138.78,1,1372605,22007
97,2021-09-01,12.0,157.02,1,1382004,22132
98,2021-09-02,41.0,167.66,1,1390154,22263
99,2021-09-03,-16.0,200.35,1,1401865,22373
100,2021-09-04,75.0,175.24,1,1401865,22373
101,2021-09-05,121.0,140.59,1,1401865,22373
102,2021-09-06,-61.0,129.62,1,1401865,22373
103,2021-09-07,4.0,148.76,1,1427735,22590
104,2021-09-08,-10.0,150.96,1,1436172,22639
105,2021-09-09,-5.0,161.03,1,1443564,22820
106,2021-09-10,-13.0,186.14,1,1451731,22968
107,2021-09-11,36.0,175.76,1,1451731,22968
108,2021-09-12,11.0,130.13,1,1451731,22968
109,2021-09-13,-1.0,144.57,1,1467477,23121
110,2021-09-14,5.0,150.64,1,1474572,23242
111,2021-09-15,2.0,151.63,1,1480574,23467
112,2021-09-16,45.0,155.91,1,1486285,23657
113,2021-09-17,-23.0,185.01,1,1491838,23767
114,2021-09-18,-3.0,179.64,1,1491838,23767
115,2021-09-19,2.0,127.42,1,1491838,23767
116,2021-09-20,-31.0,139.25,1,1503350,23947
117,2021-09-21,4.0,148.23,1,1510443,24114
118,2021-09-22,-3.0,151.23,1,1515076,24298
119,2021-09-23,14.0,167.05,1,1519511,24498
120,2021-09-24,-7.0,194.7,1,1523763,24632
121,2021-09-25,84.0,189.6,1,1523763,24632
122,2021-09-26,60.0,138.29,1,1523763,24632
123,2021-09-27,16.0,149.83,1,1532011,24766
