,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,67.0,169.56,2,371138,6048
1,2021-05-28,50.0,211.6,2,371256,6053
2,2021-05-29,176.0,213.48,2,371331,6055
3,2021-05-30,260.0,169.51,2,371384,6055
4,2021-05-31,108.0,154.03,2,371424,6055
5,2021-06-01,157.0,177.96,2,371473,6057
6,2021-06-02,177.0,181.99,2,371635,6061
7,2021-06-03,222.0,192.21,2,371761,6065
8,2021-06-04,180.0,224.83,2,371863,6067
9,2021-06-05,264.0,223.77,2,371956,6068
10,2021-06-06,329.0,174.08,2,372029,6072
11,2021-06-07,85.0,180.91,2,372064,6073
12,2021-06-08,144.0,185.47,2,372153,6078
13,2021-06-09,167.0,188.27,2,372248,6084
14,2021-06-10,137.0,199.38,2,372333,6095
15,2021-06-11,111.0,228.57,2,372442,6097
16,2021-06-12,198.0,230.47,2,372525,6099
17,2021-06-13,274.0,181.42,2,372577,6102
18,2021-06-14,166.0,185.23,2,372649,6102
19,2021-06-15,182.0,187.99,2,372752,6103
20,2021-06-16,182.0,192.15,2,372837,6109
21,2021-06-17,143.0,198.68,2,372909,6109
22,2021-06-18,124.0,235.98,2,372987,6109
23,2021-06-19,243.0,231.4,2,373049,6112
24,2021-06-20,117.0,169.25,2,373101,6114
25,2021-06-21,147.0,186.15,2,373140,6115
26,2021-06-22,95.0,184.39,2,373223,6117
27,2021-06-23,126.0,195.21,2,373314,6120
28,2021-06-24,84.0,196.71,2,373372,6124
29,2021-06-25,66.0,232.41,2,373450,6125
30,2021-06-26,131.0,220.75,2,373529,6131
31,2021-06-27,287.0,184.98,2,373583,6133
32,2021-06-28,76.0,184.17,2,373641,6133
33,2021-06-29,26.0,183.93,2,373735,6134
34,2021-06-30,133.0,193.98,2,373861,6138
35,2021-07-01,161.0,205.51,2,373960,6140
36,2021-07-02,151.0,231.1,2,374054,6142
37,2021-07-03,227.0,195.16,2,374120,6146
38,2021-07-04,278.0,155.67,2,374180,6146
39,2021-07-05,76.0,174.06,2,374207,6146
40,2021-07-06,126.0,188.3,2,374285,6148
41,2021-07-07,96.0,190.84,2,374381,6149
42,2021-07-08,136.0,205.02,2,374381,6149
43,2021-07-09,96.0,230.8,2,374381,6149
44,2021-07-10,60.0,219.28,2,374671,6149
45,2021-07-11,82.0,180.31,2,374671,6149
46,2021-07-12,67.0,186.51,2,374671,6149
47,2021-07-13,126.0,187.34,2,374948,6149
48,2021-07-14,120.0,188.21,2,375278,6158
49,2021-07-15,68.0,204.25,2,375321,6158
50,2021-07-16,88.0,240.29,2,375321,6158
51,2021-07-17,171.0,226.4,2,375726,6158
52,2021-07-18,259.0,183.64,2,375726,6158
53,2021-07-19,125.0,188.67,2,375726,6158
54,2021-07-20,138.0,191.0,2,376198,6158
55,2021-07-21,124.0,193.57,2,376673,6170
56,2021-07-22,120.0,205.54,2,376726,6170
57,2021-07-23,106.0,241.44,2,376726,6170
58,2021-07-24,178.0,228.1,2,377300,6170
59,2021-07-25,202.0,183.55,2,377300,6170
60,2021-07-26,98.0,186.36,2,377300,6170
61,2021-07-27,99.0,186.24,2,377886,6170
62,2021-07-28,104.0,192.2,2,378831,6183
63,2021-07-29,86.0,197.99,2,378916,6183
64,2021-07-30,93.0,226.8,2,378916,6183
65,2021-07-31,175.0,218.62,2,379797,6183
66,2021-08-01,249.0,183.01,2,379797,6183
67,2021-08-02,114.0,184.05,2,379797,6183
68,2021-08-03,114.0,185.76,2,381110,6183
69,2021-08-04,131.0,183.28,2,382401,6193
70,2021-08-05,104.0,191.98,2,382401,6193
71,2021-08-06,97.0,236.67,2,382401,6193
72,2021-08-07,161.0,217.21,2,383997,6193
73,2021-08-08,178.0,175.58,2,383997,6193
74,2021-08-09,72.0,182.02,2,383997,6193
75,2021-08-10,53.0,179.56,2,385556,6193
76,2021-08-11,80.0,189.2,2,387273,6210
77,2021-08-12,89.0,207.39,2,387273,6210
78,2021-08-13,129.0,234.24,2,387273,6210
79,2021-08-14,192.0,227.72,2,389223,6210
80,2021-08-15,373.0,188.48,2,389223,6210
81,2021-08-16,110.0,190.9,2,389223,6210
82,2021-08-17,102.0,195.52,2,390978,6210
83,2021-08-18,116.0,197.95,2,392970,6226
84,2021-08-19,97.0,203.62,2,392970,6226
85,2021-08-20,104.0,232.38,2,392970,6226
86,2021-08-21,293.0,226.16,2,395167,6226
87,2021-08-22,140.0,177.06,2,395167,6226
88,2021-08-23,53.0,176.53,2,395167,6226
89,2021-08-24,33.0,172.37,2,397522,6226
90,2021-08-25,76.0,173.47,2,400082,6268
91,2021-08-26,57.0,178.21,2,400082,6268
92,2021-08-27,60.0,217.83,2,400082,6268
93,2021-08-28,132.0,212.11,2,402725,6268
94,2021-08-29,97.0,160.17,2,402725,6268
95,2021-08-30,62.0,162.19,2,402725,6268
96,2021-08-31,21.0,164.79,2,404747,6268
97,2021-09-01,98.0,171.07,2,408390,6307
98,2021-09-02,77.0,181.24,2,408390,6307
99,2021-09-03,30.0,226.44,2,408390,6307
100,2021-09-04,93.0,216.11,2,411577,6307
101,2021-09-05,262.0,176.14,2,411577,6307
102,2021-09-06,133.0,158.55,2,411577,6307
103,2021-09-07,67.0,171.37,2,414784,6307
104,2021-09-08,98.0,168.51,2,417152,6337
105,2021-09-09,66.0,182.86,2,417152,6337
106,2021-09-10,74.0,228.19,2,417152,6337
107,2021-09-11,161.0,214.62,2,421168,6337
108,2021-09-12,88.0,164.67,2,421168,6337
109,2021-09-13,53.0,162.97,2,421168,6337
110,2021-09-14,81.0,166.61,2,425194,6337
111,2021-09-15,97.0,171.04,2,429078,6401
112,2021-09-16,79.0,181.99,2,429078,6401
113,2021-09-17,95.0,221.01,2,429078,6401
114,2021-09-18,208.0,228.34,2,434239,6401
115,2021-09-19,130.0,170.26,2,434239,6401
116,2021-09-20,46.0,156.66,2,434239,6401
117,2021-09-21,53.0,167.02,2,437872,6401
118,2021-09-22,81.0,167.28,2,441183,6483
119,2021-09-23,81.0,180.21,2,441183,6482
120,2021-09-24,61.0,224.62,2,441183,6482
121,2021-09-25,167.0,235.95,2,445668,6482
122,2021-09-26,117.0,172.59,2,445668,6482
123,2021-09-27,43.0,164.96,2,445668,6482
124,2021-09-28,73.0,166.84,2,449038,6482
125,2021-09-29,66.0,166.56,2,452057,6563
126,2021-09-30,55.0,179.14,2,452057,6563
127,2021-10-01,89.0,221.3,2,452057,6563
128,2021-10-02,147.0,223.91,2,455579,6563
