,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,217.0,220.27,2,191949,2092
1,2021-05-28,211.0,252.79,2,192084,2092
2,2021-05-29,431.0,230.53,2,192084,2092
3,2021-05-30,261.0,183.3,2,192084,2092
4,2021-05-31,239.0,190.24,2,192084,2092
5,2021-06-01,209.0,212.9,2,192378,2092
6,2021-06-02,187.0,213.84,2,192552,2099
7,2021-06-03,165.0,224.82,2,192704,2103
8,2021-06-04,273.0,256.35,2,192870,2103
9,2021-06-05,242.0,237.49,2,192870,2103
10,2021-06-06,248.0,181.46,2,192870,2103
11,2021-06-07,200.0,216.36,2,193107,2108
12,2021-06-08,237.0,216.95,2,193235,2107
13,2021-06-09,231.0,221.45,2,193375,2118
14,2021-06-10,123.0,229.22,2,193475,2119
15,2021-06-11,215.0,269.76,2,193593,2119
16,2021-06-12,256.0,249.23,2,193593,2119
17,2021-06-13,253.0,193.41,2,193593,2119
18,2021-06-14,242.0,231.55,2,193821,2119
19,2021-06-15,197.0,229.25,2,193910,2119
20,2021-06-16,190.0,235.19,2,193997,2125
21,2021-06-17,194.0,251.75,2,194084,2125
22,2021-06-18,186.0,280.42,2,194084,2125
23,2021-06-19,267.0,260.03,2,194084,2125
24,2021-06-20,420.0,195.65,2,194084,2125
25,2021-06-21,224.0,243.1,2,194327,2138
26,2021-06-22,193.0,242.09,2,194444,2142
27,2021-06-23,200.0,249.29,2,194596,2142
28,2021-06-24,183.0,263.13,2,194685,2145
29,2021-06-25,147.0,291.06,2,194768,2147
30,2021-06-26,280.0,267.57,2,194768,2147
31,2021-06-27,259.0,212.6,2,194768,2147
32,2021-06-28,192.0,239.86,2,194901,2147
33,2021-06-29,165.0,238.31,2,194977,2151
34,2021-06-30,156.0,246.76,2,195074,2154
35,2021-07-01,197.0,260.78,2,195166,2156
36,2021-07-02,130.0,288.61,2,195249,2160
37,2021-07-03,323.0,255.7,2,195249,2160
38,2021-07-04,264.0,197.69,2,195249,2160
39,2021-07-05,218.0,242.86,2,195249,2160
40,2021-07-06,204.0,258.12,2,195506,2161
41,2021-07-07,175.0,255.89,2,195630,2164
42,2021-07-08,187.0,264.12,2,195775,2165
43,2021-07-09,131.0,287.35,2,195910,2167
44,2021-07-10,273.0,264.85,2,195910,2167
45,2021-07-11,304.0,210.22,2,195910,2167
46,2021-07-12,200.0,245.99,2,196207,2167
47,2021-07-13,229.0,240.61,2,196387,2167
48,2021-07-14,184.0,246.25,2,196567,2167
49,2021-07-15,179.0,258.97,2,196773,2172
50,2021-07-16,140.0,283.27,2,196935,2174
51,2021-07-17,306.0,261.87,2,196935,2174
52,2021-07-18,479.0,209.1,2,196935,2174
53,2021-07-19,190.0,242.89,2,197289,2178
54,2021-07-20,237.0,242.0,2,197533,2179
55,2021-07-21,193.0,250.57,2,197861,2181
56,2021-07-22,159.0,262.64,2,198093,2182
57,2021-07-23,147.0,281.59,2,198306,2185
58,2021-07-24,307.0,259.89,2,198306,2185
59,2021-07-25,420.0,209.92,2,198306,2185
60,2021-07-26,190.0,238.29,2,198919,2190
