,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,64.0,157.27,2,1383335,25101
1,2021-05-28,41.0,180.24,2,1384319,25127
2,2021-05-29,259.0,176.76,2,1385086,25166
3,2021-05-30,266.0,143.4,2,1385670,25185
4,2021-05-31,33.0,122.72,2,1386189,25223
5,2021-06-01,101.0,154.83,2,1386620,25233
6,2021-06-02,100.0,158.02,2,1387086,25241
7,2021-06-03,218.0,168.85,2,1387795,25265
8,2021-06-04,163.0,197.31,2,1388428,25282
9,2021-06-05,269.0,189.65,2,1388953,25314
10,2021-06-06,223.0,145.93,2,1389287,25352
11,2021-06-07,101.0,148.93,2,1389551,25372
12,2021-06-08,85.0,159.04,2,1389928,25386
13,2021-06-09,100.0,165.48,2,1390331,25413
14,2021-06-10,228.0,176.43,2,1390741,25430
15,2021-06-11,154.0,200.26,2,1391143,25452
16,2021-06-12,257.0,192.48,2,1391382,25469
17,2021-06-13,259.0,156.54,2,1391662,25481
18,2021-06-14,151.0,162.97,2,1391785,25490
19,2021-06-15,113.0,165.66,2,1392005,25505
20,2021-06-16,109.0,171.39,2,1392390,25531
21,2021-06-17,212.0,178.73,2,1392635,25552
22,2021-06-18,196.0,202.61,2,1392733,25566
23,2021-06-19,208.0,198.76,2,1392733,25566
24,2021-06-20,173.0,138.4,2,1392733,25566
25,2021-06-21,157.0,159.83,2,1393461,25592
26,2021-06-22,103.0,164.8,2,1393640,25600
27,2021-06-23,70.0,166.56,2,1393961,25608
28,2021-06-24,161.0,170.85,2,1394189,25630
29,2021-06-25,95.0,189.99,2,1394454,25637
30,2021-06-26,194.0,179.07,2,1394454,25637
31,2021-06-27,198.0,150.55,2,1394454,25637
32,2021-06-28,78.0,153.1,2,1395179,25665
33,2021-06-29,13.0,157.97,2,1395442,25667
34,2021-06-30,44.0,166.84,2,1395863,25674
35,2021-07-01,125.0,182.82,2,1396270,25687
36,2021-07-02,217.0,200.35,2,1396606,25696
37,2021-07-03,255.0,178.62,2,1396606,25696
38,2021-07-04,201.0,141.62,2,1396606,25696
39,2021-07-05,38.0,143.04,2,1396606,25696
40,2021-07-06,71.0,164.31,2,1397725,25727
41,2021-07-07,51.0,165.89,2,1398366,25733
42,2021-07-08,210.0,176.22,2,1398935,25748
43,2021-07-09,159.0,202.41,2,1399525,25755
44,2021-07-10,204.0,186.97,2,1399525,25755
45,2021-07-11,129.0,142.31,2,1399525,25755
46,2021-07-12,101.0,155.43,2,1400975,25781
47,2021-07-13,66.0,160.07,2,1401519,25796
48,2021-07-14,55.0,168.63,2,1402545,25806
49,2021-07-15,181.0,170.85,2,1403369,25814
50,2021-07-16,172.0,196.32,2,1403989,25823
51,2021-07-17,200.0,195.5,2,1403989,25820
52,2021-07-18,247.0,155.13,2,1403989,25820
53,2021-07-19,128.0,160.27,2,1406608,25841
54,2021-07-20,75.0,164.64,2,1407317,25847
55,2021-07-21,70.0,166.13,2,1408618,25854
56,2021-07-22,212.0,174.75,2,1410504,25860
57,2021-07-23,148.0,197.84,2,1411845,25867
58,2021-07-24,198.0,189.09,2,1411845,25867
