,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,106.0,173.65,2,745688,13583
1,2021-05-28,31.0,192.6,2,746246,13596
2,2021-05-29,145.0,183.68,2,746674,13615
3,2021-05-30,182.0,150.31,2,747032,13620
4,2021-05-31,118.0,135.31,2,747032,13620
5,2021-06-01,174.0,164.57,2,747549,13628
6,2021-06-02,34.0,162.62,2,747810,13637
7,2021-06-03,74.0,176.19,2,749027,13657
8,2021-06-04,118.0,207.83,2,749471,13661
9,2021-06-05,303.0,200.68,2,749890,13685
10,2021-06-06,132.0,151.67,2,749890,13685
11,2021-06-07,87.0,161.06,2,750418,13687
12,2021-06-08,120.0,165.08,2,750782,13696
13,2021-06-09,56.0,168.72,2,751136,13708
14,2021-06-10,75.0,180.21,2,751596,13710
15,2021-06-11,134.0,212.07,2,751991,13714
16,2021-06-12,223.0,200.11,2,752437,13745
17,2021-06-13,143.0,161.5,2,752437,13745
18,2021-06-14,188.0,171.0,2,752871,13746
19,2021-06-15,191.0,175.46,2,753174,13752
20,2021-06-16,104.0,178.27,2,753511,13763
21,2021-06-17,95.0,188.0,2,753773,13764
22,2021-06-18,94.0,211.03,2,754043,13766
23,2021-06-19,175.0,192.47,2,754583,13795
24,2021-06-20,124.0,143.4,2,754583,13795
25,2021-06-21,120.0,164.6,2,754867,13799
26,2021-06-22,195.0,172.98,2,755172,13811
27,2021-06-23,97.0,175.72,2,755454,13816
28,2021-06-24,173.0,184.53,2,755741,13819
29,2021-06-25,35.0,205.24,2,756046,13822
30,2021-06-26,147.0,195.05,2,756046,13822
31,2021-06-27,127.0,153.03,2,756046,13822
32,2021-06-28,128.0,165.56,2,756608,13836
33,2021-06-29,63.0,168.15,2,756877,13844
34,2021-06-30,66.0,169.52,2,757279,13850
35,2021-07-01,86.0,184.65,2,757671,13855
36,2021-07-02,204.0,211.51,2,758078,13863
37,2021-07-03,225.0,179.52,2,758078,13863
38,2021-07-04,218.0,143.11,2,758078,13863
39,2021-07-05,116.0,159.78,2,758078,13863
40,2021-07-06,151.0,174.56,2,759056,13884
41,2021-07-07,82.0,176.56,2,759428,13892
42,2021-07-08,171.0,185.26,2,759985,13909
43,2021-07-09,177.0,220.05,2,760422,13914
44,2021-07-10,245.0,193.88,2,760422,13914
45,2021-07-11,90.0,151.97,2,760422,13914
46,2021-07-12,34.0,167.62,2,761263,13923
47,2021-07-13,88.0,173.37,2,761838,13933
48,2021-07-14,78.0,182.55,2,762419,13938
49,2021-07-15,71.0,188.75,2,762976,13939
50,2021-07-16,36.0,209.58,2,763522,13940
51,2021-07-17,219.0,199.88,2,763522,13940
52,2021-07-18,117.0,160.68,2,763522,13940
53,2021-07-19,162.0,170.41,2,764833,13952
54,2021-07-20,204.0,174.06,2,765490,13958
55,2021-07-21,98.0,178.15,2,766200,13964
56,2021-07-22,101.0,189.14,2,767052,13963
57,2021-07-23,119.0,218.75,2,767812,13965
58,2021-07-24,177.0,202.71,2,767812,13965
59,2021-07-25,138.0,158.6,2,767812,13965
60,2021-07-26,147.0,169.59,2,769712,13965
61,2021-07-27,141.0,172.48,2,770770,13980
62,2021-07-28,65.0,175.7,2,771986,13993
63,2021-07-29,91.0,179.73,2,773236,13999
64,2021-07-30,117.0,208.46,2,774662,14005
65,2021-07-31,186.0,193.56,2,774662,14005
66,2021-08-01,162.0,153.13,2,774662,14005
67,2021-08-02,135.0,165.83,2,777459,14012
68,2021-08-03,157.0,168.93,2,779048,14025
69,2021-08-04,84.0,170.77,2,780778,14039
70,2021-08-05,86.0,175.19,2,782677,14045
71,2021-08-06,124.0,207.89,2,784685,14054
72,2021-08-07,235.0,190.87,2,784685,14054
73,2021-08-08,123.0,151.5,2,784685,14054
74,2021-08-09,20.0,159.51,2,789626,14064
75,2021-08-10,63.0,166.69,2,791823,14091
76,2021-08-11,53.0,166.16,2,794289,14110
77,2021-08-12,17.0,173.98,2,797441,14116
78,2021-08-13,108.0,207.57,2,800096,14128
79,2021-08-14,242.0,202.45,2,800096,14128
80,2021-08-15,268.0,159.47,2,800096,14128
81,2021-08-16,103.0,170.49,2,806763,14144
82,2021-08-17,121.0,172.75,2,809458,14173
83,2021-08-18,193.0,179.72,2,812902,14198
84,2021-08-19,114.0,187.69,2,816404,14214
85,2021-08-20,111.0,214.28,2,820507,14228
86,2021-08-21,203.0,201.52,2,820507,14228
87,2021-08-22,101.0,152.21,2,820507,14228
88,2021-08-23,23.0,167.19,2,828906,14263
89,2021-08-24,51.0,166.49,2,832366,14320
90,2021-08-25,79.0,164.38,2,837326,14340
91,2021-08-26,102.0,172.97,2,842230,14352
92,2021-08-27,93.0,203.07,2,847057,14373
93,2021-08-28,184.0,192.75,2,847057,14373
94,2021-08-29,117.0,137.56,2,847057,14373
95,2021-08-30,13.0,151.69,2,858395,14419
96,2021-08-31,89.0,159.75,2,861937,14491
97,2021-09-01,73.0,163.73,2,866672,14520
98,2021-09-02,136.0,174.54,2,871823,14545
99,2021-09-03,114.0,208.22,2,876850,14570
100,2021-09-04,160.0,180.31,2,876850,14570
101,2021-09-05,83.0,150.08,2,876850,14570
102,2021-09-06,76.0,140.94,2,876850,14570
103,2021-09-07,29.0,157.26,2,889827,14623
104,2021-09-08,44.0,163.24,2,892733,14709
105,2021-09-09,129.0,170.78,2,897885,14759
106,2021-09-10,136.0,202.97,2,903219,14783
107,2021-09-11,261.0,197.58,2,903219,14783
108,2021-09-12,175.0,145.43,2,903219,14783
109,2021-09-13,80.0,154.16,2,913389,14848
110,2021-09-14,65.0,158.39,2,916901,14940
111,2021-09-15,181.0,163.82,2,921606,15011
112,2021-09-16,146.0,173.39,2,925698,15046
113,2021-09-17,105.0,211.85,2,929986,15083
114,2021-09-18,210.0,210.21,2,929986,15083
115,2021-09-19,110.0,151.61,2,929986,15083
116,2021-09-20,30.0,149.57,2,937970,15157
117,2021-09-21,28.0,153.01,2,940608,15239
118,2021-09-22,-8.0,152.83,2,944512,15315
119,2021-09-23,52.0,170.77,2,948099,15343
120,2021-09-24,122.0,214.97,2,951308,15377
121,2021-09-25,210.0,209.77,2,951308,15377
122,2021-09-26,201.0,148.77,2,951308,15377
123,2021-09-27,98.0,156.81,2,957632,15474
124,2021-09-28,115.0,161.22,2,959942,15561
125,2021-09-29,172.0,164.98,2,962805,15625
126,2021-09-30,140.0,175.67,2,966199,15658
127,2021-10-01,145.0,217.81,2,969375,15686
128,2021-10-02,198.0,201.0,2,969375,15686
129,2021-10-03,94.0,139.0,2,969375,15686
130,2021-10-04,37.0,151.87,2,975465,15773
131,2021-10-05,52.0,160.13,2,977567,15844
132,2021-10-06,73.0,161.31,2,980206,15921
133,2021-10-07,82.0,174.37,2,982409,15953
134,2021-10-08,51.0,214.16,2,985949,15982
135,2021-10-09,240.0,209.38,2,985949,15982
136,2021-10-10,162.0,152.04,2,985949,15982
137,2021-10-11,23.0,157.38,2,990674,16062
138,2021-10-12,42.0,161.9,2,992279,16109
139,2021-10-13,56.0,165.65,2,994974,16140
140,2021-10-14,53.0,176.56,2,997606,16225
141,2021-10-15,20.0,205.11,2,999870,16245
142,2021-10-16,184.0,207.2,2,999870,16245
143,2021-10-17,105.0,151.82,2,999870,16245
144,2021-10-18,27.0,156.73,2,1003698,16309
145,2021-10-19,72.0,159.35,2,1005233,16370
146,2021-10-20,84.0,164.47,2,1007186,16423
147,2021-10-21,50.0,171.99,2,1009338,16449
148,2021-10-22,42.0,212.22,2,1011223,16470
149,2021-10-23,123.0,214.6,2,1011223,16470
150,2021-10-24,80.0,141.1,2,1011223,16470
151,2021-10-25,-8.0,148.87,2,1014742,16524
152,2021-10-26,56.0,161.2,2,1016155,16567
153,2021-10-27,24.0,167.84,2,1018217,16632
154,2021-10-28,1.0,169.96,2,1020286,16666
155,2021-10-29,11.0,205.19,2,1022202,16683
156,2021-10-30,156.0,200.91,2,1022202,16683
157,2021-10-31,125.0,137.02,2,1022202,16683
158,2021-11-01,8.0,147.06,2,1026177,16737
159,2021-11-02,33.0,152.85,2,1027548,16783
160,2021-11-03,20.0,155.35,2,1029520,16841
161,2021-11-04,19.0,165.39,2,1031553,16859
162,2021-11-05,27.0,195.42,2,1033866,16898
163,2021-11-06,182.0,186.94,2,1033866,16898
164,2021-11-07,51.0,132.26,2,1033866,16898
165,2021-11-08,7.0,142.37,2,1038714,16916
166,2021-11-09,32.0,149.66,2,1040685,16976
167,2021-11-10,32.0,160.07,2,1043494,16995
168,2021-11-11,-28.0,163.96,2,1050377,17013
169,2021-11-12,-25.0,198.9,2,1053167,17088
170,2021-11-13,7.0,188.33,2,1053167,17088
171,2021-11-14,-36.0,129.94,2,1053167,17088
172,2021-11-15,-31.0,148.76,2,1059162,17105
173,2021-11-16,33.0,154.9,2,1061970,17147
174,2021-11-17,19.0,157.08,2,1065388,17191
175,2021-11-18,-2.0,166.92,2,1069313,17220
176,2021-11-19,-7.0,198.62,2,1073046,17247
177,2021-11-20,80.0,180.72,2,1073046,17247
178,2021-11-21,9.0,127.25,2,1073046,17247
179,2021-11-22,10.0,154.19,2,1080972,17316
